received_time_ns,x,y,z,vx,vy,vz
1775762429587779479,0.0,0.0,0.027,0.0,0.0,0.03
1775762429639992908,0.0,0.0,0.027,0.0,0.0,0.03
1775762429692133290,0.0,0.0,0.027,0.0,0.0,0.03
1775762429744635327,0.0,0.0,0.027,0.0,0.0,0.03
1775762429798434657,0.0,0.0,0.027,0.0,0.0,0.03
1775762429852410256,0.0,0.0,0.027,0.0,0.0,0.03
1775762429906165591,0.0,0.0,0.027,0.0,0.0,0.03
1775762429959939676,0.0,0.0,0.027,0.0,0.0,0.03
1775762430013634220,0.0,0.0,0.027,0.0,0.0,0.03
1775762430067357661,0.0,0.0,0.027,0.0,0.0,0.03
1775762430070544150,0.0,0.0,0.027,0.0,0.0,0.02
1775762430123974376,0.0,0.0,0.027,0.0,0.0,0.02
1775762430177801550,0.0,0.0,0.027,0.0,0.0,0.02
1775762430231732137,0.0,0.0,0.027,0.0,0.0,0.02
1775762430285491094,0.0,0.0,0.027,0.0,0.0,0.02
1775762430339455469,0.0,0.0,0.027,0.0,0.0,0.02
1775762430393322382,0.0,0.0,0.027,0.0,0.0,0.02
1775762430447104313,0.0,0.0,0.027,0.0,0.0,0.02
1775762430500850280,0.0,0.0,0.027,0.0,0.0,0.02
1775762430554754085,0.0,0.0,0.027,0.0,0.0,0.02
1775762430608404863,0.0,0.0,0.027,0.0,0.0,0.02
1775762430660441647,0.0,0.0,0.027,0.0,0.0,0.02
1775762430712422821,0.0,0.0,0.027,0.0,0.0,0.02
1775762430765430344,0.0,0.0,0.027,0.0,0.0,0.01
1775762430768591715,0.0,0.0,0.027,0.0,0.0,0.01
1775762430822007703,0.0,0.0,0.027,0.0,0.0,0.01
1775762430875988044,0.0,0.0,0.027,0.0,0.0,0.01
1775762430930083091,0.0,0.0,0.027,0.0,0.0,0.01
1775762430983934167,0.0,0.0,0.027,0.0,0.0,0.01
1775762431037899793,0.0,0.0,0.027,0.0,0.0,0.01
1775762431091839569,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,0.01
1775762431145647904,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,0.01
1775762431199525191,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,0.01
1775762431253387823,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,0.01
1775762431307592497,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,0.0
1775762431361407135,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,0.0
1775762431415231724,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,0.0
1775762431418300946,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,0.0
1775762431471936820,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,0.0
1775762431525442661,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,0.0
1775762431579223831,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,0.0
1775762431631277771,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,0.0
1775762431683443251,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,0.0
1775762431736538066,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,0.0
1775762431790333410,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,0.0
1775762431844324284,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,0.0
1775762431897965406,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,0.0
1775762431951869282,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,0.0
1775762432005644052,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,0.0
1775762432059446602,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,0.0
1775762432113215076,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,0.0
1775762432167063637,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,0.0
1775762432203137943,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,0.0
1775762432256687657,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,0.0
1775762432310393258,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,-0.01
1775762432364132359,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,-0.01
1775762432367231978,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,-0.01
1775762432420677544,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,-0.01
1775762432474412454,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,-0.01
1775762432527070397,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,-0.01
1775762432580657163,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,-0.01
1775762432632845495,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,-0.01
1775762432685113050,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,-0.01
1775762432738041170,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,-0.01
1775762432792213566,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,-0.01
1775762432845975961,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,-0.01
1775762432899919551,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,-0.01
1775762432953565958,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,-0.02
1775762433007317123,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,-0.02
1775762433061209845,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,-0.02
1775762433115257782,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,-0.02
