received_time_ns,voltage_battery,current_battery,battery_remaining,drop_rate_comm
1775762429587881515,12587,0,100,0
1775762429640095489,12587,0,100,0
1775762429692236990,12587,0,100,0
1775762429744809803,12587,0,100,0
1775762429798607758,12587,0,100,0
1775762429852584092,12587,0,100,0
1775762429906343331,12587,0,100,0
1775762429960111849,12587,0,100,0
1775762430013806264,12587,0,100,0
1775762430067597186,12587,0,100,0
1775762430070675879,12587,0,100,0
1775762430124166099,12587,0,100,0
1775762430177974139,12587,0,100,0
1775762430231911476,12587,0,100,0
1775762430285659139,12587,0,100,0
1775762430339701969,12587,0,100,0
1775762430393489947,12587,0,100,0
1775762430447289604,12587,0,100,0
1775762430501026484,12587,0,100,0
1775762430554928434,12587,0,100,0
1775762430608509683,12587,0,100,0
1775762430660527077,12587,0,100,0
1775762430712550455,12587,0,100,0
1775762430765600852,12587,0,100,0
1775762430768720212,12587,0,100,0
1775762430822190242,12587,0,100,0
1775762430876154777,12587,0,100,0
1775762430930242945,12587,0,100,0
1775762430984112194,12587,0,100,0
1775762431038073565,12587,0,100,0
1775762431092022620,12587,0,100,0
1775762431145824108,12587,0,100,0
1775762431199739854,12587,0,100,0
1775762431253691981,12587,0,100,0
1775762431307781820,12587,0,100,0
1775762431361586251,12587,0,100,0
1775762431415412088,12587,0,100,0
1775762431418429955,12587,0,100,0
1775762431472125951,12587,0,100,0
1775762431525640079,12587,0,100,0
1775762431579313420,12587,0,100,0
1775762431631371808,12587,0,100,0
1775762431683592226,12587,0,100,0
1775762431736712830,12587,0,100,0
1775762431790510126,12587,0,100,0
1775762431844485130,12587,0,100,0
1775762431898145225,12587,0,100,0
1775762431952046542,12587,0,100,0
1775762432005826304,12587,0,100,0
1775762432059658322,12587,0,100,0
1775762432113395504,12587,0,100,0
1775762432167249024,12587,0,100,0
1775762432203292166,12587,0,100,0
1775762432256866005,12587,0,100,0
1775762432310573046,12587,0,100,0
1775762432364294421,12587,0,100,0
1775762432367372762,12587,0,100,0
1775762432420849109,12587,0,100,0
1775762432474589042,12587,0,100,0
1775762432527245321,12587,0,100,0
1775762432580749889,12587,0,100,0
1775762432632946156,12587,0,100,0
1775762432685238316,12587,0,100,0
1775762432738220478,12587,0,100,0
1775762432792396490,12587,0,100,0
1775762432846148965,12587,0,100,0
1775762432900085164,12587,0,100,0
1775762432953733428,12587,0,100,0
1775762433007493423,12587,0,100,0
1775762433061393952,12587,0,100,0
1775762433115445057,12587,0,100,0
1775762433118417939,12587,0,100,0
1775762433171933616,12587,0,100,0
1775762433225755082,12587,0,100,0
1775762433279468529,12587,0,100,0
1775762433332965392,12587,0,100,0
1775762433386512681,12587,0,100,0
1775762433440218800,12587,0,100,0
1775762433493877853,12587,0,100,0
1775762433547857094,12587,0,100,0
1775762433601382817,12587,0,100,0
1775762433653542007,12587,0,100,0
1775762433705561180,12587,0,100,0
1775762433758269364,12587,0,100,0
1775762433812150312,12587,0,100,0
1775762433814970698,12587,0,100,0
1775762433868458922,12587,0,100,0
1775762433922135029,12587,0,100,0
1775762433975939121,12587,0,100,0
1775762434029965016,12587,0,100,0
1775762434083838835,12587,0,100,0
1775762434137739276,12587,0,100,0
1775762434191645315,12587,0,100,0
1775762434245602165,12587,0,100,0
1775762434299379483,12587,0,100,0
1775762434353054125,12587,0,100,0
1775762434406727678,12587,0,100,0
1775762434460333496,12587,0,100,0
1775762434514185941,12587,0,100,0
