received_time_ns,voltage_battery,current_battery,battery_remaining,drop_rate_comm
1775762798295039781,12587,0,100,0
1775762798348690797,12587,0,100,0
1775762798402329622,12587,0,100,0
1775762798456096468,12587,0,100,0
1775762798509587977,12587,0,100,0
1775762798562882445,12587,0,100,0
1775762798616319846,12587,0,100,0
1775762798669999372,12587,0,100,0
1775762798723703215,12587,0,100,0
1775762798726570025,12587,0,100,0
1775762798780083707,12587,0,100,0
1775762798833720356,12587,0,100,0
1775762798887414089,12587,0,100,0
1775762798941130091,12587,0,100,0
1775762798994859052,12587,0,100,0
1775762799048676906,12587,0,100,0
1775762799102390031,12587,0,100,0
1775762799156151954,12587,0,100,0
1775762799209734274,12587,0,100,0
1775762799263371342,12587,0,100,0
1775762799317019353,12587,0,100,0
1775762799370563949,12587,0,100,0
1775762799424314384,12587,0,100,0
1775762799427208039,12587,0,100,0
1775762799480728861,12587,0,100,0
1775762799534311501,12587,0,100,0
1775762799587945466,12587,0,100,0
1775762799641631682,12587,0,100,0
1775762799695295020,12587,0,100,0
1775762799749107306,12587,0,100,0
1775762799802709752,12587,0,100,0
1775762799856311783,12587,0,100,0
1775762799909922742,12587,0,100,0
1775762799963729332,12587,0,100,0
1775762800017378368,12587,0,100,0
1775762800071031630,12587,0,100,0
1775762800073893928,12587,0,100,0
1775762800127210737,12587,0,100,0
1775762800181070287,12587,0,100,0
1775762800234728412,12587,0,100,0
1775762800288532542,12587,0,100,0
1775762800342096691,12587,0,100,0
1775762800395936306,12587,0,100,0
1775762800449893928,12587,0,100,0
1775762800503585363,12587,0,100,0
1775762800557350840,12587,0,100,0
1775762800611086463,12587,0,100,0
1775762800664984666,12587,0,100,0
1775762800718691875,12587,0,100,0
1775762800772434922,12587,0,100,0
1775762800775220746,12587,0,100,0
1775762800828487159,12587,0,100,0
1775762800882356980,12587,0,100,0
1775762800936119033,12587,0,100,0
1775762800989774823,12587,0,100,0
1775762801043578955,12587,0,100,0
1775762801097406703,12587,0,100,0
1775762801151166615,12587,0,100,0
1775762801204840967,12587,0,100,0
1775762801258483929,12587,0,100,0
1775762801312378967,12587,0,100,0
1775762801366234648,12587,0,100,0
1775762801420005344,12587,0,100,0
1775762801422865306,12587,0,100,0
1775762801476287934,12587,0,100,0
1775762801530047335,12587,0,100,0
1775762801583988097,12587,0,100,0
1775762801637720780,12587,0,100,0
1775762801691305538,12587,0,100,0
1775762801744476282,12587,0,100,0
1775762801797950458,12587,0,100,0
1775762801850567486,12587,0,100,0
1775762801904347045,12587,0,100,0
1775762801958040051,12587,0,100,0
1775762802011736033,12587,0,100,0
1775762802065473743,12587,0,100,0
1775762802119161345,12587,0,100,0
1775762802172783288,12587,0,100,0
1775762802175588791,12587,0,100,0
1775762802228961762,12587,0,100,0
1775762802282683121,12587,0,100,0
1775762802336361699,12587,0,100,0
1775762802389941246,12587,0,100,0
1775762802443649262,12587,0,100,0
1775762802497358430,12587,0,100,0
1775762802551117097,12587,0,100,0
1775762802604667398,12587,0,100,0
1775762802658252448,12587,0,100,0
1775762802711974351,12587,0,100,0
1775762802765711805,12587,0,100,0
1775762802819242779,12587,0,100,0
1775762802822013501,12587,0,100,0
1775762802875387368,12587,0,100,0
1775762802929061338,12587,0,100,0
1775762802982498464,12587,0,100,0
1775762803036065693,12587,0,100,0
1775762803089632796,12587,0,100,0
1775762803143371565,12587,0,100,0
1775762803197061889,12587,0,100,0
1775762803250584068,12587,0,100,0
1775762803304235835,12587,0,100,0
1775762803357695554,12587,0,100,0
1775762803411401462,12587,0,100,0
1775762803465351670,12587,0,100,0
1775762803519139811,12587,0,100,0
1775762803522024444,12587,0,100,0
1775762803575359405,12587,0,100,0
1775762803629008741,12587,0,100,0
1775762803682557157,12587,0,100,0
1775762803736176415,12587,0,100,0
1775762803789842870,12587,0,100,0
1775762803843413684,12587,0,100,0
1775762803897052429,12587,0,100,0
1775762803950514548,12587,0,100,0
1775762804003984442,12587,0,100,0
1775762804057357003,12587,0,100,0
1775762804110921837,12587,0,100,0
1775762804164416853,12587,0,100,0
1775762804217820547,12587,0,100,0
1775762804271281998,12587,0,100,0
1775762804274214595,12587,0,100,0
1775762804327636048,12587,0,100,0
1775762804381260429,12587,0,100,0
1775762804435058749,12587,0,100,0
1775762804488744917,12587,0,100,0
1775762804542468394,12587,0,100,0
1775762804596054314,12587,0,100,0
1775762804649814844,12587,0,100,0
1775762804703205772,12587,0,100,0
1775762804755159055,12587,0,100,0
1775762804808051591,12587,0,100,0
1775762804861644807,12587,0,100,0
1775762804915309824,12587,0,100,0
1775762804969015319,12587,0,100,0
1775762805022616279,12587,0,100,0
1775762805025620391,12587,0,100,0
1775762805078943743,12587,0,100,0
1775762805132604285,12587,0,100,0
1775762805186184833,12587,0,100,0
1775762805240088587,12587,0,100,0
1775762805293870878,12587,0,100,0
1775762805347629428,12587,0,100,0
1775762805401268371,12587,0,100,0
1775762805454844279,12587,0,100,0
1775762805508580687,12587,0,100,0
1775762805562137908,12587,0,100,0
1775762805615972804,12587,0,100,0
1775762805669591493,12587,0,100,0
1775762805672636401,12587,0,100,0
1775762805725901710,12587,0,100,0
1775762805779572811,12587,0,100,0
1775762805833236712,12587,0,100,0
1775762805886860488,12587,0,100,0
1775762805940677593,12587,0,100,0
1775762805994382579,12587,0,100,0
1775762806048089744,12587,0,100,0
1775762806101760207,12587,0,100,0
1775762806155488491,12587,0,100,0
1775762806209330717,12587,0,100,0
1775762806263065399,12587,0,100,0
1775762806316824784,12587,0,100,0
1775762806370437013,12587,0,100,0
1775762806373543900,12587,0,100,0
1775762806426959697,12587,0,100,0
1775762806480719913,12587,0,100,0
1775762806534459044,12587,0,100,0
1775762806588217692,12587,0,100,0
1775762806642083821,12587,0,100,0
1775762806695573147,12587,0,100,0
1775762806747516453,12587,0,100,0
1775762806799500619,12587,0,100,0
1775762806851611560,12587,0,100,0
1775762806903701318,12587,0,100,0
1775762806957229553,12587,0,100,0
1775762807010896690,12587,0,100,0
1775762807064602194,12587,0,100,0
1775762807119078325,12587,0,100,0
1775762807171495804,12587,0,100,0
1775762807224042776,12587,0,100,0
1775762807226909011,12587,0,100,0
1775762807280372423,12587,0,100,0
1775762807334177375,12587,0,100,0
1775762807387568505,12587,0,100,0
1775762807441277337,12587,0,100,0
1775762807495029237,12587,0,100,0
1775762807548993313,12587,0,100,0
1775762807602209672,12587,0,100,0
1775762807654824831,12587,0,100,0
1775762807706867012,12587,0,100,0
1775762807759269900,12587,0,100,0
1775762807812715489,12587,0,100,0
1775762807865273789,12587,0,100,0
1775762807919018810,12587,0,100,0
1775762807971207412,12587,0,100,0
1775762808025056938,12587,0,100,0
1775762808026749347,12587,0,100,0
1775762808080931872,12587,0,100,0
1775762808133660433,12587,0,100,0
1775762808187449742,12587,0,100,0
1775762808241786591,12587,0,100,0
1775762810297607184,12587,0,100,0
1775762810299649581,12587,0,100,0
1775762810302247550,12587,0,100,0
1775762810303370277,12587,0,100,0
1775762810305780485,12587,0,100,0
1775762810308292125,12587,0,100,0
1775762810310719612,12587,0,100,0
1775762810313139323,12587,0,100,0
1775762810315715853,12587,0,100,0
1775762810318136973,12587,0,100,0
1775762810320617511,12587,0,100,0
1775762810323003337,12587,0,100,0
1775762810325477668,12587,0,100,0
1775762810328088372,12587,0,100,0
1775762810330600524,12587,0,100,0
1775762810333145793,12587,0,100,0
1775762810335305013,12587,0,100,0
1775762810337659737,12587,0,100,0
1775762810339326069,12587,0,100,0
1775762810340321445,12587,0,100,0
1775762810342944276,12587,0,100,0
1775762810344133334,12587,0,100,0
1775762810345651869,12587,0,100,0
1775762810347356725,12587,0,100,0
1775762810349059725,12587,0,100,0
1775762810350695467,12587,0,100,0
1775762810352566518,12587,0,100,0
1775762810354547160,12587,0,100,0
1775762810355524170,12587,0,100,0
1775762810356451424,12587,0,100,0
1775762810357968456,12587,0,100,0
1775762810359928299,12587,0,100,0
1775762810361419669,12587,0,100,0
1775762810362920509,12587,0,100,0
1775762810364240116,12587,0,100,0
1775762810365555915,12587,0,100,0
1775762810366809991,12587,0,100,0
1775762810368100640,12587,0,100,0
1775762810369282018,12587,0,100,0
1775762810370450949,12587,0,100,0
1775762810371795514,12587,0,100,0
1775762810372944479,12587,0,100,0
