received_time_ns,x,y,z,vx,vy,vz
1775925784124600090,0.0,0.0,0.027,0.0,0.0,0.03
1775925784176741820,0.0,0.0,0.027,0.0,0.0,0.03
1775925784233086829,0.0,0.0,0.027,0.0,0.0,0.03
1775925784285262127,0.0,0.0,0.027,0.0,0.0,0.03
1775925784337218832,0.0,0.0,0.027,0.0,0.0,0.03
1775925784399466456,0.0,0.0,0.027,0.0,0.0,0.03
1775925784401103934,0.0,0.0,0.027,0.0,0.0,0.03
1775925784452680029,0.0,0.0,0.027,0.0,0.0,0.03
1775925784516198953,0.0,0.0,0.027,0.0,0.0,0.03
1775925784568118858,0.0,0.0,0.027,0.0,0.0,0.03
1775925784620941614,0.0,0.0,0.027,0.0,0.0,0.02
1775925784684220249,0.0,0.0,0.027,0.0,0.0,0.02
1775925784736182874,0.0,0.0,0.027,0.0,0.0,0.02
1775925784799239461,0.0,0.0,0.027,0.0,0.0,0.02
1775925784800910667,0.0,0.0,0.027,0.0,0.0,0.02
1775925784853203661,0.0,0.0,0.027,0.0,0.0,0.02
1775925784905176462,0.0,0.0,0.027,0.0,0.0,0.02
1775925784957665969,0.0,0.0,0.027,0.0,0.0,0.02
1775925785009570642,0.0,0.0,0.027,0.0,0.0,0.02
1775925785061648851,0.0,0.0,0.027,0.0,0.0,0.02
1775925785114533656,0.0,0.0,0.027,0.0,0.0,0.02
1775925785167239899,0.0,0.0,0.027,0.0,0.0,0.02
1775925785219560670,0.0,0.0,0.027,0.0,0.0,0.02
1775925785271742399,0.0,0.0,0.027,0.0,0.0,0.01
1775925785323882273,0.0,0.0,0.027,0.0,0.0,0.01
1775925785375892674,0.0,0.0,0.027,0.0,0.0,0.01
1775925785428360613,0.0,0.0,0.027,0.0,0.0,0.01
1775925785480509830,0.0,0.0,0.027,0.0,0.0,0.01
1775925785532879817,0.0,0.0,0.027,0.0,0.0,0.01
1775925785585116043,0.0,0.0,0.027,0.0,0.0,0.01
1775925785639363124,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,0.01
1775925785691757815,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,0.01
1775925785743664919,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,0.01
1775925785744956604,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,0.01
1775925785847646298,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,0.0
1775925785849717633,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,0.0
1775925785902174308,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,0.0
1775925785954669831,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,0.0
1775925786007572651,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,0.0
1775925786059889934,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,0.0
1775925786112013551,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,0.0
1775925786164627314,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,0.0
1775925786216672723,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,0.0
1775925786269403223,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,0.0
1775925786322645693,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,0.0
1775925786374600573,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,0.0
1775925786426689215,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,0.0
1775925786478899809,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,0.0
1775925786530756481,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,0.0
1775925786582793186,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,0.0
