received_time_ns,voltage_battery,current_battery,battery_remaining,drop_rate_comm
1775929703736994926,12587,0,100,0
1775929703788952984,12587,0,100,0
1775929703841334141,12587,0,100,0
1775929703893319687,12587,0,100,0
1775929703945974984,12587,0,100,0
1775929703998185295,12587,0,100,0
1775929704050277431,12587,0,100,0
1775929704102347713,12587,0,100,0
1775929704154275372,12587,0,100,0
1775929704206599729,12587,0,100,0
1775929704258583644,12587,0,100,0
1775929704310739428,12587,0,100,0
1775929704362803981,12587,0,100,0
1775929704417026871,12587,0,100,0
1775929704419652176,12587,0,100,0
1775929704471806008,12587,0,100,0
1775929704524004928,12587,0,100,0
1775929704576696608,12587,0,100,0
1775929704628720138,12587,0,100,0
1775929704681937250,12587,0,100,0
1775929704734366342,12587,0,100,0
1775929704786342513,12587,0,100,0
1775929704838130238,12587,0,100,0
1775929704890188903,12587,0,100,0
1775929704942751625,12587,0,100,0
1775929704994750355,12587,0,100,0
1775929705047300118,12587,0,100,0
1775929705101821595,12587,0,100,0
1775929705153925540,12587,0,100,0
1775929705206289609,12587,0,100,0
1775929705258171445,12587,0,100,0
1775929705310447707,12587,0,100,0
1775929705362251657,12587,0,100,0
1775929705414541679,12587,0,100,0
1775929705468646810,12587,0,100,0
1775929705470115877,12587,0,100,0
1775929705521705941,12587,0,100,0
1775929705573638497,12587,0,100,0
1775929705625885127,12587,0,100,0
1775929705678142894,12587,0,100,0
1775929705730531923,12587,0,100,0
1775929705783623373,12587,0,100,0
1775929705835553017,12587,0,100,0
1775929705888188570,12587,0,100,0
1775929705940967577,12587,0,100,0
1775929705993174912,12587,0,100,0
1775929706045976671,12587,0,100,0
1775929706099502003,12587,0,100,0
1775929706151531069,12587,0,100,0
1775929706203964929,12587,0,100,0
1775929706256096490,12587,0,100,0
1775929706308484015,12587,0,100,0
1775929706360471353,12587,0,100,0
1775929706412380517,12587,0,100,0
1775929706464320945,12587,0,100,0
1775929706466638639,12587,0,100,0
1775929706519168946,12587,0,100,0
1775929706571716180,12587,0,100,0
1775929706623646048,12587,0,100,0
1775929706675951686,12587,0,100,0
1775929706728002704,12587,0,100,0
1775929706780260086,12587,0,100,0
1775929706832015236,12587,0,100,0
1775929706883842801,12587,0,100,0
1775929706935783101,12587,0,100,0
1775929706988789145,12587,0,100,0
1775929707040814179,12587,0,100,0
1775929707092653840,12587,0,100,0
1775929707144723802,12587,0,100,0
1775929707196688805,12587,0,100,0
1775929707249504291,12587,0,100,0
1775929707301842153,12587,0,100,0
1775929707367392303,12587,0,100,0
1775929707369925354,12587,0,100,0
1775929707421687608,12587,0,100,0
1775929707474347513,12587,0,100,0
1775929707526123655,12587,0,100,0
1775929707578125041,12587,0,100,0
1775929707630311961,12587,0,100,0
1775929707682342052,12587,0,100,0
1775929707734334126,12587,0,100,0
1775929707786301018,12587,0,100,0
1775929707838924635,12587,0,100,0
1775929707891463902,12587,0,100,0
1775929707944554873,12587,0,100,0
1775929707996834271,12587,0,100,0
1775929708050500562,12587,0,100,0
1775929708103922344,12587,0,100,0
1775929708156346189,12587,0,100,0
1775929708210023103,12587,0,100,0
1775929708261866860,12587,0,100,0
1775929708313670426,12587,0,100,0
1775929708316362195,12587,0,100,0
1775929708369132786,12587,0,100,0
1775929708422682023,12587,0,100,0
1775929708474777968,12587,0,100,0
1775929708526540894,12587,0,100,0
1775929708578836453,12587,0,100,0
1775929708630939278,12587,0,100,0
1775929708683952810,12587,0,100,0
1775929708736239761,12587,0,100,0
1775929708788045086,12587,0,100,0
1775929708839936779,12587,0,100,0
1775929708891801528,12587,0,100,0
1775929708943587590,12587,0,100,0
1775929708996084297,12587,0,100,0
1775929709049720956,12587,0,100,0
1775929709102272671,12587,0,100,0
1775929709154068941,12587,0,100,0
1775929709206118264,12587,0,100,0
1775929709257913573,12587,0,100,0
1775929709309741171,12587,0,100,0
1775929709361685727,12587,0,100,0
1775929709413723689,12587,0,100,0
1775929709465766996,12587,0,100,0
1775929709518267095,12587,0,100,0
1775929709519592100,12587,0,100,0
