received_time_ns,x,y,z,vx,vy,vz
1775929840741959237,0.0,0.0,0.027,0.0,0.0,0.03
1775929840793745285,0.0,0.0,0.027,0.0,0.0,0.03
1775929840846207580,0.0,0.0,0.027,0.0,0.0,0.03
1775929840898135162,0.0,0.0,0.027,0.0,0.0,0.03
1775929840951172553,0.0,0.0,0.027,0.0,0.0,0.03
1775929841003579937,0.0,0.0,0.027,0.0,0.0,0.03
1775929841055518271,0.0,0.0,0.027,0.0,0.0,0.03
1775929841107718586,0.0,0.0,0.027,0.0,0.0,0.03
1775929841159604569,0.0,0.0,0.027,0.0,0.0,0.03
1775929841212082096,0.0,0.0,0.027,0.0,0.0,0.03
1775929841263931503,0.0,0.0,0.027,0.0,0.0,0.02
1775929841315755088,0.0,0.0,0.027,0.0,0.0,0.02
1775929841368251302,0.0,0.0,0.027,0.0,0.0,0.02
1775929841420156741,0.0,0.0,0.027,0.0,0.0,0.02
1775929841472397887,0.0,0.0,0.027,0.0,0.0,0.02
1775929841473978089,0.0,0.0,0.027,0.0,0.0,0.02
1775929841525461934,0.0,0.0,0.027,0.0,0.0,0.02
1775929841577198127,0.0,0.0,0.027,0.0,0.0,0.02
1775929841629736805,0.0,0.0,0.027,0.0,0.0,0.02
1775929841682090845,0.0,0.0,0.027,0.0,0.0,0.02
1775929841734532117,0.0,0.0,0.027,0.0,0.0,0.02
1775929841786999020,0.0,0.0,0.027,0.0,0.0,0.02
1775929841839357124,0.0,0.0,0.027,0.0,0.0,0.02
1775929841891486816,0.0,0.0,0.027,0.0,0.0,0.01
1775929841944100757,0.0,0.0,0.027,0.0,0.0,0.01
1775929841996321551,0.0,0.0,0.027,0.0,0.0,0.01
1775929842048986531,0.0,0.0,0.027,0.0,0.0,0.01
1775929842101264509,0.0,0.0,0.027,0.0,0.0,0.01
1775929842154014256,0.0,0.0,0.027,0.0,0.0,0.01
1775929842205934351,0.0,0.0,0.027,0.0,0.0,0.01
1775929842257715856,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,0.01
1775929842309551920,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,0.01
1775929842361568461,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,0.01
1775929842413545451,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,0.01
1775929842468013702,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,0.0
1775929842520481565,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,0.0
1775929842572207358,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,0.0
1775929842624076990,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,0.0
1775929842625817477,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,0.0
1775929842677644837,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,0.0
1775929842730147356,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,0.0
