received_time_ns,x,y,z,vx,vy,vz
1775929909016491113,0.0,0.0,0.027,0.0,0.0,0.03
1775929909069657182,0.0,0.0,0.027,0.0,0.0,0.03
1775929909121563748,0.0,0.0,0.027,0.0,0.0,0.03
1775929909173968324,0.0,0.0,0.027,0.0,0.0,0.03
1775929909226307557,0.0,0.0,0.027,0.0,0.0,0.03
1775929909279400571,0.0,0.0,0.027,0.0,0.0,0.03
1775929909331227875,0.0,0.0,0.027,0.0,0.0,0.03
1775929909383153897,0.0,0.0,0.027,0.0,0.0,0.03
1775929909434908786,0.0,0.0,0.027,0.0,0.0,0.03
1775929909487373521,0.0,0.0,0.027,0.0,0.0,0.03
1775929909489313877,0.0,0.0,0.027,0.0,0.0,0.02
1775929909540868865,0.0,0.0,0.027,0.0,0.0,0.02
1775929909643347457,0.0,0.0,0.027,0.0,0.0,0.02
1775929909644603376,0.0,0.0,0.027,0.0,0.0,0.02
1775929909696116060,0.0,0.0,0.027,0.0,0.0,0.02
1775929909748065442,0.0,0.0,0.027,0.0,0.0,0.02
1775929909800927035,0.0,0.0,0.027,0.0,0.0,0.02
1775929909852870658,0.0,0.0,0.027,0.0,0.0,0.02
1775929909905361216,0.0,0.0,0.027,0.0,0.0,0.02
1775929909957289031,0.0,0.0,0.027,0.0,0.0,0.02
1775929910009361067,0.0,0.0,0.027,0.0,0.0,0.02
1775929910061528334,0.0,0.0,0.027,0.0,0.0,0.02
1775929910113351670,0.0,0.0,0.027,0.0,0.0,0.02
1775929910165224125,0.0,0.0,0.027,0.0,0.0,0.01
1775929910217245059,0.0,0.0,0.027,0.0,0.0,0.01
1775929910269631907,0.0,0.0,0.027,0.0,0.0,0.01
1775929910321736999,0.0,0.0,0.027,0.0,0.0,0.01
1775929910373848907,0.0,0.0,0.027,0.0,0.0,0.01
1775929910426290922,0.0,0.0,0.027,0.0,0.0,0.01
1775929910478426414,0.0,0.0,0.027,0.0,0.0,0.01
1775929910530373812,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,0.01
1775929910582194076,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,0.01
1775929910633930149,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,0.01
1775929910685965578,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,0.01
