received_time_ns,timestamp,flag_armed,flag_control_manual_enabled,flag_control_auto_enabled,flag_control_offboard_enabled,flag_control_position_enabled,flag_control_velocity_enabled,flag_control_altitude_enabled,flag_control_acceleration_enabled,flag_control_attitude_enabled,flag_control_rates_enabled,source_id
1775652565836202430,1775652565652435,False,False,True,False,True,True,True,False,True,True,0
1775652565949066875,1775652565760435,False,False,True,False,True,True,True,False,True,True,0
1775652566396079631,1775652566204435,True,False,False,True,True,True,True,True,True,True,0
1775652566935454863,1775652566708435,True,False,False,True,True,True,True,True,True,True,0
1775652567440096154,1775652567212435,True,False,False,True,True,True,True,True,True,True,0
1775652567957461321,1775652567716435,True,False,False,True,True,True,True,True,True,True,0
1775652568468721941,1775652568220435,True,False,False,True,True,True,True,True,True,True,0
1775652568980560124,1775652568724435,True,False,False,True,True,True,True,True,True,True,0
1775652569495834221,1775652569228435,True,False,False,True,True,True,True,True,True,True,0
1775652570014880884,1775652569732435,True,False,False,True,True,True,True,True,True,True,0
1775652570526658488,1775652570236435,True,False,False,True,True,True,True,True,True,True,0
1775652571041599731,1775652570740435,True,False,False,True,True,True,True,True,True,True,0
1775652571555495969,1775652571244435,True,False,False,True,True,True,True,True,True,True,0
1775652572070285416,1775652571748435,True,False,False,True,True,True,True,True,True,True,0
1775652572610931565,1775652572252435,True,False,False,True,True,True,True,True,True,True,0
1775652573118767948,1775652572760435,True,False,False,True,True,True,True,True,True,True,0
1775652573628915489,1775652573264435,True,False,False,True,True,True,True,True,True,True,0
1775652574147362838,1775652574143922,True,False,False,True,True,True,True,True,True,True,0
1775652574661453234,1775652574662276,True,False,False,True,True,True,True,True,True,True,0
1775652575182160589,1775652575170860,True,False,False,True,True,True,True,True,True,True,0
1775652575691927298,1775652575674860,True,False,False,True,True,True,True,True,True,True,0
1775652576205430172,1775652576178963,True,False,False,True,False,False,False,False,True,True,0
1775652576737518569,1775652576682963,True,False,False,True,False,False,False,False,True,True,0
1775652577247795863,1775652577187169,True,False,False,True,False,False,False,False,True,True,0
1775652577762071008,1775652577691169,True,False,False,True,False,False,False,False,True,True,0
1775652578275388788,1775652578195435,True,False,False,True,False,False,False,False,True,True,0
1775652578789166575,1775652578699435,True,False,False,True,False,False,False,False,True,True,0
1775652579306555780,1775652579203762,True,False,False,True,False,False,False,False,True,True,0
1775652579820139536,1775652579707762,True,False,False,True,False,False,False,False,True,True,0
1775652580339467821,1775652580211762,True,False,False,True,False,False,False,False,True,True,0
1775652580867476608,1775652580715762,True,False,False,True,False,False,False,False,True,True,0
1775652581374230606,1775652581219762,True,False,False,True,False,False,False,False,True,True,0
1775652581888539097,1775652581723762,True,False,False,True,False,False,False,False,True,True,0
1775652582399978088,1775652582227762,True,False,False,True,False,False,False,False,True,True,0
1775652582912497129,1775652582731762,True,False,False,True,False,False,False,False,True,True,0
1775652583428462745,1775652583235762,True,False,False,True,False,False,False,False,True,True,0
1775652583950667853,1775652583739762,True,False,False,True,False,False,False,False,True,True,0
1775652583998735797,1775652583787762,True,False,False,True,False,False,False,False,True,True,0
1775652584010174193,1775652583799762,True,False,True,False,True,True,True,False,True,True,0
1775652584022067658,1775652583811762,True,False,True,False,True,True,True,False,True,True,0
1775652584536519752,1775652584315762,True,False,True,False,True,True,True,False,True,True,0
1775652585061378718,1775652584819762,True,False,True,False,True,True,True,False,True,True,0
1775652585586421065,1775652585323762,True,False,True,False,True,True,True,False,True,True,0
1775652586096452446,1775652585827762,True,False,True,False,True,True,True,False,True,True,0
1775652586615507086,1775652586331762,True,False,True,False,True,True,True,False,True,True,0
1775652587130439393,1775652586835762,True,False,True,False,True,True,True,False,True,True,0
1775652587651593691,1775652587343762,True,False,True,False,True,True,True,False,True,True,0
1775652588164882083,1775652587847762,True,False,True,False,True,True,True,False,True,True,0
1775652588679092551,1775652588351762,True,False,True,False,True,True,True,False,True,True,0
1775652589203764116,1775652588855762,True,False,True,False,True,True,True,False,True,True,0
1775652589474898411,1775652589119762,False,False,False,True,False,False,False,False,True,True,0
1775652589993481745,1775652589623762,False,False,False,True,False,False,False,False,True,True,0
1775652590512057707,1775652590509586,False,False,False,True,False,False,False,False,True,True,0
