received_time_ns,timestamp,rollspeed_integ,pitchspeed_integ,yawspeed_integ,wheel_rate_integ
1775653406437250816,3296000,0.0,0.0,0.0,0.0
1775653406441250816,3300000,0.0,0.0,0.0,0.0
1775653406637250816,3496000,0.0,0.0,0.0,0.0
1775653406837250816,3696000,0.0,0.0,0.0,0.0
1775653407037250816,3896000,0.0,0.0,0.0,0.0
1775653407237250816,4096000,0.0,0.0,0.0,0.0
1775653407437250816,4296000,0.0,0.0,0.0,0.0
1775653407637250816,4496000,0.0,0.0,0.0,0.0
1775653407841250816,4700000,0.0,0.0,0.0,0.0
1775653408037250816,4896000,0.0,0.0,0.0,0.0
1775653408237250816,5096000,0.0,0.0,0.0,0.0
1775653408437250816,5296000,0.0,0.0,0.0,0.0
1775653408637250816,5496000,0.0,0.0,0.0,0.0
1775653408837250816,5696000,0.0,0.0,0.0,0.0
1775653409037250816,5896000,0.0,0.0,0.0,0.0
1775653409237250816,6096000,0.0,0.0,0.0,0.0
1775653409437250816,6296000,0.0,0.0,0.0,0.0
1775653409637250816,6496000,0.0,0.0,0.0,0.0
1775653409837250816,6696000,0.0,0.0,0.0,0.0
1775653410037250816,6896000,0.0,0.0,0.0,0.0
1775653410237250816,7096000,0.0,0.0,0.0,0.0
1775653410437250816,7296000,0.0,0.0,0.0,0.0
1775653410637250816,7496000,0.0,0.0,0.0,0.0
1775653410837250816,7696000,0.0,0.0,0.0,0.0
1775653411037250816,7896000,0.0,0.0,0.0,0.0
1775653411237250816,8096000,0.0,0.0,0.0,0.0
1775653411437250816,8296000,0.0,0.0,0.0,0.0
1775653411637250816,8496000,0.0,0.0,0.0,0.0
1775653411837250816,8696000,0.0,0.0,0.0,0.0
1775653412037250816,8896000,0.0,0.0,0.0,0.0
1775653412237250816,9096000,0.0,0.0,0.0,0.0
1775653412437250816,9296000,0.0,0.0,0.0,0.0
1775653412637250816,9496000,0.0,0.0,0.0,0.0
1775653412837250816,9696000,0.0,0.0,0.0,0.0
1775653413037250816,9896000,0.0,0.0,0.0,0.0
1775653413237250816,10096000,0.0,0.0,0.0,0.0
1775653413437250816,10296000,0.0,0.0,0.0,0.0
1775653413637250816,10496000,0.0,0.0,0.0,0.0
1775653413837250816,10696000,0.0,0.0,0.0,0.0
1775653414037250816,10896000,0.0,0.0,0.0,0.0
1775653414237250816,11096000,0.0,0.0,0.0,0.0
1775653414437250816,11296000,0.0,0.0,0.0,0.0
1775653414637250816,11496000,0.0,0.0,0.0,0.0
1775653414837250816,11696000,0.0,0.0,0.0,0.0
1775653415037250816,11896000,0.0,0.0,0.0,0.0
1775653415237250816,12096000,0.0,0.0,0.0,0.0
1775653415437250816,12296000,0.0,0.0,0.0,0.0
1775653415637250816,12496000,0.0,0.0,0.0,0.0
1775653415837250816,12696000,0.0,0.0,0.0,0.0
1775653416037250816,12896000,0.0,0.0,0.0,0.0
1775653416237250816,13096000,0.0,0.0,0.0,0.0
1775653416437250816,13296000,0.0,0.0,0.0,0.0
1775653416637250816,13496000,0.0,0.0,0.0,0.0
1775653416841250816,13700000,0.0,0.0,0.0,0.0
1775653417037250816,13896000,0.0,0.0,0.0,0.0
1775653417237250816,14096000,0.0,0.0,0.0,0.0
1775653417437250816,14296000,0.0,0.0,0.0,0.0
1775653417637250816,14496000,0.0,0.0,0.0,0.0
1775653417837250816,14696000,0.0,0.0,0.0,0.0
1775653418037250816,14896000,0.0,0.0,0.0,0.0
1775653418237250816,15096000,0.0,0.0,0.0,0.0
1775653418437250816,15296000,0.0,0.0,0.0,0.0
1775653418637250816,15496000,0.0,0.0,0.0,0.0
1775653418837250816,15696000,0.0,0.0,0.0,0.0
1775653419037250816,15896000,0.0,0.0,0.0,0.0
1775653419237250816,16096000,0.0,0.0,0.0,0.0
1775653419437250816,16296000,0.0,0.0,0.0,0.0
1775653419637250816,16496000,0.0,0.0,0.0,0.0
