received_time_ns,timestamp,arming_state,nav_state,nav_state_user_intention,failsafe,failsafe_defer_state,failure_detector_status,pre_flight_checks_pass,gcs_connection_lost,latest_arming_reason,latest_disarming_reason,vehicle_type
1775658362092239037,1775658361928245,1,4,4,False,0,0,True,True,0,0,1
1775658362153932931,1775658361988245,1,4,4,False,0,0,True,True,0,0,1
1775658362218559294,1775658362048245,1,2,2,False,0,0,False,True,0,0,1
1775658362325044838,1775658362156245,1,2,2,False,0,0,True,True,0,0,1
1775658362606979889,1775658362432245,2,14,14,False,0,0,True,True,4,0,1
1775658363117334576,1775658362936245,2,14,14,False,0,0,True,True,4,0,1
1775658363631623417,1775658363440245,2,14,14,False,0,0,True,True,4,0,1
1775658364144740896,1775658363944245,2,14,14,False,0,0,True,True,4,0,1
1775658364658150756,1775658364448245,2,14,14,False,0,0,True,True,4,0,1
1775658365174381774,1775658364952245,2,14,14,False,0,0,True,True,4,0,1
1775658365687074860,1775658365456245,2,14,14,False,0,0,True,True,4,0,1
1775658366201553696,1775658365960245,2,14,14,False,0,0,True,True,4,0,1
1775658366709457393,1775658366464245,2,14,14,False,0,0,True,True,4,0,1
1775658367227632320,1775658366968245,2,14,14,False,0,0,True,True,4,0,1
1775658367742302524,1775658367472245,2,14,14,False,0,0,True,True,4,0,1
1775658368255230696,1775658367976245,2,14,14,False,0,0,True,True,4,0,1
1775658368766217191,1775658368480245,2,14,14,False,0,0,True,True,4,0,1
1775658369281157478,1775658368984245,2,14,14,False,0,0,True,True,4,0,1
1775658369809055584,1775658369811277,2,14,14,False,0,0,True,True,4,0,1
1775658370319864075,1775658370318913,2,14,14,False,0,0,True,True,4,0,1
1775658370837194026,1775658370825264,2,14,14,False,0,0,True,True,4,0,1
1775658371351021114,1775658371329264,2,14,14,False,0,0,True,True,4,0,1
1775658371863218127,1775658371833354,2,14,14,False,0,0,True,True,4,0,1
1775658372380602748,1775658372337354,2,14,14,False,0,0,True,True,4,0,1
1775658372450423847,1775658372409354,2,14,14,False,0,0,True,True,4,0,1
1775658372461598090,1775658372421354,2,2,2,False,0,0,True,True,4,0,1
1775658372976601061,1775658372925511,2,2,2,False,0,0,True,True,4,0,1
1775658373489920385,1775658373429511,2,2,2,False,0,0,True,True,4,0,1
1775658374005871868,1775658373933711,2,2,2,False,0,0,True,True,4,0,1
1775658374518450482,1775658374437711,2,2,2,False,0,0,True,True,4,0,1
1775658375034893237,1775658374941988,2,2,2,False,0,0,True,True,4,0,1
1775658375547895346,1775658375445988,2,2,2,False,0,0,True,True,4,0,1
1775658376061567402,1775658375949988,2,2,2,False,0,0,True,True,4,0,1
1775658376575552550,1775658376453988,2,2,2,False,0,0,True,True,4,0,1
1775658377088143547,1775658376957988,2,2,2,False,0,0,True,True,4,0,1
1775658377599929537,1775658377461988,2,2,2,False,0,0,True,True,4,0,1
1775658378118716657,1775658377965988,2,2,2,False,0,0,True,True,4,0,1
1775658378635667773,1775658378469988,2,2,2,False,0,0,True,True,4,0,1
1775658379143981705,1775658378973988,2,2,2,False,0,0,True,True,4,0,1
1775658379658392674,1775658379477988,2,2,2,False,0,0,True,True,4,0,1
1775658380171761304,1775658379981988,2,2,2,False,0,0,True,True,4,0,1
1775658380502648082,1775658380305988,2,2,2,False,0,0,True,True,4,0,1
1775658380514534259,1775658380317988,2,18,18,False,0,0,True,True,4,0,1
1775658380527557157,1775658380329988,2,18,18,False,0,0,True,True,4,0,1
1775658381043487930,1775658380833988,2,18,18,False,0,0,True,True,4,0,1
1775658381554144380,1775658381337988,2,18,18,False,0,0,True,True,4,0,1
1775658382070192893,1775658381841988,2,18,18,False,0,0,True,True,4,0,1
1775658382585778282,1775658382345988,2,18,18,False,0,0,True,True,4,0,1
1775658383097251701,1775658382849988,2,18,18,False,0,0,True,True,4,0,1
1775658383610172015,1775658383353988,2,18,18,False,0,0,True,True,4,0,1
1775658384123364177,1775658383857988,2,18,18,False,0,0,True,True,4,0,1
1775658384635966331,1775658384361988,2,18,18,False,0,0,True,True,4,0,1
1775658385149709250,1775658384865988,2,18,18,False,0,0,True,True,4,0,1
1775658385667093593,1775658385369988,2,18,18,False,0,0,True,True,4,0,1
1775658386094788512,1775658386092737,1,2,2,False,0,0,True,True,4,6,1
1775658386605677973,1775658386605676,1,2,2,False,0,0,True,True,4,6,1
1775658386866471995,1775658386863895,1,2,2,False,0,0,False,True,4,6,1
