received_time_ns,timestamp,flag_armed,flag_control_manual_enabled,flag_control_auto_enabled,flag_control_offboard_enabled,flag_control_position_enabled,flag_control_velocity_enabled,flag_control_altitude_enabled,flag_control_acceleration_enabled,flag_control_attitude_enabled,flag_control_rates_enabled,source_id
1775658759830084276,1775658759667076,False,False,True,False,True,True,True,False,True,True,0
1775658759904500353,1775658759739076,False,False,True,False,True,True,True,False,True,True,0
1775658759971350606,1775658759799076,False,True,False,False,True,True,True,False,True,True,0
1775658760081180376,1775658759907076,False,True,False,False,True,True,True,False,True,True,0
1775658760360032806,1775658760183076,False,True,False,False,True,True,True,False,True,True,0
1775658760362178674,1775658760183076,True,False,False,True,True,True,True,True,True,True,0
1775658760874852135,1775658760687076,True,False,False,True,True,True,True,True,True,True,0
1775658761398560781,1775658761191076,True,False,False,True,True,True,True,True,True,True,0
1775658761914487915,1775658761695076,True,False,False,True,True,True,True,True,True,True,0
1775658762428868755,1775658762199076,True,False,False,True,True,True,True,True,True,True,0
1775658762941957184,1775658762703076,True,False,False,True,True,True,True,True,True,True,0
1775658763456717016,1775658763207076,True,False,False,True,True,True,True,True,True,True,0
1775658763967536383,1775658763711076,True,False,False,True,True,True,True,True,True,True,0
1775658764484106908,1775658764215076,True,False,False,True,True,True,True,True,True,True,0
1775658764995458830,1775658764719076,True,False,False,True,True,True,True,True,True,True,0
1775658765508669355,1775658765223076,True,False,False,True,True,True,True,True,True,True,0
1775658766020610822,1775658765727076,True,False,False,True,True,True,True,True,True,True,0
1775658766534758201,1775658766231076,True,False,False,True,True,True,True,True,True,True,0
1775658767050112791,1775658766735076,True,False,False,True,True,True,True,True,True,True,0
1775658767562017049,1775658767239076,True,False,False,True,True,True,True,True,True,True,0
1775658768078182473,1775658768074366,True,False,False,True,True,True,True,True,True,True,0
1775658768591314994,1775658768589569,True,False,False,True,True,True,True,True,True,True,0
1775658769105611944,1775658769103936,True,False,False,True,True,True,True,True,True,True,0
1775658769616969755,1775658769610354,True,False,False,True,True,True,True,True,True,True,0
1775658770058523187,1775658770030354,True,False,False,True,True,True,True,True,True,True,0
1775658770071003505,1775658770042354,True,True,False,False,True,True,True,False,True,True,0
1775658770580731254,1775658770546501,True,True,False,False,True,True,True,False,True,True,0
1775658771095406584,1775658771050501,True,True,False,False,True,True,True,False,True,True,0
1775658771614443590,1775658771554709,True,True,False,False,True,True,True,False,True,True,0
1775658772126678746,1775658772058709,True,True,False,False,True,True,True,False,True,True,0
1775658772641790648,1775658772562987,True,True,False,False,True,True,True,False,True,True,0
1775658773157398361,1775658773066987,True,True,False,False,True,True,True,False,True,True,0
1775658773671496209,1775658773571327,True,True,False,False,True,True,True,False,True,True,0
1775658774196443026,1775658774075327,True,True,False,False,True,True,True,False,True,True,0
1775658774709596186,1775658774579327,True,True,False,False,True,True,True,False,True,True,0
1775658775226114268,1775658775083327,True,True,False,False,True,True,True,False,True,True,0
1775658775737168335,1775658775587327,True,True,False,False,True,True,True,False,True,True,0
1775658776251643746,1775658776091327,True,True,False,False,True,True,True,False,True,True,0
1775658776766581743,1775658776595327,True,True,False,False,True,True,True,False,True,True,0
1775658777284070308,1775658777099327,True,True,False,False,True,True,True,False,True,True,0
1775658777805765675,1775658777603327,True,True,False,False,True,True,True,False,True,True,0
1775658778109356310,1775658777903327,True,True,False,False,True,True,True,False,True,True,0
1775658778121159293,1775658777915327,True,False,True,False,True,True,True,False,True,True,0
1775658778134128072,1775658777927327,True,False,True,False,True,True,True,False,True,True,0
1775658778650456209,1775658778431327,True,False,True,False,True,True,True,False,True,True,0
1775658779164716475,1775658778935327,True,False,True,False,True,True,True,False,True,True,0
1775658779682237486,1775658779439327,True,False,True,False,True,True,True,False,True,True,0
1775658780198338361,1775658779943327,True,False,True,False,True,True,True,False,True,True,0
1775658780713932217,1775658780447327,True,False,True,False,True,True,True,False,True,True,0
1775658781228423922,1775658780951327,True,False,True,False,True,True,True,False,True,True,0
1775658781745979220,1775658781455327,True,False,True,False,True,True,True,False,True,True,0
1775658782256696410,1775658781959327,True,False,True,False,True,True,True,False,True,True,0
1775658782769296664,1775658782463327,True,False,True,False,True,True,True,False,True,True,0
1775658783284257787,1775658782967327,True,False,True,False,True,True,True,False,True,True,0
1775658783802118756,1775658783471327,True,False,True,False,True,True,True,False,True,True,0
1775658783934596479,1775658783603327,False,True,False,False,True,True,True,False,True,True,0
1775658784451117187,1775658784107327,False,True,False,False,True,True,True,False,True,True,0
1775658784597564066,1775658784251327,False,True,False,False,True,True,True,False,True,True,0
