received_time_ns,timestamp,arming_state,nav_state,nav_state_user_intention,failsafe,failsafe_defer_state,failure_detector_status,pre_flight_checks_pass,gcs_connection_lost,latest_arming_reason,latest_disarming_reason,vehicle_type
1775658809846549877,1775658809656629,1,4,4,False,0,0,True,True,0,0,1
1775658809982065364,1775658809788629,1,4,4,False,0,0,True,True,0,0,1
1775658810178431794,1775658809980629,1,2,2,False,0,0,False,True,0,0,1
1775658810289426757,1775658810088629,1,2,2,False,0,0,True,True,0,0,1
1775658810438065860,1775658810232629,2,14,14,False,0,0,True,True,4,0,1
1775658810952617827,1775658810736629,2,14,14,False,0,0,True,True,4,0,1
1775658811467259378,1775658811240629,2,14,14,False,0,0,True,True,4,0,1
1775658811983371202,1775658811744629,2,14,14,False,0,0,True,True,4,0,1
1775658812503605257,1775658812248629,2,14,14,False,0,0,True,True,4,0,1
1775658813012615172,1775658812752629,2,14,14,False,0,0,True,True,4,0,1
1775658813526659432,1775658813256629,2,14,14,False,0,0,True,True,4,0,1
1775658814047339522,1775658813764629,2,14,14,False,0,0,True,True,4,0,1
1775658814561073879,1775658814268629,2,14,14,False,0,0,True,True,4,0,1
1775658815078531533,1775658814772629,2,14,14,False,0,0,True,True,4,0,1
1775658815592154426,1775658815276629,2,14,14,False,0,0,True,True,4,0,1
1775658816107915602,1775658816105691,2,14,14,False,0,0,True,True,4,0,1
1775658816625293898,1775658816622314,2,14,14,False,0,0,True,True,4,0,1
1775658817141306268,1775658817134374,2,14,14,False,0,0,True,True,4,0,1
1775658817654630080,1775658817638374,2,14,14,False,0,0,True,True,4,0,1
1775658818167889387,1775658818142502,2,14,14,False,0,0,True,True,4,0,1
1775658818680446610,1775658818646502,2,14,14,False,0,0,True,True,4,0,1
1775658819197345443,1775658819150695,2,14,14,False,0,0,True,True,4,0,1
1775658819432804844,1775658819378695,2,14,14,False,0,0,True,True,4,0,1
1775658819445070153,1775658819390695,2,2,2,False,0,0,True,True,4,0,1
1775658819959698658,1775658819894695,2,2,2,False,0,0,True,True,4,0,1
1775658820475310080,1775658820398959,2,2,2,False,0,0,True,True,4,0,1
1775658820987866164,1775658820902959,2,2,2,False,0,0,True,True,4,0,1
1775658821509132716,1775658821407282,2,2,2,False,0,0,True,True,4,0,1
1775658822025848295,1775658821911282,2,2,2,False,0,0,True,True,4,0,1
1775658822544316277,1775658822415282,2,2,2,False,0,0,True,True,4,0,1
1775658823057194753,1775658822919282,2,2,2,False,0,0,True,True,4,0,1
1775658823571934886,1775658823423282,2,2,2,False,0,0,True,True,4,0,1
1775658824085909538,1775658823927282,2,2,2,False,0,0,True,True,4,0,1
1775658824600259192,1775658824431282,2,2,2,False,0,0,True,True,4,0,1
1775658825119542302,1775658824935282,2,2,2,False,0,0,True,True,4,0,1
1775658825635969480,1775658825439282,2,2,2,False,0,0,True,True,4,0,1
1775658826153286851,1775658825943282,2,2,2,False,0,0,True,True,4,0,1
1775658826668795961,1775658826447282,2,2,2,False,0,0,True,True,4,0,1
1775658827184850964,1775658826951282,2,2,2,False,0,0,True,True,4,0,1
1775658827540162916,1775658827299282,2,2,2,False,0,0,True,True,4,0,1
1775658827552627984,1775658827311282,2,18,18,False,0,0,True,True,4,0,1
1775658827563454455,1775658827323282,2,18,18,False,0,0,True,True,4,0,1
1775658828080624621,1775658827827282,2,18,18,False,0,0,True,True,4,0,1
1775658828596296117,1775658828331282,2,18,18,False,0,0,True,True,4,0,1
1775658829113997212,1775658828835282,2,18,18,False,0,0,True,True,4,0,1
1775658829630421551,1775658829339282,2,18,18,False,0,0,True,True,4,0,1
1775658830150939141,1775658829843282,2,18,18,False,0,0,True,True,4,0,1
1775658830665163985,1775658830347282,2,18,18,False,0,0,True,True,4,0,1
1775658831175531954,1775658830851282,2,18,18,False,0,0,True,True,4,0,1
1775658831690226344,1775658831355282,2,18,18,False,0,0,True,True,4,0,1
1775658832203593821,1775658831859282,2,18,18,False,0,0,True,True,4,0,1
1775658832720092837,1775658832719031,2,18,18,False,0,0,True,True,4,0,1
1775658833233036721,1775658833233364,2,18,18,False,0,0,True,True,4,0,1
1775658833540115557,1775658833537656,1,2,2,False,0,0,True,True,4,6,1
1775658834053650730,1775658834043148,1,2,2,False,0,0,True,True,4,6,1
1775658834201483612,1775658834187148,1,2,2,False,0,0,False,True,4,6,1
