received_time_ns,timestamp,rollspeed_integ,pitchspeed_integ,yawspeed_integ,wheel_rate_integ
1775658998653967104,3456000,0.0,0.0,0.0,0.0
1775658998657967104,3460000,0.0,0.0,0.0,0.0
1775658998853967104,3656000,0.0,0.0,0.0,0.0
1775658999053967104,3856000,0.0,0.0,0.0,0.0
1775658999253967104,4056000,0.0,0.0,0.0,0.0
1775658999453967104,4256000,0.0,0.0,0.0,0.0
1775658999653967104,4456000,0.0,0.0,0.0,0.0
1775658999853967104,4656000,0.0,0.0,0.0,0.0
1775659000053967104,4856000,0.0,0.0,0.0,0.0
1775659000253967104,5056000,0.0,0.0,0.0,0.0
1775659000453967104,5256000,0.0,0.0,0.0,0.0
1775659000653967104,5456000,0.0,0.0,0.0,0.0
1775659000853967104,5656000,0.0,0.0,0.0,0.0
1775659001053967104,5856000,0.0,0.0,0.0,0.0
1775659001253967104,6056000,0.0,0.0,0.0,0.0
1775659001453967104,6256000,0.0,0.0,0.0,0.0
1775659001653967104,6456000,0.0,0.0,0.0,0.0
1775659001853967104,6656000,0.0,0.0,0.0,0.0
1775659002053967104,6856000,0.0,0.0,0.0,0.0
1775659002253967104,7056000,0.0,0.0,0.0,0.0
1775659002453967104,7256000,0.0,0.0,0.0,0.0
1775659002653967104,7456000,0.0,0.0,0.0,0.0
1775659002853967104,7656000,0.0,0.0,0.0,0.0
1775659003053967104,7856000,0.0,0.0,0.0,0.0
1775659003253967104,8056000,0.0,0.0,0.0,0.0
1775659003453967104,8256000,0.0,0.0,0.0,0.0
1775659003653967104,8456000,0.0,0.0,0.0,0.0
1775659003853967104,8656000,0.0,0.0,0.0,0.0
1775659004053967104,8856000,0.0,0.0,0.0,0.0
1775659004253967104,9056000,0.0,0.0,0.0,0.0
1775659004453967104,9256000,0.0,0.0,0.0,0.0
1775659004653967104,9456000,0.0,0.0,0.0,0.0
1775659004853967104,9656000,0.0,0.0,0.0,0.0
1775659005053967104,9856000,0.0,0.0,0.0,0.0
1775659005253967104,10056000,0.0,0.0,0.0,0.0
1775659005453967104,10256000,0.0,0.0,0.0,0.0
1775659005653967104,10456000,0.0,0.0,0.0,0.0
1775659005853967104,10656000,0.0,0.0,0.0,0.0
1775659006053967104,10856000,0.0,0.0,0.0,0.0
1775659006253967104,11056000,0.0,0.0,0.0,0.0
1775659006453967104,11256000,0.0,0.0,0.0,0.0
1775659006653967104,11456000,0.0,0.0,0.0,0.0
1775659006853967104,11656000,0.0,0.0,0.0,0.0
1775659007053967104,11856000,0.0,0.0,0.0,0.0
1775659007253967104,12056000,0.0,0.0,0.0,0.0
1775659007453967104,12256000,0.0,0.0,0.0,0.0
1775659007653967104,12456000,0.0,0.0,0.0,0.0
1775659007853967104,12656000,0.0,0.0,0.0,0.0
1775659008053967104,12856000,0.0,0.0,0.0,0.0
1775659008253967104,13056000,0.0,0.0,0.0,0.0
1775659008453967104,13256000,0.0,0.0,0.0,0.0
1775659008653967104,13456000,0.0,0.0,0.0,0.0
1775659008853967104,13656000,0.0,0.0,0.0,0.0
1775659009053967104,13856000,0.0,0.0,0.0,0.0
1775659009253967104,14056000,0.0,0.0,0.0,0.0
1775659009453967104,14256000,0.0,0.0,0.0,0.0
1775659009653967104,14456000,0.0,0.0,0.0,0.0
1775659009853967104,14656000,0.0,0.0,0.0,0.0
1775659010053967104,14856000,0.0,0.0,0.0,0.0
1775659010253967104,15056000,0.0,0.0,0.0,0.0
1775659010453967104,15256000,0.0,0.0,0.0,0.0
1775659010653967104,15456000,0.0,0.0,0.0,0.0
1775659010853967104,15656000,0.0,0.0,0.0,0.0
1775659011053967104,15856000,0.0,0.0,0.0,0.0
1775659011253967104,16056000,0.0,0.0,0.0,0.0
1775659011453967104,16256000,0.0,0.0,0.0,0.0
1775659011653967104,16456000,0.0,0.0,0.0,0.0
1775659011853967104,16656000,0.0,0.0,0.0,0.0
1775659012053967104,16856000,0.0,0.0,0.0,0.0
1775659012253967104,17056000,0.0,0.0,0.0,0.0
1775659012453967104,17256000,0.0,0.0,0.0,0.0
1775659012653967104,17456000,0.0,0.0,0.0,0.0
1775659012853967104,17656000,0.0,0.0,0.0,0.0
1775659013053967104,17856000,0.0,0.0,0.0,0.0
1775659013253967104,18056000,0.0,0.0,0.0,0.0
1775659013453967104,18256000,0.0,0.0,0.0,0.0
1775659013653967104,18456000,0.0,0.0,0.0,0.0
1775659013853967104,18656000,0.0,0.0,0.0,0.0
1775659014053967104,18856000,0.0,0.0,0.0,0.0
1775659014253967104,19056000,0.0,0.0,0.0,0.0
1775659014453967104,19256000,0.0,0.0,0.0,0.0
1775659014653967104,19456000,0.0,0.0,0.0,0.0
1775659014853967104,19656000,0.0,0.0,0.0,0.0
