received_time_ns,timestamp,arming_state,nav_state,nav_state_user_intention,failsafe,failsafe_defer_state,failure_detector_status,pre_flight_checks_pass,gcs_connection_lost,latest_arming_reason,latest_disarming_reason,vehicle_type
1775659159551984637,1775659159363031,1,4,4,False,0,0,True,True,0,0,1
1775659159651435033,1775659159459031,1,4,4,False,0,0,True,True,0,0,1
1775659160107108179,1775659159903031,2,14,14,False,0,0,True,True,4,0,1
1775659160620657273,1775659160407031,2,14,14,False,0,0,True,True,4,0,1
1775659161133183641,1775659160911031,2,14,14,False,0,0,True,True,4,0,1
1775659161648361034,1775659161415031,2,14,14,False,0,0,True,True,4,0,1
1775659162166984754,1775659161919031,2,14,14,False,0,0,True,True,4,0,1
1775659162682049372,1775659162423031,2,14,14,False,0,0,True,True,4,0,1
1775659163201265218,1775659162927031,2,14,14,False,0,0,True,True,4,0,1
1775659163715315533,1775659163431031,2,14,14,False,0,0,True,True,4,0,1
1775659164227697209,1775659163935031,2,14,14,False,0,0,True,True,4,0,1
1775659164743805341,1775659164439031,2,14,14,False,0,0,True,True,4,0,1
1775659165256053477,1775659164943031,2,14,14,False,0,0,True,True,4,0,1
1775659165772406738,1775659165771764,2,14,14,False,0,0,True,True,4,0,1
1775659166287721993,1775659166285389,2,14,14,False,0,0,True,True,4,0,1
1775659166800251027,1775659166794219,2,14,14,False,0,0,True,True,4,0,1
1775659167316343006,1775659167298219,2,14,14,False,0,0,True,True,4,0,1
1775659167837769203,1775659167802322,2,14,14,False,0,0,True,True,4,0,1
1775659168353407849,1775659168306322,2,14,14,False,0,0,True,True,4,0,1
1775659168866331910,1775659168810501,2,14,14,False,0,0,True,True,4,0,1
1775659169382125259,1775659169314501,2,14,14,False,0,0,True,True,4,0,1
1775659169899169543,1775659169818769,2,14,14,False,0,0,True,True,4,0,1
1775659170408836942,1775659170322769,2,14,14,False,0,0,True,True,4,0,1
1775659170923638398,1775659170827073,2,14,14,False,0,0,True,True,4,0,1
1775659171437032599,1775659171331073,2,14,14,False,0,0,True,True,4,0,1
1775659171950718603,1775659171835073,2,14,14,False,0,0,True,True,4,0,1
1775659172463094212,1775659172339073,2,14,14,False,0,0,True,True,4,0,1
1775659172976809097,1775659172843073,2,14,14,False,0,0,True,True,4,0,1
1775659173491028774,1775659173347073,2,14,14,False,0,0,True,True,4,0,1
1775659174004852728,1775659173851073,2,14,14,False,0,0,True,True,4,0,1
1775659174515194706,1775659174355073,2,14,14,False,0,0,True,True,4,0,1
1775659175028047298,1775659174859073,2,14,14,False,0,0,True,True,4,0,1
1775659175542145644,1775659175363073,2,14,14,False,0,0,True,True,4,0,1
1775659176058483545,1775659175867073,2,14,14,False,0,0,True,True,4,0,1
1775659176570933755,1775659176371073,2,14,14,False,0,0,True,True,4,0,1
1775659177082640612,1775659176875073,2,14,14,False,0,0,True,True,4,0,1
1775659177598235120,1775659177379073,2,14,14,False,0,0,True,True,4,0,1
1775659178111000703,1775659177883073,2,14,14,False,0,0,True,True,4,0,1
1775659178160115652,1775659177931073,2,14,14,False,0,0,True,True,4,0,1
1775659178171617975,1775659177943073,2,18,18,False,0,0,True,True,4,0,1
1775659178186097386,1775659177955073,2,18,18,False,0,0,True,True,4,0,1
1775659178698008421,1775659178459073,2,18,18,False,0,0,True,True,4,0,1
1775659179211712870,1775659178963073,2,18,18,False,0,0,True,True,4,0,1
1775659179727983863,1775659179467073,2,18,18,False,0,0,True,True,4,0,1
1775659180240619833,1775659179971073,2,18,18,False,0,0,True,True,4,0,1
1775659180750106268,1775659180475073,2,18,18,False,0,0,True,True,4,0,1
1775659181262799855,1775659180979073,2,18,18,False,0,0,True,True,4,0,1
1775659181779533134,1775659181483073,2,18,18,False,0,0,True,True,4,0,1
1775659182296791729,1775659182297439,2,18,18,False,0,0,True,True,4,0,1
1775659182812383633,1775659182811653,2,18,18,False,0,0,True,True,4,0,1
1775659183323940090,1775659183318861,2,18,18,False,0,0,True,True,4,0,1
1775659183604562554,1775659183594861,1,14,14,False,0,0,False,True,4,6,1
1775659184116455793,1775659184098947,1,14,14,False,0,0,False,True,4,6,1
1775659184631333359,1775659184602947,1,14,14,False,0,0,False,True,4,6,1
