received_time_ns,timestamp,torque_setpoint_achieved,thrust_setpoint_achieved,unallocated_torque_x,unallocated_torque_y,unallocated_torque_z,unallocated_thrust_x,unallocated_thrust_y,unallocated_thrust_z,max_actuator_saturation,handled_motor_failure_mask
1775885094410329600,2812000,True,True,-2.433465670037549e-05,2.9812563298037276e-06,-5.074357250123285e-05,0.0,0.0,1.1304432596167396e-13,2,0
1775885094422329600,2824000,True,True,-5.0365542847430333e-05,3.570957051124424e-05,-2.4156344807124697e-05,0.0,0.0,0.0,2,0
1775885094614329600,3016000,True,True,-3.454361649346538e-05,2.6998499379260466e-05,3.292712426627986e-05,0.0,0.0,3.35832490289123e-13,2,0
1775885094814329600,3216000,True,True,-1.90894406841835e-05,1.3984777069708798e-05,1.27253360915347e-05,0.0,0.0,1.9178558955247442e-14,2,0
1775885095010329600,3412000,True,True,-1.4859021575830411e-05,-3.1318766559707e-05,-1.383677499688929e-05,0.0,0.0,3.274916010034476e-14,2,0
1775885095210329600,3612000,True,True,-1.6969819625956006e-05,-5.067041638540104e-05,3.721976827364415e-05,0.0,0.0,9.094946475628196e-13,2,0
1775885095418329600,3820000,True,True,-5.1525214075809345e-05,-3.250499503337778e-05,2.9718070436501876e-05,0.0,0.0,6.821209721195876e-13,2,0
1775885095602329600,4004000,True,True,-4.777664798893966e-05,5.921659976593219e-05,2.4816132281557657e-05,0.0,0.0,0.0,2,0
1775885095810329600,4212000,True,True,-5.820766091346741e-11,0.0,6.002665031701326e-11,0.0,0.0,0.0,2,0
1775885096010329600,4412000,True,True,-5.820766091346741e-11,0.0,8.731149137020111e-11,0.0,0.0,0.0,2,0
1775885096214329600,4616000,True,True,-5.820766091346741e-11,1.1641532182693481e-10,8.731149137020111e-11,0.0,0.0,0.0,2,0
1775885096414329600,4816000,True,True,5.8942692703567445e-05,-1.1641532182693481e-10,-0.0003541631158441305,0.0,0.0,1.1641532182693481e-10,2,0
1775885096614329600,5016000,True,True,-0.0003717774525284767,0.0005349346902221441,-5.2833504014415666e-05,0.0,0.0,1.1641532182693481e-10,2,0
1775885096810329600,5212000,False,True,-0.001293372712098062,0.0005100637208670378,-6.342637789202854e-05,0.0,0.0,0.0,2,0
1775885097010329600,5412000,False,True,-0.0019106409745290875,0.0001573858316987753,0.0001288372150156647,0.0,0.0,0.0,2,0
1775885097210329600,5612000,True,True,-0.0003834795788861811,1.1641532182693481e-10,4.729372449219227e-11,0.0,0.0,0.0,2,0
1775885097410329600,5812000,True,True,-1.1641532182693481e-10,7.310063665499911e-11,2.1827872842550278e-11,0.0,0.0,0.0,2,0
1775885097614329600,6016000,True,True,0.0,0.0,1.722081287880428e-05,0.0,0.0,0.0,2,0
1775885097814329600,6216000,True,True,0.0009544521453790367,4.76958230137825e-05,-7.76374145061709e-06,0.0,0.0,0.0,2,0
1775885098014329600,6416000,True,True,0.0008054813370108604,1.1641532182693481e-10,2.4556356947869062e-11,0.0,0.0,0.0,2,0
1775885098218329600,6620000,True,True,-1.7462298274040222e-10,0.0,4.729372449219227e-11,0.0,0.0,0.0,2,0
1775885098414329600,6816000,True,True,-1.1641532182693481e-10,0.0,7.275957614183426e-11,0.0,0.0,1.1641532182693481e-10,2,0
1775885098610329600,7012000,True,True,-6.548361852765083e-11,5.820766091346741e-11,2.9103830456733704e-11,0.0,0.0,0.0,2,0
1775885098814329600,7216000,True,True,-2.9103830456733704e-11,4.3655745685100555e-11,1.0913936421275139e-11,0.0,0.0,0.0,2,0
1775885099014329600,7416000,True,True,-7.275957614183426e-11,5.820766091346741e-11,1.0913936421275139e-11,0.0,0.0,0.0,2,0
1775885099214329600,7616000,True,True,-1.1641532182693481e-10,5.820766091346741e-11,-1.8353318864683388e-11,0.0,0.0,0.0,2,0
1775885099414329600,7816000,True,True,-5.820766091346741e-11,5.820766091346741e-11,5.093170329928398e-11,0.0,0.0,0.0,2,0
1775885099614329600,8016000,True,True,-5.820766091346741e-11,7.275957614183426e-12,4.547473508864641e-12,0.0,0.0,0.0,2,0
1775885099822329600,8224000,True,True,-5.093170329928398e-11,5.820766091346741e-11,2.9103830456733704e-11,0.0,0.0,0.0,2,0
1775885100018329600,8420000,True,True,-8.731149137020111e-11,0.0,4.729372449219227e-11,0.0,0.0,0.0,2,0
1775885100214329600,8616000,True,True,6.777443923056126e-05,0.0,2.977046460728161e-05,0.0,0.0,0.0,2,0
1775885100410329600,8812000,True,True,0.00011296302545815706,1.1641532182693481e-10,6.010416200297186e-06,0.0,0.0,0.0,2,0
1775885100610329600,9012000,True,True,-1.7462298274040222e-10,5.820766091346741e-11,3.8198777474462986e-11,0.0,0.0,0.0,2,0
1775885100814329600,9216000,True,True,5.820766091346741e-11,0.0,4.3655745685100555e-11,0.0,0.0,0.0,2,0
1775885101010329600,9412000,True,True,0.0,8.731149137020111e-11,1.4551915228366852e-11,0.0,0.0,0.0,2,0
1775885101214329600,9616000,True,True,0.0,7.275957614183426e-11,4.3655745685100555e-11,0.0,0.0,0.0,2,0
1775885101414329600,9816000,True,True,5.820766091346741e-11,2.9103830456733704e-11,-7.275957614183426e-12,0.0,0.0,0.0,2,0
1775885101614329600,10016000,True,True,-1.4551915228366852e-10,5.820766091346741e-11,6.116351869422942e-11,0.0,0.0,0.0,2,0
1775885101810329600,10212000,True,True,-2.0372681319713593e-10,1.1641532182693481e-10,1.6370904631912708e-11,0.0,0.0,0.0,2,0
1775885102014329600,10416000,True,True,-2.9103830456733704e-11,5.820766091346741e-11,2.7284841053187847e-11,0.0,0.0,0.0,2,0
1775885102210329600,10612000,True,True,-1.0859163012355566e-05,0.0,-1.3488661352312192e-05,0.0,0.0,0.0,2,0
1775885102414329600,10816000,True,True,-5.820766091346741e-11,0.0,1.0913936421275139e-11,0.0,0.0,0.0,2,0
1775885102614329600,11016000,True,True,-1.1641532182693481e-10,0.0,6.002665031701326e-11,0.0,0.0,0.0,2,0
1775885102814329600,11216000,True,True,0.00010041168570751324,0.00018904986791312695,-7.593992449983489e-06,0.0,0.0,0.0,2,0
1775885103010329600,11412000,False,True,0.0006857440457679331,0.0007427410455420613,2.491877239663154e-05,0.0,0.0,-1.1641532182693481e-10,2,0
1775885103210329600,11612000,False,True,0.0013549530413001776,0.0010007453383877873,9.648255172578502e-07,0.0,0.0,-1.1641532182693481e-10,2,0
1775885103414329600,11816000,False,True,0.0018841782584786415,0.0009506683563813567,1.6199457604670897e-05,0.0,0.0,0.0,2,0
1775885103610329600,12012000,False,True,0.0025448373053222895,0.0007746529299765825,2.577499435574282e-05,0.0,0.0,0.0,2,0
1775885103814329600,12216000,False,True,0.0031228801235556602,0.0008304814109578729,3.7636134948115796e-05,0.0,0.0,1.1641532182693481e-10,2,0
1775885104010329600,12412000,False,True,0.0031982804648578167,0.0009796775411814451,2.3377913748845458e-05,0.0,0.0,0.0,2,0
1775885104206329600,12608000,False,True,0.0033034258522093296,0.001586821977980435,5.4099640692584217e-05,0.0,0.0,2.3283064365386963e-10,2,0
1775885104414329600,12816000,False,True,0.0033748087007552385,0.0017196419648826122,-4.6633416786789894e-05,0.0,0.0,0.0,2,0
1775885104610329600,13012000,False,True,0.0038662103470414877,0.0014893258921802044,-2.0874642359558493e-05,0.0,0.0,0.0,2,0
1775885104810329600,13212000,False,True,0.00398516608402133,0.0004919125931337476,3.941006070817821e-05,0.0,0.0,0.0,2,0
1775885105010329600,13412000,False,True,0.003920856863260269,1.328880898654461e-06,5.28517848579213e-05,0.0,0.0,0.0,2,0
1775885105214329600,13616000,False,True,0.003861231729388237,0.0,-5.4569682106375694e-12,0.0,0.0,0.0,2,0
1775885105414329600,13816000,False,True,0.0034292368218302727,0.0,6.184563972055912e-11,0.0,0.0,0.0,2,0
1775885105618329600,14020000,False,True,0.003083449322730303,1.1641532182693481e-10,2.6911341137747513e-06,0.0,0.0,0.0,2,0
