received_time_ns,timestamp,rollspeed_integ,pitchspeed_integ,yawspeed_integ,wheel_rate_integ
1775885776225045760,2844000,0.0,0.0,0.0,0.0
1775885776229045760,2848000,0.0,0.0,0.0,0.0
1775885776437045760,3056000,0.0,0.0,0.0,0.0
1775885776629045760,3248000,0.0,0.0,0.0,0.0
1775885776829045760,3448000,0.0,0.0,0.0,0.0
1775885777029045760,3648000,0.0,0.0,0.0,0.0
1775885777229045760,3848000,0.0,0.0,0.0,0.0
1775885777429045760,4048000,0.0,0.0,0.0,0.0
1775885777629045760,4248000,0.0,0.0,0.0,0.0
1775885777829045760,4448000,0.0,0.0,0.0,0.0
1775885778029045760,4648000,0.0,0.0,0.0,0.0
1775885778229045760,4848000,0.0,0.0,0.0,0.0
1775885778429045760,5048000,0.0,0.0,0.0,0.0
1775885778629045760,5248000,0.0,0.0,0.0,0.0
1775885778829045760,5448000,0.0,0.0,0.0,0.0
1775885779029045760,5648000,0.0,0.0,0.0,0.0
1775885779229045760,5848000,0.0,0.0,0.0,0.0
1775885779429045760,6048000,0.0,0.0,0.0,0.0
1775885779629045760,6248000,0.0,0.0,0.0,0.0
1775885779829045760,6448000,0.0,0.0,0.0,0.0
1775885780029045760,6648000,0.0,0.0,0.0,0.0
1775885780229045760,6848000,0.0,0.0,0.0,0.0
1775885780429045760,7048000,0.0,0.0,0.0,0.0
1775885780633045760,7252000,0.0,0.0,0.0,0.0
1775885780829045760,7448000,0.0,0.0,0.0,0.0
1775885781033045760,7652000,0.0,0.0,0.0,0.0
1775885781229045760,7848000,0.0,0.0,0.0,0.0
1775885781429045760,8048000,0.0,0.0,0.0,0.0
1775885781633045760,8252000,0.0,0.0,0.0,0.0
1775885781829045760,8448000,0.0,0.0,0.0,0.0
1775885782029045760,8648000,0.0,0.0,0.0,0.0
1775885782229045760,8848000,0.0,0.0,0.0,0.0
1775885782429045760,9048000,0.0,0.0,0.0,0.0
1775885782629045760,9248000,0.0,0.0,0.0,0.0
1775885782829045760,9448000,0.0,0.0,0.0,0.0
1775885783029045760,9648000,0.0,0.0,0.0,0.0
1775885783229045760,9848000,0.0,0.0,0.0,0.0
1775885783429045760,10048000,0.0,0.0,0.0,0.0
1775885783629045760,10248000,0.0,0.0,0.0,0.0
1775885783829045760,10448000,0.0,0.0,0.0,0.0
1775885784029045760,10648000,0.0,0.0,0.0,0.0
1775885784229045760,10848000,0.0,0.0,0.0,0.0
1775885784441045760,11060000,0.0,0.0,0.0,0.0
1775885784629045760,11248000,0.0,0.0,0.0,0.0
1775885784829045760,11448000,0.0,0.0,0.0,0.0
1775885785029045760,11648000,0.0,0.0,0.0,0.0
1775885785229045760,11848000,0.0,0.0,0.0,0.0
1775885785429045760,12048000,0.0,0.0,0.0,0.0
1775885785629045760,12248000,0.0,0.0,0.0,0.0
1775885785821045760,12440000,0.0,0.0,0.0,0.0
1775885786029045760,12648000,0.0,0.0,0.0,0.0
1775885786229045760,12848000,0.0,0.0,0.0,0.0
1775885786433045760,13052000,0.0,0.0,0.0,0.0
1775885786629045760,13248000,0.0,0.0,0.0,0.0
1775885786829045760,13448000,0.0,0.0,0.0,0.0
1775885787029045760,13648000,0.0,0.0,0.0,0.0
1775885787229045760,13848000,0.0,0.0,0.0,0.0
1775885787429045760,14048000,0.0,0.0,0.0,0.0
1775885787629045760,14248000,0.0,0.0,0.0,0.0
1775885787829045760,14448000,0.0,0.0,0.0,0.0
1775885788029045760,14648000,0.0,0.0,0.0,0.0
1775885788229045760,14848000,0.0,0.0,0.0,0.0
1775885788429045760,15048000,0.0,0.0,0.0,0.0
1775885788629045760,15248000,0.0,0.0,0.0,0.0
1775885788829045760,15448000,0.0,0.0,0.0,0.0
1775885789029045760,15648000,0.0,0.0,0.0,0.0
