received_time_ns,timestamp,timestamp_sample,reversible_flags,motor_1,motor_2,motor_3,motor_4,motor_5,motor_6,motor_7,motor_8,motor_9,motor_10,motor_11,motor_12,motors_peak
1775885828979451648,2876000,2876000,0,0.0,4.1922295170894464e-13,3.811118087782006e-13,0.0,nan,nan,nan,nan,nan,nan,nan,nan,4.1922295170894464e-13
1775885828983451648,2880000,2880000,0,2.2229440510557197e-13,0.0,0.0,2.445238293530966e-13,nan,nan,nan,nan,nan,nan,nan,nan,2.445238293530966e-13
1775885829079451648,2976000,2976000,0,1.887379141862766e-14,0.0,0.0,2.0761168866424533e-14,nan,nan,nan,nan,nan,nan,nan,nan,2.0761168866424533e-14
1775885829183451648,3080000,3080000,0,0.0,5.2263688168907585e-12,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,5.2263688168907585e-12
1775885829275451648,3172000,3172000,0,0.0,4.732042665697711e-13,0.0,4.3629046230821145e-13,nan,nan,nan,nan,nan,nan,nan,nan,4.732042665697711e-13
1775885829379451648,3276000,3276000,0,2.0877158508902927e-13,0.0,2.4597576579743485e-13,0.0,nan,nan,nan,nan,nan,nan,nan,nan,2.4597576579743485e-13
1775885829479451648,3376000,3376000,0,0.0,1.764603918443918e-14,1.6041855344095524e-14,0.0,nan,nan,nan,nan,nan,nan,nan,nan,1.764603918443918e-14
1775885829575451648,3472000,3472000,0,0.0,0.0,0.0,1.9512007027461253e-12,nan,nan,nan,nan,nan,nan,nan,nan,1.9512007027461253e-12
1775885829679451648,3576000,3576000,0,0.0,1.1327908283707139e-13,1.9219703953354816e-12,0.0,nan,nan,nan,nan,nan,nan,nan,nan,1.9219703953354816e-12
1775885829779451648,3676000,3676000,0,1.4477734332565828e-12,0.0,0.0,5.684341886080801e-13,nan,nan,nan,nan,nan,nan,nan,nan,1.4477734332565828e-12
1775885829879451648,3776000,3776000,0,2.2123622378522612e-13,0.0,0.0,2.4335982990071614e-13,nan,nan,nan,nan,nan,nan,nan,nan,2.4335982990071614e-13
