received_time_ns,timestamp,flag_armed,flag_control_manual_enabled,flag_control_auto_enabled,flag_control_offboard_enabled,flag_control_position_enabled,flag_control_velocity_enabled,flag_control_altitude_enabled,flag_control_acceleration_enabled,flag_control_attitude_enabled,flag_control_rates_enabled,source_id
1775885942324943999,1775885941074798,False,False,True,False,True,True,True,False,True,True,0
1775885942427649473,1775885941158798,False,False,True,False,True,True,True,False,True,True,0
1775885942867476868,1775885941530798,False,False,True,False,True,True,True,False,True,True,0
1775885942869538552,1775885941530798,True,False,False,True,True,True,True,True,True,True,0
1775885943483607260,1775885942030798,True,False,False,True,True,True,True,True,True,True,0
1775885944061666462,1775885942530798,True,False,False,True,True,True,True,True,True,True,0
1775885944655381440,1775885944654288,True,False,False,True,True,True,True,True,True,True,0
1775885945231154657,1775885945229138,True,False,False,True,True,True,True,True,True,True,0
1775885945797208919,1775885945785722,True,False,False,True,True,True,True,True,True,True,0
1775885946357424688,1775885946285722,True,False,False,True,True,True,True,True,True,True,0
1775885946930430783,1775885946793722,True,False,False,True,True,True,True,True,True,True,0
1775885947524653753,1775885947293722,True,False,False,True,True,True,True,True,True,True,0
1775885948067398739,1775885947793722,True,False,False,True,True,True,True,True,True,True,0
1775885948652664631,1775885948301722,True,False,False,True,True,True,True,True,True,True,0
1775885949217525166,1775885948809722,True,False,False,True,True,True,True,True,True,True,0
1775885949768034169,1775885949317722,True,False,False,True,True,True,True,True,True,True,0
1775885950341083825,1775885949825722,True,False,False,True,True,True,True,True,True,True,0
1775885950889569010,1775885950333722,True,False,False,True,True,True,True,True,True,True,0
1775885951488414556,1775885950833722,True,False,False,True,True,True,True,True,True,True,0
1775885952019300378,1775885951337722,True,False,False,True,True,True,True,True,True,True,0
1775885952586871617,1775885951845722,True,False,False,True,True,True,True,True,True,True,0
1775885953188048716,1775885952349722,True,False,False,True,True,True,True,True,True,True,0
1775885953739459313,1775885952857722,True,False,False,True,True,True,True,True,True,True,0
1775885954319349065,1775885953361722,True,False,False,True,True,True,True,True,True,True,0
1775885954867655610,1775885953865722,True,False,False,True,False,False,False,False,True,True,0
1775885955425756648,1775885954369722,True,False,False,True,False,False,False,False,True,True,0
1775885955999355732,1775885954869722,True,False,False,True,False,False,False,False,True,True,0
1775885956560113431,1775885955377722,True,False,False,True,False,False,False,False,True,True,0
1775885957120801311,1775885955877722,True,False,False,True,False,False,False,False,True,True,0
1775885957687371957,1775885956377722,True,False,False,True,False,False,False,False,True,True,0
1775885958276797972,1775885958260220,True,False,False,True,False,False,False,False,True,True,0
1775885958837829640,1775885958843679,True,False,False,True,False,False,False,False,True,True,0
1775885959388594971,1775885959388899,True,False,False,True,False,False,False,False,True,True,0
1775885959943559513,1775885959931453,True,False,False,True,False,False,False,False,True,True,0
1775885960532258500,1775885960483042,True,False,False,True,False,False,False,False,True,True,0
1775885961125810253,1775885960987042,True,False,False,True,False,False,False,False,True,True,0
1775885961681493331,1775885961491042,True,False,False,True,False,False,False,False,True,True,0
1775885962241183306,1775885961995042,True,False,False,True,False,False,False,False,True,True,0
1775885962735370360,1775885962455042,True,False,False,True,False,False,False,False,True,True,0
1775885962756198215,1775885962467042,True,False,True,False,True,True,True,False,True,True,0
1775885962768264621,1775885962479042,True,False,True,False,True,True,True,False,True,True,0
1775885963305796605,1775885962979042,True,False,True,False,True,True,True,False,True,True,0
1775885963885523654,1775885963479042,True,False,True,False,True,True,True,False,True,True,0
1775885964437742066,1775885963987042,True,False,True,False,True,True,True,False,True,True,0
1775885965019666170,1775885964487042,True,False,True,False,True,True,True,False,True,True,0
1775885965587822890,1775885964987042,True,False,True,False,True,True,True,False,True,True,0
1775885966156892266,1775885965491042,True,False,True,False,True,True,True,False,True,True,0
1775885966731086120,1775885965991042,True,False,True,False,True,True,True,False,True,True,0
1775885967319043312,1775885966499042,True,False,True,False,True,True,True,False,True,True,0
1775885967890876651,1775885967003042,True,False,True,False,True,True,True,False,True,True,0
1775885968457676662,1775885967503042,True,False,True,False,True,True,True,False,True,True,0
1775885969032254884,1775885968003042,True,False,True,False,True,True,True,False,True,True,0
1775885969072914462,1775885968043042,False,False,False,True,False,False,False,False,True,True,0
1775885969623075693,1775885968547042,False,False,False,True,False,False,False,False,True,True,0
1775885970187904051,1775885969047042,False,False,False,True,False,False,False,False,True,True,0
