received_time_ns,timestamp,timestamp_sample,q_w,q_x,q_y,q_z,roll,pitch,yaw
1775896914039478062,1775896912970980,1775896912962980,0.70354897,-0.0010058876,0.0018801502,0.71064365,0.0012568619094785428,0.004075222025945491,1.5808324396116566
1775896914047375066,1775896912982980,1775896912974980,0.70354104,-0.0010124012,0.0018638533,0.7106516,0.001224579416494809,0.0040615347597600234,1.580854852080008
1775896914053997272,1775896912990980,1775896912982980,0.70353574,-0.0010167131,0.0018535826,0.7106568,0.0012039443773027166,0.004053202441566616,1.5808696867610608
1775896914074726150,1775896912998980,1775896912990980,0.70353305,-0.001020904,0.001844015,0.71065944,0.001184463796973842,0.004045692211971648,1.580877071982273
1775896914082823727,1775896913010980,1775896913002980,0.7035279,-0.001027349,0.0018300839,0.7106645,0.001155623552410189,0.004035242213860892,1.5808913725140268
1775896914105173029,1775896913026980,1775896913014980,0.703524,-0.0010325138,0.0018178074,0.7106685,0.0011309299277325415,0.004025303242320488,1.580902634337871
1775896914107122088,1775896913030980,1775896913018980,0.7035222,-0.0010318254,0.0018131882,0.7106703,0.0011253430787025712,0.00401782249317014,1.5809076838155867
1775896914119453842,1775896913042980,1775896913042980,0.7035152,-0.0010313318,0.0017919628,0.7106773,0.0010959083658241592,0.0039872448600165086,1.5809275241366714
1775896914130231347,1775896913050980,1775896913050980,0.7035114,-0.0010304708,0.0017815595,0.7106811,0.0010823540960043004,0.0039713776466464715,1.5809381242840488
1775896914140332606,1775896913062980,1775896913062980,0.703507,-0.0010285589,0.0017679618,0.71068543,0.0010657410298919256,0.0039495209632792435,1.580950397482815
1775896914148212074,1775896913070980,1775896913070980,0.70349956,-0.0010273238,0.0017597794,0.71069276,0.0010558897219112762,0.003936241365456194,1.5809711827201842
1775896914173432437,1775896913082980,1775896913082980,0.7034906,-0.0010258734,0.001747999,0.7107017,0.0010412353499876857,0.003917591670826963,1.5809965164815476
1775896914177297884,1775896913090980,1775896913090980,0.70348483,-0.0010253851,0.0017409798,0.7107075,0.0010319771351171856,0.0039070135150584395,1.581012903642186
1775896914189716613,1775896913102980,1775896913102980,0.70347655,-0.0010229707,0.0017304329,0.71071565,0.0010204275859060882,0.003888730166316416,1.5810360462314463
1775896914202074191,1775896913110980,1775896913106980,0.7034739,-0.001022073,0.0017268533,0.7107182,0.0010166166667996358,0.0038824140691738206,1.5810433085648443
1775896914210104952,1775896913122980,1775896913118980,0.7034654,-0.0010192104,0.0017164975,0.71072674,0.0010059704130573478,0.0038637630004754744,1.581067468377526
1775896914218675130,1775896913130980,1775896913126980,0.7034601,-0.0010173183,0.0017111729,0.71073204,0.0010010926575378964,0.003853574684116105,1.581082512953042
1775896914237907518,1775896913142980,1775896913134980,0.70345217,-0.0010149744,0.0017053384,0.71073985,0.0009961394497407005,0.003842022952443464,1.5811046730821792
1775896914246277890,1775896913150980,1775896913146980,0.7034486,-0.0010014053,0.0017059876,0.7107434,0.0010161722719867294,0.0038236429551165955,1.5811148443597485
1775896914269939973,1775896913158980,1775896913154980,0.7034465,-0.0009921148,0.0017063651,0.7107455,0.0010297910617965442,0.003810964676616118,1.5811207775719354
1775896914272617246,1775896913174980,1775896913166980,0.70344454,-0.0009824517,0.001706884,0.7107475,0.0010441341436859559,0.003797955773226215,1.5811263728428162
1775896914279334331,1775896913182980,1775896913174980,0.7034423,-0.00097202166,0.0017074747,0.71074975,0.0010596599428688799,0.003783957106031107,1.5811328158797258
1775896914291211147,1775896913190980,1775896913182980,0.7034404,-0.00096161035,0.00170851,0.71075153,0.0010757888448859653,0.003770610981006844,1.5811379072006413
1775896914305199677,1775896913202980,1775896913190980,0.7034388,-0.0009506712,0.0017109908,0.7107532,0.001094714258647204,0.0037585487449276135,1.5811426677677303
1775896914312461362,1775896913210980,1775896913198980,0.7034368,-0.0009393083,0.0017130264,0.71075517,0.00111360476577587,0.00374525687354439,1.581148274339621
1775896914323465039,1775896913222980,1775896913210980,0.703431,-0.00092324207,0.00171635,0.7107609,0.0011409628400037312,0.0037270849333613707,1.5811645655735416
1775896914336240627,1775896913230980,1775896913230980,0.7034292,-0.00091806863,0.0017176088,0.7107627,0.0011500400354318863,0.003721498835774685,1.581169657856297
1775896914349693260,1775896913242980,1775896913242980,0.7034214,-0.0008976673,0.0017218245,0.7107704,0.001184775461351645,0.003698415667253872,1.5811917170229561
1775896914357268509,1775896913250980,1775896913250980,0.7034169,-0.0008848149,0.0017251667,0.7107749,0.0012076313851932818,0.0036848395112198517,1.5812044502331828
1775896914372966389,1775896913262980,1775896913258980,0.703413,-0.00087298173,0.0017280489,0.7107788,0.0012283961215478136,0.0036720661757925262,1.5812154848922015
1775896914377309365,1775896913270980,1775896913270980,0.70340806,-0.0008569811,0.0017332989,0.7107836,0.0012583947679561819,0.0036566971699948858,1.581229249145093
1775896914388711437,1775896913278980,1775896913278980,0.70340544,-0.00084841467,0.0017372909,0.7107863,0.0012761349128387871,0.0036501308280694534,1.5812369016729209
