received_time_ns,timestamp,arming_state,nav_state,nav_state_user_intention,failsafe,failsafe_defer_state,failure_detector_status,pre_flight_checks_pass,gcs_connection_lost,latest_arming_reason,latest_disarming_reason,vehicle_type
1775896968593728521,1775896967273033,1,4,4,False,0,0,True,True,0,0,1
1775896968754762922,1775896967425033,1,4,4,False,0,0,True,True,0,0,1
1775896968860217073,1775896967521033,1,2,2,False,0,0,False,True,0,0,1
1775896968962572964,1775896967621033,1,2,2,False,0,0,True,True,0,0,1
1775896969520880678,1775896968121033,1,2,2,False,0,0,True,True,0,0,1
1775896970092091501,1775896970091706,1,2,2,False,0,0,True,True,0,0,1
1775896970195583825,1775896970193159,2,14,14,False,0,0,True,True,4,0,1
1775896970764319038,1775896970760283,2,14,14,False,0,0,True,True,4,0,1
1775896971384548098,1775896971359928,2,14,14,False,0,0,True,True,4,0,1
1775896971933159957,1775896971887367,2,14,14,False,0,0,True,True,4,0,1
1775896972520717142,1775896972391367,2,14,14,False,0,0,True,True,4,0,1
1775896973098886208,1775896972895367,2,14,14,False,0,0,True,True,4,0,1
1775896973700741461,1775896973399367,2,14,14,False,0,0,True,True,4,0,1
1775896974252962778,1775896973899367,2,14,14,False,0,0,True,True,4,0,1
1775896974820066377,1775896974403367,2,14,14,False,0,0,True,True,4,0,1
1775896975387616915,1775896974911367,2,14,14,False,0,0,True,True,4,0,1
1775896975983640834,1775896975415367,2,14,14,False,0,0,True,True,4,0,1
1775896976537864304,1775896975923367,2,14,14,False,0,0,True,True,4,0,1
1775896977130556306,1775896976431367,2,14,14,False,0,0,True,True,4,0,1
1775896977717848612,1775896976931367,2,14,14,False,0,0,True,True,4,0,1
1775896978289071392,1775896977435367,2,14,14,False,0,0,True,True,4,0,1
1775896978869741525,1775896977939367,2,14,14,False,0,0,True,True,4,0,1
1775896979426088363,1775896978447367,2,14,14,False,0,0,True,True,4,0,1
1775896979998904596,1775896978951367,2,14,14,False,0,0,True,True,4,0,1
1775896980254742243,1775896979175367,2,14,14,False,0,0,True,True,4,0,1
1775896980284694386,1775896979187367,2,2,2,False,0,0,True,True,4,0,1
1775896980849684558,1775896979687367,2,2,2,False,0,0,True,True,4,0,1
1775896981432938181,1775896980187367,2,2,2,False,0,0,True,True,4,0,1
1775896981985231419,1775896980691367,2,2,2,False,0,0,True,True,4,0,1
1775896982552456988,1775896981195367,2,2,2,False,0,0,True,True,4,0,1
1775896983089256052,1775896981703367,2,2,2,False,0,0,True,True,4,0,1
1775896983633014794,1775896982203367,2,2,2,False,0,0,True,True,4,0,1
1775896984198899394,1775896984200146,2,2,2,False,0,0,True,True,4,0,1
1775896984752026995,1775896984747285,2,2,2,False,0,0,True,True,4,0,1
1775896985312055586,1775896985296890,2,2,2,False,0,0,True,True,4,0,1
1775896985886098824,1775896985829803,2,2,2,False,0,0,True,True,4,0,1
1775896986457693396,1775896986329803,2,2,2,False,0,0,True,True,4,0,1
1775896987028467627,1775896986833803,2,2,2,False,0,0,True,True,4,0,1
1775896987595802007,1775896987341803,2,2,2,False,0,0,True,True,4,0,1
1775896988147808768,1775896987841803,2,2,2,False,0,0,True,True,4,0,1
1775896988356336194,1775896988037803,2,2,2,False,0,0,True,True,4,0,1
1775896988369183209,1775896988049803,2,18,18,False,0,0,True,True,4,0,1
1775896988386182644,1775896988061803,2,18,18,False,0,0,True,True,4,0,1
1775896988936899090,1775896988565803,2,18,18,False,0,0,True,True,4,0,1
1775896989517184071,1775896989069803,2,18,18,False,0,0,True,True,4,0,1
1775896990086479644,1775896989573803,2,18,18,False,0,0,True,True,4,0,1
1775896990649232497,1775896990081803,2,18,18,False,0,0,True,True,4,0,1
1775896991228470874,1775896990581803,2,18,18,False,0,0,True,True,4,0,1
1775896991823649854,1775896991085803,2,18,18,False,0,0,True,True,4,0,1
1775896992424914444,1775896991593803,2,18,18,False,0,0,True,True,4,0,1
1775896992996707268,1775896992097803,2,18,18,False,0,0,True,True,4,0,1
1775896993554646374,1775896992597803,2,18,18,False,0,0,True,True,4,0,1
1775896994116918025,1775896993097803,2,18,18,False,0,0,True,True,4,0,1
1775896994713701278,1775896993597803,2,18,18,False,0,0,True,True,4,0,1
1775896994960988568,1775896993813803,1,2,2,False,0,0,True,True,4,6,1
1775896995534649820,1775896994321803,1,2,2,False,0,0,True,True,4,6,1
1775896995789214670,1775896994549803,1,2,2,False,0,0,False,True,4,6,1
