received_time_ns,event_type,field_name,previous_value,current_value
1775897135071804093,vehicle_control_mode_events,flag_control_manual_enabled,False,True
1775897135071804093,vehicle_control_mode_events,flag_control_auto_enabled,True,False
1775897136420235735,vehicle_control_mode_events,flag_armed,False,True
1775897136420235735,vehicle_control_mode_events,flag_control_manual_enabled,True,False
1775897136420235735,vehicle_control_mode_events,flag_control_offboard_enabled,False,True
1775897145944549299,vehicle_control_mode_events,flag_control_manual_enabled,False,True
1775897145944549299,vehicle_control_mode_events,flag_control_offboard_enabled,True,False
1775897154025691712,vehicle_control_mode_events,flag_control_manual_enabled,True,False
1775897154025691712,vehicle_control_mode_events,flag_control_auto_enabled,False,True
1775897161578766949,vehicle_control_mode_events,flag_armed,True,False
1775897161578766949,vehicle_control_mode_events,flag_control_manual_enabled,False,True
1775897161578766949,vehicle_control_mode_events,flag_control_auto_enabled,True,False
