received_time_ns,event_type,field_name,previous_value,current_value
1775897345514267564,vehicle_status_events,nav_state,4,2
1775897345514267564,vehicle_status_events,pre_flight_checks_pass,True,False
1775897345632578950,vehicle_status_events,pre_flight_checks_pass,False,True
1775897346816955583,vehicle_status_events,arming_state,1,2
1775897346816955583,vehicle_status_events,nav_state,2,14
1775897360058080220,vehicle_status_events,nav_state,14,2
1775897368118021090,vehicle_status_events,nav_state,2,18
1775897375331901849,vehicle_status_events,arming_state,2,1
1775897375331901849,vehicle_status_events,nav_state,18,2
1775897376036773757,vehicle_status_events,pre_flight_checks_pass,True,False
