received_time_ns,timestamp,flag_armed,flag_control_manual_enabled,flag_control_auto_enabled,flag_control_offboard_enabled,flag_control_position_enabled,flag_control_velocity_enabled,flag_control_altitude_enabled,flag_control_acceleration_enabled,flag_control_attitude_enabled,flag_control_rates_enabled,source_id
1775897615128322026,1775897613727270,False,False,True,False,True,True,True,False,True,True,0
1775897615273036615,1775897613859270,False,False,True,False,True,True,True,False,True,True,0
1775897615717047703,1775897614251270,False,False,True,False,True,True,True,False,True,True,0
1775897615718301369,1775897614251270,True,False,False,True,True,True,True,True,True,True,0
1775897616270407398,1775897614751270,True,False,False,True,True,True,True,True,True,True,0
1775897616835428905,1775897615259270,True,False,False,True,True,True,True,True,True,True,0
1775897617443334854,1775897617437201,True,False,False,True,True,True,True,True,True,True,0
1775897618028439805,1775897618025544,True,False,False,True,True,True,True,True,True,True,0
1775897618592880608,1775897618595789,True,False,False,True,True,True,True,True,True,True,0
1775897619145799732,1775897619152308,True,False,False,True,True,True,True,True,True,True,0
1775897619727930500,1775897619692354,True,False,False,True,True,True,True,True,True,True,0
1775897620264691453,1775897620200354,True,False,False,True,True,True,True,True,True,True,0
1775897620823546102,1775897620705018,True,False,False,True,True,True,True,True,True,True,0
1775897621423549045,1775897621209018,True,False,False,True,True,True,True,True,True,True,0
1775897621995886845,1775897621713018,True,False,False,True,True,True,True,True,True,True,0
1775897622583413164,1775897622221018,True,False,False,True,True,True,True,True,True,True,0
1775897623138322646,1775897622725018,True,False,False,True,True,True,True,True,True,True,0
1775897623694155282,1775897623225018,True,False,False,True,True,True,True,True,True,True,0
1775897624245198786,1775897623733018,True,False,False,True,True,True,True,True,True,True,0
1775897624834857427,1775897624241018,True,False,False,True,True,True,True,True,True,True,0
1775897625426449246,1775897624745018,True,False,False,True,True,True,True,True,True,True,0
1775897626009312952,1775897625249018,True,False,False,True,True,True,True,True,True,True,0
1775897626570531155,1775897625753018,True,False,False,True,True,True,True,True,True,True,0
1775897627132555773,1775897626253018,True,False,False,True,True,True,True,True,True,True,0
1775897627732164932,1775897626757018,True,False,False,True,False,False,False,False,True,True,0
1775897628307310185,1775897627265018,True,False,False,True,False,False,False,False,True,True,0
1775897628895795389,1775897627769018,True,False,False,True,False,False,False,False,True,True,0
1775897629475572771,1775897628277018,True,False,False,True,False,False,False,False,True,True,0
1775897630060301561,1775897628785018,True,False,False,True,False,False,False,False,True,True,0
1775897630660567151,1775897629289018,True,False,False,True,False,False,False,False,True,True,0
1775897631203901873,1775897629793018,True,False,False,True,False,False,False,False,True,True,0
1775897631761257780,1775897630297018,True,False,False,True,False,False,False,False,True,True,0
1775897632309488048,1775897630797018,True,False,False,True,False,False,False,False,True,True,0
1775897632890562102,1775897631301018,True,False,False,True,False,False,False,False,True,True,0
1775897633492642398,1775897633473494,True,False,False,True,False,False,False,False,True,True,0
1775897634068695651,1775897634070874,True,False,False,True,False,False,False,False,True,True,0
1775897634626135392,1775897634631091,True,False,False,True,False,False,False,False,True,True,0
1775897635226211206,1775897635189840,True,False,False,True,False,False,False,False,True,True,0
1775897635332708807,1775897635298056,True,False,False,True,False,False,False,False,True,True,0
1775897635343376496,1775897635311710,True,False,True,False,True,True,True,False,True,True,0
1775897635359126564,1775897635324256,True,False,True,False,True,True,True,False,True,True,0
1775897635931481617,1775897635859545,True,False,True,False,True,True,True,False,True,True,0
1775897636497536600,1775897636367545,True,False,True,False,True,True,True,False,True,True,0
1775897637065414710,1775897636871545,True,False,True,False,True,True,True,False,True,True,0
1775897637699692640,1775897637371545,True,False,True,False,True,True,True,False,True,True,0
1775897638254037700,1775897637883545,True,False,True,False,True,True,True,False,True,True,0
1775897638827296408,1775897638383545,True,False,True,False,True,True,True,False,True,True,0
1775897639375992521,1775897638883545,True,False,True,False,True,True,True,False,True,True,0
1775897639926315895,1775897639383545,True,False,True,False,True,True,True,False,True,True,0
1775897640496121164,1775897639891545,True,False,True,False,True,True,True,False,True,True,0
1775897641040186676,1775897640395545,True,False,True,False,True,True,True,False,True,True,0
1775897641561848584,1775897640839545,False,False,False,True,False,False,False,False,True,True,0
1775897642131424751,1775897641343545,False,False,False,True,False,False,False,False,True,True,0
