received_time_ns,timestamp,flag_armed,flag_control_manual_enabled,flag_control_auto_enabled,flag_control_offboard_enabled,flag_control_position_enabled,flag_control_velocity_enabled,flag_control_altitude_enabled,flag_control_acceleration_enabled,flag_control_attitude_enabled,flag_control_rates_enabled,source_id
1775897928570876452,1775897927550327,False,False,True,False,True,True,True,False,True,True,0
1775897928724850159,1775897927706327,False,False,True,False,True,True,True,False,True,True,0
1775897929163312571,1775897928130327,False,False,True,False,True,True,True,False,True,True,0
1775897929170078391,1775897928130327,True,False,False,True,True,True,True,True,True,True,0
1775897929765656662,1775897928634327,True,False,False,True,True,True,True,True,True,True,0
1775897930316450302,1775897929142327,True,False,False,True,True,True,True,True,True,True,0
1775897930864195236,1775897930858651,True,False,False,True,True,True,True,True,True,True,0
1775897931446406511,1775897931427371,True,False,False,True,True,True,True,True,True,True,0
1775897931992180096,1775897931989611,True,False,False,True,True,True,True,True,True,True,0
1775897932569886602,1775897932577468,True,False,False,True,True,True,True,True,True,True,0
1775897933126972998,1775897933144678,True,False,False,True,True,True,True,True,True,True,0
1775897933711922248,1775897933652678,True,False,False,True,True,True,True,True,True,True,0
1775897934256130628,1775897934157655,True,False,False,True,True,True,True,True,True,True,0
1775897934814293460,1775897934661655,True,False,False,True,True,True,True,True,True,True,0
1775897935378443411,1775897935165655,True,False,False,True,True,True,True,True,True,True,0
1775897935965766674,1775897935673655,True,False,False,True,True,True,True,True,True,True,0
1775897936546465270,1775897936181655,True,False,False,True,True,True,True,True,True,True,0
1775897937113202315,1775897936689655,True,False,False,True,True,True,True,True,True,True,0
1775897937655792536,1775897937197655,True,False,False,True,True,True,True,True,True,True,0
1775897938243825622,1775897937705655,True,False,False,True,True,True,True,True,True,True,0
1775897938795223709,1775897938213655,True,False,False,True,True,True,True,True,True,True,0
1775897939359206804,1775897938713655,True,False,False,True,True,True,True,True,True,True,0
1775897939912702903,1775897939213655,True,False,False,True,True,True,True,True,True,True,0
1775897940457350250,1775897939721655,True,False,False,True,False,False,False,False,True,True,0
1775897941020595126,1775897940221655,True,False,False,True,False,False,False,False,True,True,0
1775897941571900718,1775897940729655,True,False,False,True,False,False,False,False,True,True,0
1775897942158550459,1775897941237655,True,False,False,True,False,False,False,False,True,True,0
1775897942762650875,1775897941745655,True,False,False,True,False,False,False,False,True,True,0
1775897943347766062,1775897942253655,True,False,False,True,False,False,False,False,True,True,0
1775897943911420417,1775897942761655,True,False,False,True,False,False,False,False,True,True,0
1775897944456768570,1775897943261655,True,False,False,True,False,False,False,False,True,True,0
1775897945091593108,1775897943761655,True,False,False,True,False,False,False,False,True,True,0
1775897945658288662,1775897944269655,True,False,False,True,False,False,False,False,True,True,0
1775897946218216414,1775897944769655,True,False,False,True,False,False,False,False,True,True,0
1775897946751550793,1775897946750904,True,False,False,True,False,False,False,False,True,True,0
1775897947311063198,1775897947300740,True,False,False,True,False,False,False,False,True,True,0
1775897947880621363,1775897947873646,True,False,False,True,False,False,False,False,True,True,0
1775897947963840430,1775897947961747,True,False,False,True,False,False,False,False,True,True,0
1775897947980866726,1775897947975733,True,False,True,False,True,True,True,False,True,True,0
1775897947992630563,1775897947989705,True,False,True,False,True,True,True,False,True,True,0
1775897948523623621,1775897948514674,True,False,True,False,True,True,True,False,True,True,0
1775897949082320209,1775897949014674,True,False,True,False,True,True,True,False,True,True,0
1775897949657284457,1775897949519266,True,False,True,False,True,True,True,False,True,True,0
1775897950221842443,1775897950019266,True,False,True,False,True,True,True,False,True,True,0
1775897950787405308,1775897950527266,True,False,True,False,True,True,True,False,True,True,0
1775897951327537338,1775897951027266,True,False,True,False,True,True,True,False,True,True,0
1775897951898525065,1775897951531266,True,False,True,False,True,True,True,False,True,True,0
1775897952486641553,1775897952035266,True,False,True,False,True,True,True,False,True,True,0
1775897953057778210,1775897952543266,True,False,True,False,True,True,True,False,True,True,0
1775897953646426534,1775897953047266,True,False,True,False,True,True,True,False,True,True,0
1775897953849230121,1775897953235266,False,False,False,True,False,False,False,False,True,True,0
1775897954414575058,1775897953735266,False,False,False,True,False,False,False,False,True,True,0
