received_time_ns,timestamp,flag_armed,flag_control_manual_enabled,flag_control_auto_enabled,flag_control_offboard_enabled,flag_control_position_enabled,flag_control_velocity_enabled,flag_control_altitude_enabled,flag_control_acceleration_enabled,flag_control_attitude_enabled,flag_control_rates_enabled,source_id
1775898266214900239,1775898264988831,False,False,True,False,True,True,True,False,True,True,0
1775898266315493136,1775898265092831,False,False,True,False,True,True,True,False,True,True,0
1775898266759346889,1775898265492831,False,False,True,False,True,True,True,False,True,True,0
1775898266760836656,1775898265492831,True,False,False,True,True,True,True,True,True,True,0
1775898267348652291,1775898266000831,True,False,False,True,True,True,True,True,True,True,0
1775898267920089745,1775898266508831,True,False,False,True,True,True,True,True,True,True,0
1775898268471543896,1775898267012831,True,False,False,True,True,True,True,True,True,True,0
1775898269051421080,1775898267516831,True,False,False,True,True,True,True,True,True,True,0
1775898269590337945,1775898269594091,True,False,False,True,True,True,True,True,True,True,0
1775898270148246293,1775898270148322,True,False,False,True,True,True,True,True,True,True,0
1775898270721797126,1775898270705095,True,False,False,True,True,True,True,True,True,True,0
1775898271306786293,1775898271269017,True,False,False,True,True,True,True,True,True,True,0
1775898271848749479,1775898271769017,True,False,False,True,True,True,True,True,True,True,0
1775898272456339894,1775898272277017,True,False,False,True,True,True,True,True,True,True,0
1775898273015239848,1775898272785017,True,False,False,True,True,True,True,True,True,True,0
1775898273579644351,1775898273293017,True,False,False,True,True,True,True,True,True,True,0
1775898274138004094,1775898273797017,True,False,False,True,True,True,True,True,True,True,0
1775898274718243399,1775898274297017,True,False,False,True,True,True,True,True,True,True,0
1775898275280650756,1775898274805017,True,False,False,True,True,True,True,True,True,True,0
1775898275826915223,1775898275309017,True,False,False,True,True,True,True,True,True,True,0
1775898276390565601,1775898275809017,True,False,False,True,True,True,True,True,True,True,0
1775898276959629296,1775898276317017,True,False,False,True,True,True,True,True,True,True,0
1775898277499458870,1775898276821017,True,False,False,True,True,True,True,True,True,True,0
1775898278080099201,1775898277325017,True,False,False,True,False,False,False,False,True,True,0
1775898278623050228,1775898277829017,True,False,False,True,False,False,False,False,True,True,0
1775898279212841638,1775898278333017,True,False,False,True,False,False,False,False,True,True,0
1775898279785817434,1775898278833017,True,False,False,True,False,False,False,False,True,True,0
1775898280348644605,1775898279333017,True,False,False,True,False,False,False,False,True,True,0
1775898280893377430,1775898279841017,True,False,False,True,False,False,False,False,True,True,0
1775898281460334486,1775898280349017,True,False,False,True,False,False,False,False,True,True,0
1775898282016575693,1775898280849017,True,False,False,True,False,False,False,False,True,True,0
1775898282589124656,1775898281353017,True,False,False,True,False,False,False,False,True,True,0
1775898283144139296,1775898281853017,True,False,False,True,False,False,False,False,True,True,0
1775898283703404776,1775898283703869,True,False,False,True,False,False,False,False,True,True,0
1775898284258797781,1775898284257015,True,False,False,True,False,False,False,False,True,True,0
1775898284836060844,1775898284834041,True,False,False,True,False,False,False,False,True,True,0
1775898285421265118,1775898285412988,True,False,False,True,False,False,False,False,True,True,0
1775898285468668148,1775898285464424,True,False,False,True,False,False,False,False,True,True,0
1775898285482476553,1775898285476424,True,False,True,False,True,True,True,False,True,True,0
1775898285495063346,1775898285488424,True,False,True,False,True,True,True,False,True,True,0
1775898286063503139,1775898285992424,True,False,True,False,True,True,True,False,True,True,0
1775898286625787712,1775898286492424,True,False,True,False,True,True,True,False,True,True,0
1775898287190266104,1775898286992424,True,False,True,False,True,True,True,False,True,True,0
1775898287744752573,1775898287492424,True,False,True,False,True,True,True,False,True,True,0
1775898288317080754,1775898287996424,True,False,True,False,True,True,True,False,True,True,0
1775898288875477623,1775898288500424,True,False,True,False,True,True,True,False,True,True,0
1775898289439722713,1775898289008424,True,False,True,False,True,True,True,False,True,True,0
1775898290017358488,1775898289516424,True,False,True,False,True,True,True,False,True,True,0
1775898290577421349,1775898290024424,True,False,True,False,True,True,True,False,True,True,0
1775898291124509104,1775898290524424,True,False,True,False,True,True,True,False,True,True,0
1775898291691686438,1775898291028424,True,False,True,False,True,True,True,False,True,True,0
1775898292263223923,1775898291536424,True,False,True,False,True,True,True,False,True,True,0
1775898292531667154,1775898291792424,False,False,False,True,False,False,False,False,True,True,0
1775898293106507209,1775898292300424,False,False,False,True,False,False,False,False,True,True,0
