received_time_ns,event_type,field_name,previous_value,current_value
1775898429071416150,vehicle_status_events,nav_state,4,2
1775898429071416150,vehicle_status_events,pre_flight_checks_pass,True,False
1775898429195884528,vehicle_status_events,pre_flight_checks_pass,False,True
1775898430360815509,vehicle_status_events,arming_state,1,2
1775898430360815509,vehicle_status_events,nav_state,2,14
1775898441155673635,vehicle_status_events,nav_state,14,2
1775898449222761687,vehicle_status_events,nav_state,2,18
1775898455841898171,vehicle_status_events,arming_state,2,1
1775898455841898171,vehicle_status_events,nav_state,18,2
1775898456676945360,vehicle_status_events,pre_flight_checks_pass,True,False
