received_time_ns,timestamp,arming_state,nav_state,nav_state_user_intention,failsafe,failsafe_defer_state,failure_detector_status,pre_flight_checks_pass,gcs_connection_lost,latest_arming_reason,latest_disarming_reason,vehicle_type
1775898641508025822,1775898640199045,1,4,4,False,0,0,True,True,0,0,1
1775898641617120023,1775898640295045,1,4,4,False,0,0,True,True,0,0,1
1775898641673719699,1775898640347045,1,2,2,False,0,0,False,True,0,0,1
1775898641784856555,1775898640447045,1,2,2,False,0,0,True,True,0,0,1
1775898642353535673,1775898640951045,1,2,2,False,0,0,True,True,0,0,1
1775898642966748931,1775898641459045,1,2,2,False,0,0,True,True,0,0,1
1775898643067804157,1775898641559045,2,14,14,False,0,0,True,True,4,0,1
1775898643627465404,1775898643614727,2,14,14,False,0,0,True,True,4,0,1
1775898644177116826,1775898644173118,2,14,14,False,0,0,True,True,4,0,1
1775898644749900554,1775898644737222,2,14,14,False,0,0,True,True,4,0,1
1775898645343836266,1775898645302065,2,14,14,False,0,0,True,True,4,0,1
1775898645919271153,1775898645810065,2,14,14,False,0,0,True,True,4,0,1
1775898646489768263,1775898646314065,2,14,14,False,0,0,True,True,4,0,1
1775898647059628392,1775898646822065,2,14,14,False,0,0,True,True,4,0,1
1775898647623422730,1775898647326065,2,14,14,False,0,0,True,True,4,0,1
1775898648208085346,1775898647834065,2,14,14,False,0,0,True,True,4,0,1
1775898648780513756,1775898648338065,2,14,14,False,0,0,True,True,4,0,1
1775898649350675099,1775898648838065,2,14,14,False,0,0,True,True,4,0,1
1775898649917104054,1775898649338065,2,14,14,False,0,0,True,True,4,0,1
1775898650499690226,1775898649846065,2,14,14,False,0,0,True,True,4,0,1
1775898651073792565,1775898650346065,2,14,14,False,0,0,True,True,4,0,1
1775898651632012117,1775898650850065,2,14,14,False,0,0,True,True,4,0,1
1775898652193947802,1775898651350065,2,14,14,False,0,0,True,True,4,0,1
1775898652746145499,1775898651850065,2,14,14,False,0,0,True,True,4,0,1
1775898653068509213,1775898652134065,2,14,14,False,0,0,True,True,4,0,1
1775898653074128452,1775898652146065,2,2,2,False,0,0,True,True,4,0,1
1775898653619114520,1775898652646065,2,2,2,False,0,0,True,True,4,0,1
1775898654176709989,1775898653150065,2,2,2,False,0,0,True,True,4,0,1
1775898654750508529,1775898653654065,2,2,2,False,0,0,True,True,4,0,1
1775898655307508073,1775898654154065,2,2,2,False,0,0,True,True,4,0,1
1775898655868602208,1775898654658065,2,2,2,False,0,0,True,True,4,0,1
1775898656436819944,1775898655162065,2,2,2,False,0,0,True,True,4,0,1
1775898657006664086,1775898655670065,2,2,2,False,0,0,True,True,4,0,1
1775898657570472676,1775898656170065,2,2,2,False,0,0,True,True,4,0,1
1775898658158572626,1775898658155364,2,2,2,False,0,0,True,True,4,0,1
1775898658732725150,1775898658726565,2,2,2,False,0,0,True,True,4,0,1
1775898659312308981,1775898659301799,2,2,2,False,0,0,True,True,4,0,1
1775898659880882010,1775898659835378,2,2,2,False,0,0,True,True,4,0,1
1775898660433881528,1775898660339378,2,2,2,False,0,0,True,True,4,0,1
1775898660997118388,1775898660847378,2,2,2,False,0,0,True,True,4,0,1
1775898661108772265,1775898660943378,2,2,2,False,0,0,True,True,4,0,1
1775898661119374209,1775898660955378,2,18,18,False,0,0,True,True,4,0,1
1775898661132868011,1775898660967378,2,18,18,False,0,0,True,True,4,0,1
1775898661682587166,1775898661475378,2,18,18,False,0,0,True,True,4,0,1
1775898662258529074,1775898661983378,2,18,18,False,0,0,True,True,4,0,1
1775898662812239079,1775898662491378,2,18,18,False,0,0,True,True,4,0,1
1775898663367546372,1775898662995378,2,18,18,False,0,0,True,True,4,0,1
1775898663933078175,1775898663499378,2,18,18,False,0,0,True,True,4,0,1
1775898664469536552,1775898663999378,2,18,18,False,0,0,True,True,4,0,1
1775898665011572696,1775898664503378,2,18,18,False,0,0,True,True,4,0,1
1775898665586954490,1775898665011378,2,18,18,False,0,0,True,True,4,0,1
1775898666152275707,1775898665515378,2,18,18,False,0,0,True,True,4,0,1
1775898666729044680,1775898666023378,2,18,18,False,0,0,True,True,4,0,1
1775898667144019704,1775898666387378,1,2,2,False,0,0,True,True,4,6,1
1775898667707136222,1775898666887378,1,2,2,False,0,0,True,True,4,6,1
1775898667866643199,1775898667031378,1,2,2,False,0,0,False,True,4,6,1
