feature,roll__h1,pitch__h1,yaw__h1,roll_rate__h1,pitch_rate__h1,yaw_rate__h1,roll__h2,pitch__h2,yaw__h2,roll_rate__h2,pitch_rate__h2,yaw_rate__h2
command_roll,0.0,0.0,0.0,0.0,-0.0031116929037296186,0.0,0.0,0.0,0.0,0.0,-0.020343060997167484,6.243211942532712e-05
command_pitch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
command_yaw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
command_throttle,0.0,0.0,0.0,0.0,-0.0008961960723948176,0.0,0.0012578900565533297,0.0,0.0,0.0,-0.005351275981915447,0.0
roll,1.0398881342473272,0.002592031022373367,0.0,0.0,0.0,0.0,1.1356319518736406,0.03124682310078162,0.0,0.051581939005121105,0.1475558929305735,0.0
pitch,0.015225097654257702,1.0248682642731541,0.0,-0.0723196889945126,-0.08308574081109343,0.0,0.0720945619069606,1.076429238377107,0.0,-0.30696313752644494,-0.41211307998189095,0.0
yaw,0.0,0.0,0.9426333001053102,0.005606785070293797,0.0,0.0,-0.002725323432876407,0.0,0.8994021800078256,0.00960820460936333,0.0,0.0
roll_rate,0.0,0.0,0.0,1.1467473014083804,0.0,0.0,0.010240098609188808,0.0,0.0,1.184552225303535,0.0,0.0
pitch_rate,0.0,0.0,0.0,0.3223186721187061,1.3098964213069084,-0.005469250393051629,0.0,0.0,0.0,0.4969468607152239,1.2216631279389747,-0.0018749583009595612
yaw_rate,0.0,0.0,0.0,-0.0464141103991125,-0.08810938771977911,0.9555813661085234,-0.0010450097204574625,0.0,0.0,-0.06457769528746121,0.0,1.03314456316776
position_x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
position_y,0.0,0.0005732297392903507,0.0,0.0,0.0,0.0,0.0,0.007473373727191302,0.0,0.0,0.0,0.0010490219611424575
position_z,-0.00028229003114896875,-7.802358638220061e-06,0.0,0.0,0.0,0.0,-0.0007075679448286015,-0.00015196880481478092,0.0,0.0,-0.00013149394482013898,0.0
velocity_x,0.004237217261969446,0.0,0.0,0.0,0.0,0.0,0.017490525936846555,0.0,0.0,0.0,0.0,0.0
velocity_y,0.0,0.012061532443125219,0.0,0.0,0.0,0.0,0.0,0.028991998312421087,0.0,0.0,0.0,0.0
velocity_z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
altitude,1.549022156404272e-05,1.8698934020327132e-05,0.0,0.0,0.0,0.0,3.1809832760208705e-05,3.440840462777726e-05,0.0,0.0,0.0,0.0
vertical_speed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heading,0.0,0.0,0.0,0.006728343424363891,0.0,0.0,0.0,0.0,0.0,0.04675187058101205,0.0,0.0
command_roll__lag_1,0.0,0.0,0.0,0.0026759958493440673,-0.0036427080827062005,0.0,0.0,0.0,0.0,0.006612709859243819,-0.0025118923453389067,0.0
command_pitch__lag_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.6651723060531663e-06,0.0
command_yaw__lag_1,0.0,0.0,0.0,0.0,-2.4454191569188206e-05,0.0,0.0,0.0,0.0,0.0,-2.2858706972064783e-05,0.0
command_throttle__lag_1,0.0,0.0,0.0,0.0,-0.00031416953957665554,0.0,0.0,0.0,0.0,0.0,-0.0001229735658549143,0.0
roll__lag_1,0.0,0.0,0.0,0.0,0.057559218986422064,0.0,0.0,0.0,0.0,0.0,0.034165062505049165,0.0
pitch__lag_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
yaw__lag_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
roll_rate__lag_1,0.0025827197948865756,0.0,0.0,-0.06043377417651729,0.0,0.0,0.001089811232565402,0.0,0.0,-0.13676268123329413,0.0,-0.001452854841745691
pitch_rate__lag_1,0.0,0.0,0.0,-0.3487015877292768,-0.4716417745022298,0.0,0.0,0.0,0.0,-0.629111258017645,-0.5823113319998949,0.0
yaw_rate__lag_1,0.0,0.0,0.0,0.0,0.3715987888223882,0.0,0.0,0.0,0.0,0.0,1.0262311309301486,0.0
position_x__lag_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
position_y__lag_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
position_z__lag_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
velocity_x__lag_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
velocity_y__lag_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
velocity_z__lag_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
altitude__lag_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vertical_speed__lag_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heading__lag_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
