feature,delta_state_roll,delta_state_pitch,delta_state_yaw,delta_state_roll_rate,delta_state_pitch_rate,delta_state_yaw_rate,delta_state_position_x,delta_state_position_y,delta_state_position_z,delta_state_velocity_x,delta_state_velocity_y,delta_state_velocity_z,delta_state_altitude,delta_state_vertical_speed,delta_state_heading
command_roll,0.032296817383374955,0.02301176808737488,-0.04037172333447832,0.02918880677786417,0.013818813936162161,-0.061527277795212464,0.005879522793882418,0.00029175084857622797,-0.022160153308031456,-0.006747958764969022,0.02530574652839839,-0.0042555823738096915,0.022160153308031456,0.0042555823738096915,-0.0403213161942093
command_pitch,1.394800280528289e-05,1.2183577210457735e-05,-2.82177659392969e-05,2.763777703317346e-06,3.163110130785816e-06,-4.751353596800911e-05,2.1574455801172993e-06,1.3099407692067975e-06,0.0,-3.0854073473753163e-06,1.3564833256712514e-05,-1.302369861074691e-05,0.0,1.302369861074691e-05,-2.862106335157842e-05
command_yaw,0.0,0.0,0.0,3.293405367047229e-06,1.8186075062244115e-05,0.0,5.838810649133626e-06,-8.884592973167325e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
command_throttle,-0.004332666921185186,-1.991655517957764e-05,0.06693672513696554,-0.0005223822244138843,-0.0005811434155388751,0.0017625643384890333,0.0,0.001830226738041681,-0.0012694961719360467,0.0,-0.00045282275783781846,0.0002497304504552692,0.0012694961719360467,-0.0002497304504552692,0.06718613166887838
roll,-0.0589210346443919,0.04035178488509472,0.6861803557141262,0.008819501151183587,-0.10390593124551027,0.0384073582092305,0.0,-0.012836401170662022,-0.013818670433104188,-0.696118779048479,0.8952078180907017,-0.2469008591528064,0.013818670433104188,0.2469008591528064,0.6832619604809382
pitch,-0.06240331487069786,-0.12969740437739347,-0.36560059852100024,-0.18454058819762598,0.059439647471764834,-0.10980779619455366,-0.020788438279184626,0.07621677244215556,-6.667937589673132e-05,0.0,-0.21742501048629692,0.22602986649003726,6.667937589673132e-05,-0.22602986649003726,-0.3627637087108195
yaw,-0.00019921703266764876,-0.00030970112307276385,0.0028313263316472968,3.21620223411733e-05,-0.00017813950770098443,0.004474118030460617,0.00220767291409383,-0.0009886360850610042,-0.0005455816071274756,0.0,-0.0002140163484913168,0.0018637656469290124,0.0005455816071274756,-0.0018637656469290124,0.004049285863170431
roll_rate,-0.010911043650292412,-0.0018537540914726003,0.0038472732707600845,-0.42168997312200857,-0.0788729344366679,1.322993816827367,-0.002945984617016246,-0.001264198377419488,-0.003370138049935256,0.0007148487205849232,-0.007822266566412347,0.03612601067846521,0.003370138049935256,-0.03612601067846521,0.003498145406268114
pitch_rate,0.03345999162665758,0.005554119656220931,-0.1407852356641456,0.12589100662468852,-0.34888563666597805,-0.6673569349086726,0.02815602709604894,0.013049487423644856,-0.009087599698884384,0.004138727789573438,0.0006995866943162719,0.04000432591878407,0.009087599698884384,-0.04000432591878407,-0.1382635256604263
yaw_rate,0.004428324053142585,0.0031858452791217067,-0.011374037250877827,-0.06071033338184573,-0.013601452519656013,0.07600608958579397,0.002324717626521775,-0.001965532561263553,0.00048377221903494116,0.0011695636337906246,-0.0045353518459955965,-0.011287132040042037,-0.00048377221903494116,0.011287132040042037,-0.011415273189474584
position_x,0.003227784891091383,0.001513977618228298,-0.013319537321369729,-0.0013178158437447312,0.0011167147143195354,0.03618780396611555,-0.007725463585714736,-0.0003998098807261234,0.0022419265728290867,-0.0019055686252842994,-0.0020262215911883955,-0.0239063591033655,-0.0022419265728290867,0.0239063591033655,-0.013470980420960886
position_y,-0.0007545120898567052,-0.00041961040488976565,0.022176883749676357,-0.009296000062531408,-0.001547575885376404,0.016753628336721824,-0.0013720574061933158,5.5956961453140434e-05,-0.00011356883979414984,0.001407324173469775,-0.011125785160796686,-0.012388732263776948,0.00011356883979414984,0.012388732263776948,0.02218779005475434
position_z,5.403176795564041e-05,4.037432331046238e-05,0.0014648337178538669,-0.00024404701034627684,-0.0001357665935237231,0.0032565695067223455,-0.0003934314239218669,1.8995809867935738e-05,-0.0015560265266776217,-0.001139123556760145,0.0008067215862877263,-0.0038719539112661632,0.0015560265266776217,0.0038719539112661632,0.00145429478332534
