feature,roll__h1,pitch__h1,yaw__h1,roll_rate__h1,pitch_rate__h1,yaw_rate__h1,roll__h2,pitch__h2,yaw__h2,roll_rate__h2,pitch_rate__h2,yaw_rate__h2
command_roll,2.4584177657946454e-28,1.119916150077129e-28,-4.562733663568028e-24,-2.341341210292366e-08,-1.5474855201627794e-08,3.841410659878354e-08,2.4584177657946454e-28,1.119916150077129e-28,-4.562733663568028e-24,-2.341341210292366e-08,-1.5474855201627794e-08,3.841410659878354e-08
command_pitch,5.194728075869736e-28,8.901252973331106e-29,-7.608739740057059e-24,-2.926677548585108e-08,-1.934356956385924e-08,4.8017632256769106e-08,5.194728075869736e-28,8.901252973331106e-29,-7.608739740057059e-24,-2.926677548585108e-08,-1.934356956385924e-08,4.8017632256769106e-08
command_yaw,1.0389456151738504e-27,1.7802505946663257e-28,-1.5217479480114076e-23,-5.853355097177608e-08,-3.868713912791144e-08,9.60352645132575e-08,1.0389456151738504e-27,1.7802505946663257e-28,-1.5217479480114076e-23,-5.853355097177608e-08,-3.868713912791144e-08,9.60352645132575e-08
command_throttle,5.470831652727024e-26,1.483067167130235e-26,-2.916663363113554e-23,-6.503725588250487e-07,-4.2985743237929914e-07,1.0670582801500572e-06,5.470831652727024e-26,1.483067167130235e-26,-2.916663363113554e-23,-6.503725588250487e-07,-4.2985743237929914e-07,1.0670582801500572e-06
roll,0.11109790870323835,0.04364560691415491,-957.3927209851568,0.004136744983020496,0.00866352626192838,0.004124394230521926,0.11109790870323835,0.04364560691415491,-957.3927209851568,0.004136744983020496,0.00866352626192838,0.004124394230521926
pitch,0.2828139937704801,0.11109790870322825,-2437.1661194078397,0.010513608549079432,0.022035843922428914,0.01051893238307148,0.2828139937704801,0.11109790870322825,-2437.1661194078397,0.010513608549079432,0.022035843922428914,0.01051893238307148
yaw,-1.2892040066414092e-05,-5.064730017225287e-06,0.11109790870324532,-4.800367773626741e-07,-1.0053342046568257e-06,-4.786035695019597e-07,-1.2892040066414092e-05,-5.064730017225287e-06,0.11109790870324532,-4.800367773626741e-07,-1.0053342046568257e-06,-4.786035695019597e-07
roll_rate,-1.0476233070623096e-25,-2.2188832240510284e-26,9.526822419614685e-22,0.18568443747922472,0.3186869475298529,0.20812843401071807,-1.0476233070623096e-25,-2.2188832240510284e-26,9.526822419614685e-22,0.18568443747922472,0.3186869475298529,0.20812843401071807
pitch_rate,-3.509287182406802e-26,8.337857073499626e-27,1.6782879403369243e-22,0.09542560911043323,0.1697917935992531,0.12269612302421484,-3.509287182406802e-26,8.337857073499626e-27,1.6782879403369243e-22,0.09542560911043323,0.1697917935992531,0.12269612302421484
yaw_rate,-7.447338481069464e-26,-7.169213931763332e-26,1.233240101641976e-21,0.10443173084314639,0.20558642468398733,0.18600185620463056,-7.447338481069464e-26,-7.169213931763332e-26,1.233240101641976e-21,0.10443173084314639,0.20558642468398733,0.18600185620463056
position_x,2.3177153025668263e-34,8.265132152675787e-35,-1.9600591726155637e-30,-2.8056390210352066e-14,-2.0006189862999908e-14,4.218818466239132e-14,2.3177153025668263e-34,8.265132152675787e-35,-1.9600591726155637e-30,-2.8056390210352066e-14,-2.0006189862999908e-14,4.218818466239132e-14
position_y,5.491232239105964e-35,1.949330223917833e-35,-4.641824349668648e-31,6.651452399943842e-15,4.742956019344137e-15,-1.0001739541904134e-14,5.491232239105964e-35,1.949330223917833e-35,-4.641824349668648e-31,6.651452399943842e-15,4.742956019344137e-15,-1.0001739541904134e-14
position_z,0.19332908527910855,0.07595425822251206,-1666.0246908455672,0.007206581089222808,0.015084535859318616,0.00716790825989923,0.19332908527910855,0.07595425822251206,-1666.0246908455672,0.007206581089222808,0.015084535859318616,0.00716790825989923
velocity_z,-2.2013818703840227e-29,-2.0195523789116426e-29,1.2137144534248815e-25,2.45164887418319e-06,1.6661451883056273e-06,-3.901613976598586e-06,-2.2013818703840227e-29,-2.0195523789116426e-29,1.2137144534248815e-25,2.45164887418319e-06,1.6661451883056273e-06,-3.901613976598586e-06
altitude,-0.19332908527910855,-0.07595425822251209,1666.0246908455674,-0.00720658108922281,-0.015084535859318626,-0.007167908259899233,-0.19332908527910855,-0.07595425822251209,1666.0246908455674,-0.00720658108922281,-0.015084535859318626,-0.007167908259899233
vertical_speed,2.2013818703840594e-29,2.0195523789116712e-29,-1.2137144534248202e-25,-2.4516488741832005e-06,-1.6661451883056345e-06,3.901613976598602e-06,2.2013818703840594e-29,2.0195523789116712e-29,-1.2137144534248202e-25,-2.4516488741832005e-06,-1.6661451883056345e-06,3.901613976598602e-06
heading,-1.2892040066427055e-05,-5.064730017230762e-06,0.11109790870328622,-4.800367773638559e-07,-1.0053342046593016e-06,-4.786035695031923e-07,-1.2892040066427055e-05,-5.064730017230762e-06,0.11109790870328622,-4.800367773638559e-07,-1.0053342046593016e-06,-4.786035695031923e-07
clip__command_roll,2.458417765778162e-28,1.1199161500791334e-28,-4.5627336635630336e-24,-2.3413412105914153e-08,-1.5474855202690456e-08,3.841410659912502e-08,2.458417765778162e-28,1.1199161500791334e-28,-4.5627336635630336e-24,-2.3413412105914153e-08,-1.5474855202690456e-08,3.841410659912502e-08
sq__command_roll,1.634077962312391e-28,-3.780645108931433e-27,-3.532979160474636e-23,1.2671799234211291e-06,9.728557485971206e-07,-1.7245023457489852e-06,1.634077962312391e-28,-3.780645108931433e-27,-3.532979160474636e-23,1.2671799234211291e-06,9.728557485971206e-07,-1.7245023457489852e-06
clip__command_pitch,5.194728075850591e-28,8.90125297331866e-29,-7.608739740043211e-24,-2.9266775484012345e-08,-1.934356956911475e-08,4.8017632261319354e-08,5.194728075850591e-28,8.90125297331866e-29,-7.608739740043211e-24,-2.9266775484012345e-08,-1.934356956911475e-08,4.8017632261319354e-08
sq__command_pitch,1.0319157506088125e-29,2.9869179554772487e-27,2.650806624832259e-23,1.9799686104382955e-06,1.5200871138576308e-06,-2.694535021289172e-06,1.0319157506088125e-29,2.9869179554772487e-27,2.650806624832259e-23,1.9799686104382955e-06,1.5200871138576308e-06,-2.694535021289172e-06
clip__command_yaw,1.0389456151712513e-27,1.7802505946649995e-28,-1.5217479480093147e-23,-5.853355096804005e-08,-3.868713913817308e-08,9.603526452283805e-08,1.0389456151712513e-27,1.7802505946649995e-28,-1.5217479480093147e-23,-5.853355096804005e-08,-3.868713913817308e-08,9.603526452283805e-08
sq__command_yaw,4.127663002435286e-29,1.1947671821908992e-26,1.0603226499329038e-22,7.919874441753182e-06,6.080348455430522e-06,-1.0778140085156685e-05,4.127663002435286e-29,1.1947671821908992e-26,1.0603226499329038e-22,7.919874441753182e-06,6.080348455430522e-06,-1.0778140085156685e-05
sq__command_throttle,-1.5307276477502863e-25,-3.9053566722671963e-26,1.1169546412002098e-21,-4.937942192112443e-07,-3.2565199151399376e-07,8.120378283485504e-07,-1.5307276477502863e-25,-3.9053566722671963e-26,1.1169546412002098e-21,-4.937942192112443e-07,-3.2565199151399376e-07,8.120378283485504e-07
sq__roll,-3.6019111453293506,-1.41503651890303,31039.67979618199,-0.1341176268182696,-0.2808806409137865,-0.13371720242143897,-3.6019111453293506,-1.41503651890303,31039.67979618199,-0.1341176268182696,-0.2808806409137865,-0.13371720242143897
sq__pitch,-6.930259418861535,-2.722601909788109,59721.91555721092,-0.2580491047642655,-0.5404285749227283,-0.25727866795011034,-6.930259418861535,-2.722601909788109,59721.91555721092,-0.2580491047642655,-0.5404285749227283,-0.25727866795011034
sq__yaw,5.475578258124773e-08,2.1510007117737286e-08,-0.0004718611564072572,2.036164664927733e-09,4.267037510960953e-09,2.0358578142028447e-09,5.475578258124773e-08,2.1510007117737286e-08,-0.0004718611564072572,2.036164664927733e-09,4.267037510960953e-09,2.0358578142028447e-09
sq__roll_rate,4.975352903380992e-24,2.6002299835746523e-24,-3.157990650292923e-20,6.427274641762692,11.210414506048057,7.673519156462403,4.975352903380992e-24,2.6002299835746523e-24,-3.157990650292923e-20,6.427274641762692,11.210414506048057,7.673519156462403
sq__pitch_rate,4.06806330451619e-24,4.784108387833426e-25,-6.287108950540172e-20,5.198109320997312,9.578350506775351,7.545189407553805,4.06806330451619e-24,4.784108387833426e-25,-6.287108950540172e-20,5.198109320997312,9.578350506775351,7.545189407553805
sq__yaw_rate,5.5628239754777714e-27,1.9441846006897417e-26,-1.223216213110821e-22,0.14265600844225632,0.2807788239002095,0.25393424673155174,5.5628239754777714e-27,1.9441846006897417e-26,-1.223216213110821e-22,0.14265600844225632,0.2807788239002095,0.25393424673155174
