feature,delta_state_roll,delta_state_pitch,delta_state_yaw,delta_state_roll_rate,delta_state_pitch_rate,delta_state_yaw_rate,delta_state_position_x,delta_state_position_y,delta_state_position_z,delta_state_velocity_x,delta_state_velocity_y,delta_state_velocity_z,delta_state_altitude,delta_state_vertical_speed,delta_state_heading
command_roll,0.0,0.0,0.0,0.0,0.0,0.0,-309298.6354813243,1304647.86474175,0.0,0.0,0.0,-0.0006918890042573521,0.0,0.0006918890042573521,0.0
command_pitch,0.0,0.0,0.0,0.0,0.0,0.0,-386623.29435165843,1630809.8309271997,0.0,0.0,0.0,-0.000864861255321857,0.0,0.000864861255321857,0.0
command_yaw,0.0,0.0,0.0,0.0,0.0,0.0,-773246.5887033176,3261619.6618544036,0.0,0.0,0.0,-0.0017297225106436898,0.0,0.0017297225106436898,0.0
command_throttle,0.0,0.0,0.0,0.0,0.0,0.0,-8591628.763372209,36240218.46505745,0.0,0.0,0.0,-0.019219139007109743,0.0,0.019219139007109743,0.0
roll,0.0,0.0,0.0,0.0,0.0,0.0,2972709.945738485,-12692757.865922887,0.0,0.0,0.0,0.00519259697765251,0.0,-0.00519259697765251,0.0
pitch,0.0,0.0,0.0,0.0,0.0,0.0,7766379.241075357,-32986239.684831433,0.0,0.0,0.0,5.770267874116155e-05,0.0,-5.770267874116155e-05,0.0
yaw,0.0,0.0,0.0,0.0,0.0,0.0,-354.59860477197594,1500.225855236629,0.0,0.0,0.0,-8.285698547043355e-08,0.0,8.285698547043355e-08,0.0
roll_rate,0.0,0.0,0.0,0.0,0.0,0.0,-4279635.176305454,18051863.972667776,0.0,0.0,0.0,0.356166480364302,0.0,-0.356166480364302,0.0
pitch_rate,0.0,0.0,0.0,0.0,0.0,0.0,-719874.7545561128,3036492.7409123327,0.0,0.0,0.0,0.0613965065121094,0.0,-0.0613965065121094,0.0
yaw_rate,0.0,0.0,0.0,0.0,0.0,0.0,4097303.9803709323,-17282775.53138963,0.0,0.0,0.0,-0.3329258503503625,0.0,0.3329258503503625,0.0
position_x,0.0,0.0,0.0,0.0,0.0,0.0,-0.06028831928851328,0.2543012416017493,0.0,0.0,0.0,2.7767945696494125e-10,0.0,-2.7767945696494125e-10,0.0
position_y,0.0,0.0,0.0,0.0,0.0,0.0,0.014292818311622147,-0.0602883192885134,0.0,0.0,0.0,-6.583069612998919e-11,0.0,6.583069612998919e-11,0.0
position_z,0.0,0.0,0.0,0.0,0.0,0.0,5321405.454045456,-22519676.56481043,0.0,0.0,0.0,0.0012653319805212568,0.0,-0.0012653319805212568,0.0
velocity_z,0.0,0.0,0.0,0.0,0.0,0.0,3032015.515968271,-12789298.48046713,0.0,0.0,0.0,-0.0352833350952404,0.0,0.0352833350952404,0.0
altitude,0.0,0.0,0.0,0.0,0.0,0.0,-5321405.454045456,22519676.56481043,0.0,0.0,0.0,-0.0012653319805212568,0.0,0.0012653319805212568,0.0
vertical_speed,0.0,0.0,0.0,0.0,0.0,0.0,-3032015.515968262,12789298.48046709,0.0,0.0,0.0,0.03528333509524028,0.0,-0.03528333509524028,0.0
heading,0.0,0.0,0.0,0.0,0.0,0.0,-354.6989134139513,1501.0221515329254,0.0,0.0,0.0,-8.285698547043355e-08,0.0,8.285698547043355e-08,0.0
