feature,actuator_1,actuator_2,actuator_3,actuator_4
command_roll,0.25735711190332944,0.2551440365264752,0.25317194134579396,0.2507923439696159
command_pitch,0.04115520469664233,0.031100209934999963,0.19789786887934754,0.19160401154028836
command_yaw,0.17918708669622402,0.18211730753914906,0.20254710037503182,0.2063568384233333
command_throttle,0.242279122283519,0.24156604460383452,0.2418565957588042,0.23982327901102768
roll,-0.778351163576841,-0.7596179957394673,-0.6957194618820959,-0.6783508205321245
pitch,-0.09588754549266483,-0.07865894974260626,-0.3171229119447198,-0.28107980440827673
yaw,-0.3890220691391375,-0.38785548898043193,-0.4089856621793159,-0.40808538964728214
roll_rate,0.7248422922529546,0.7134606036325477,-0.2827312295745176,-0.25629958162311567
pitch_rate,-0.4772913564447511,-0.45686667887411714,0.3122766780852425,0.3173544701900667
yaw_rate,0.08697799014925509,0.08449850594453281,-0.02832955594661975,-0.027650112398122297
position_x,-0.02557631384817453,-0.02506459020995495,-0.028868210224660663,-0.029142515530402285
position_y,-0.008692629048345684,-0.007729315817725754,-0.012357757694659055,-0.01187254197389249
position_z,-0.12539554636775335,-0.12515409485639217,-0.12705077539699997,-0.12665125588896584
velocity_x,-0.006770117975550782,-0.00865373074574636,-0.007641985661083511,-0.007497830191248592
velocity_y,-0.025956674818114065,-0.0249512031263609,-0.03575486418427053,-0.03519837554429383
velocity_z,0.4287130636629123,0.43193051078314737,0.43082576930712757,0.4317991689612096
altitude,-0.005886712919185173,-0.0059529586688957005,-0.005848190333377321,-0.005869002501807424
vertical_speed,-0.002853571851381561,-0.002880774921407211,-0.002841521900417631,-0.0028483263638651394
heading,0.07865745012981798,0.07943885132075199,0.0935879443464098,0.09355535034463147
