feature,delta_state_roll,delta_state_pitch,delta_state_yaw,delta_state_roll_rate,delta_state_pitch_rate,delta_state_yaw_rate,delta_state_position_x,delta_state_position_y,delta_state_position_z,delta_state_velocity_x,delta_state_velocity_y,delta_state_velocity_z,delta_state_altitude,delta_state_vertical_speed,delta_state_heading
command_roll,0.031711472501941375,-0.0004022053859667801,0.0028564653751046104,0.0008835475452909833,0.0006896807972258878,0.0009466999586596049,-0.0009655971107091232,0.0025639820156435175,0.0002456349839071589,-0.001799953259369908,0.010929599527454148,0.00714603639928478,-0.0002456349839071589,-0.00714603639928478,0.002475760273445492
command_pitch,0.002083256889933726,0.04634278817465232,0.0042229692401270415,0.003631458243419942,0.003720855893814678,-0.004673062521648874,-0.0020100101858918987,0.0018153102388716435,-0.001918269817430331,-0.0443009282396196,0.022046141262264733,0.006597532195258775,0.001918269817430331,-0.006597532195258775,0.003685018921961899
command_yaw,0.00014735394996094392,4.379889816945995e-05,0.0365378279073465,0.0040579122445153215,0.0011620347442883542,-0.0039643877892577995,0.00018235901321885417,0.00018441864767464316,0.0020815919005198,0.0013631716724855432,0.00035034561115534536,-0.007196270014815763,-0.0020815919005198,0.007196270014815763,0.03550502435636695
command_throttle,-0.0019228475191535909,0.003990207008165552,0.05434859512538668,0.00401997861458864,0.007110514414247493,0.053274797616068494,0.006716529141654681,0.010328225348996821,-0.013846943042869424,0.009528434505453287,-0.007799060034528085,0.503308864969767,0.013846943042869424,-0.503308864969767,0.05873293240519271
roll,-0.15359771098384262,0.00011565772983911072,-0.06577714604270754,0.004583971472734603,-0.01290906359875629,-0.036250953964547375,0.010077532704350311,0.03634611101723616,-0.01782169640167461,-0.2108456332318378,0.56679294335958,-0.17293462274496546,0.01782169640167461,0.17293462274496546,-0.06171512611001152
pitch,0.003477146983826506,-0.14101264125652957,-0.03265578559382715,-0.01603780018242586,0.022591920030408733,0.07667189504282014,-0.07074946169274812,0.019794037470601957,0.0036281229841868393,-0.5959675312422796,-0.17624775489845934,-0.04146156513765427,-0.0036281229841868393,0.04146156513765427,-0.028922777684687484
yaw,-0.015308647209940606,-0.021064033730413597,-0.23750027489339692,-0.23196277345492688,-0.04382534112752467,0.25084416407382193,0.005904734394200866,-0.04642696387968468,-0.025917180178705295,-0.1177906430676242,-0.09864334206482907,0.1722847643484377,0.025917180178705295,-0.1722847643484377,0.710005769915867
roll_rate,0.0007065975408923324,-0.00462975672275322,0.005342825167629068,-0.3923782514976927,-0.06884314702661262,0.6345876217277961,-0.0009586870931192001,-0.00508684114073971,0.0036880190735835952,0.0011964653084571054,-0.0017966166859351553,-0.009246706712400712,-0.0036880190735835952,0.009246706712400712,0.01071844957926167
pitch_rate,0.006891152583331771,-0.0015237191192829346,0.009654231629533822,0.14852607856901442,-0.3411062205180104,-0.5284399321504034,-0.0018144385129041849,-0.014012413626492297,0.004122978347677433,-0.015125737070005106,0.0003419556486166491,-0.03311926910221572,-0.004122978347677433,0.03311926910221572,0.005686185108643939
yaw_rate,0.003376704057376009,0.0010443153865516055,-0.012680590168984152,-0.0003529661551678739,-0.04675491803472214,0.20419887715006632,0.0009843982468786387,-0.0011141279620830642,-0.005155941937536454,0.0020168257516505576,-0.003658994929109047,-0.006451192463878277,0.005155941937536454,0.006451192463878277,-0.01335513650524607
