feature,delta_state_roll,delta_state_pitch,delta_state_yaw,delta_state_roll_rate,delta_state_pitch_rate,delta_state_yaw_rate,delta_state_position_x,delta_state_position_y,delta_state_position_z,delta_state_velocity_x,delta_state_velocity_y,delta_state_velocity_z,delta_state_altitude,delta_state_vertical_speed,delta_state_heading
command_roll,0.0,0.0,0.0,0.0,0.0,0.0,377925.44455342897,-1594121.7425420452,-0.019869769710840198,0.03320655727639865,-0.032447342116500924,0.14583305232522153,0.019869769710840198,-0.14583305232522153,0.0
command_pitch,0.0,0.0,0.0,0.0,0.0,0.0,-3108946.8123674793,13113801.35100915,0.07432174101692413,-0.011659454941373434,0.12702285151337306,-0.22485459481857473,-0.07432174101692413,0.22485459481857473,0.0
command_yaw,0.0,0.0,0.0,0.0,0.0,0.0,8137315.266879401,-34323885.538076304,-0.14079750944168426,-0.07508074298509632,-0.15686464412825263,0.35000603116772244,0.14079750944168426,-0.35000603116772244,0.0
command_throttle,0.0,0.0,0.0,0.0,0.0,0.0,70798.72983857704,-298635.0427719102,-0.003175519947317872,-0.006807623743439759,-0.0004326487386107974,0.0228371038951364,0.003175519947317872,-0.0228371038951364,0.0
roll,0.0,0.0,0.0,0.0,0.0,0.0,-57201.03362851809,241278.53344163077,0.009868711310401096,0.05760029720982398,0.07052304086619682,-0.018676174348205277,-0.009868711310401096,0.018676174348205277,0.0
pitch,0.0,0.0,0.0,0.0,0.0,0.0,-51094.95667494129,215522.7429177453,-0.003943582078260186,0.027328095123119754,0.02526592601473134,-0.004355187436460038,0.003943582078260186,0.004355187436460038,0.0
yaw,0.0,0.0,0.0,0.0,0.0,0.0,-1746.9010125872924,7368.57251107607,-0.0003423210460024251,-0.0009455497149179551,0.0009593972142123547,-0.0009707330312401564,0.0003423210460024251,0.0009707330312401564,0.0
roll_rate,0.0,0.0,0.0,0.0,0.0,0.0,4330.430558554297,-18266.111745890423,0.0004929843477654617,-0.002178415231057624,-0.0026302937103803506,0.0015288608264576232,-0.0004929843477654617,-0.0015288608264576232,0.0
pitch_rate,0.0,0.0,0.0,0.0,0.0,0.0,-1896.0272256431574,7997.601874958062,-0.00045540958815367614,-0.00021515145539849757,0.00037276831974765966,-0.0013736906685137364,0.00045540958815367614,0.0013736906685137364,0.0
yaw_rate,0.0,0.0,0.0,0.0,0.0,0.0,9555.832518851987,-40307.26485185647,0.0008101859762383351,-0.006469462627252863,-0.011565969752668246,0.010834704351235793,-0.0008101859762383351,-0.010834704351235793,0.0
position_x,0.0,0.0,0.0,0.0,0.0,0.0,-0.046370604948007516,0.1955951427053637,-1.3289746419315408e-10,-8.217655419409935e-11,-9.016890746314083e-14,-2.448039961526831e-10,1.3289746419315408e-10,2.448039961526831e-10,0.0
position_y,0.0,0.0,0.0,0.0,0.0,0.0,0.010993240461128383,-0.04637042021143868,3.1508253671732576e-11,1.9470655410243044e-11,5.30321678398379e-15,5.804176137104275e-11,-3.1508253671732576e-11,-5.804176137104275e-11,0.0
position_z,0.0,0.0,0.0,0.0,0.0,0.0,-24931.052009190855,105161.29409120524,-0.028390360027207153,0.0013092436938027592,0.0010168299900494614,-0.0016582368553933887,0.028390360027207153,0.0016582368553933887,0.0
velocity_x,0.0,0.0,0.0,0.0,0.0,0.0,-543536.8640794561,2292683.9129563,-0.022338182776476062,0.7657338494523225,0.08591511225130932,-0.04908868132653071,0.022338182776476062,0.04908868132653071,0.0
velocity_y,0.0,0.0,0.0,0.0,0.0,0.0,377600.5390956708,-1592751.1834378876,-0.03935364260181036,0.04720962687462326,0.6557509490179936,0.021950939591375517,0.03935364260181036,-0.021950939591375517,0.0
velocity_z,0.0,0.0,0.0,0.0,0.0,0.0,-84454.8307286716,356237.64969133283,0.036762137268553874,0.002334368032546079,-0.00666020165857235,0.6964293244722046,-0.036762137268553874,-0.6964293244722046,0.0
altitude,0.0,0.0,0.0,0.0,0.0,0.0,24931.05200924156,-105161.29409146664,0.02839036002716118,-0.0013092436937986631,-0.0010168299900513416,0.001658236855239841,-0.02839036002716118,-0.001658236855239841,0.0
vertical_speed,0.0,0.0,0.0,0.0,0.0,0.0,84454.83072874334,-356237.64969154715,-0.036762137268580145,-0.0023343680325400673,0.0066602016585671775,-0.6964293244724801,0.036762137268580145,0.6964293244724801,0.0
heading,0.0,0.0,0.0,0.0,0.0,0.0,-1746.901012541643,7368.572510832392,-0.0003423210459600609,-0.0009455497149129569,0.0009593972142080964,-0.0009707330309592856,0.0003423210459600609,0.0009707330309592856,0.0
command_roll__lag_1,0.0,0.0,0.0,0.0,0.0,0.0,980396.2943238823,-4135394.5630254373,0.057039629755791674,0.017126224269066806,0.09794033808087677,-0.06610771393733844,-0.057039629755791674,0.06610771393733844,0.0
command_pitch__lag_1,0.0,0.0,0.0,0.0,0.0,0.0,2290095.05948905,-9659815.17413249,-0.2145485692310502,-0.087359752980042,-0.09036735413982151,0.18458635209399643,0.2145485692310502,-0.18458635209399643,0.0
command_yaw__lag_1,0.0,0.0,0.0,0.0,0.0,0.0,-2949130.101225932,12439680.739492465,0.29124179504563175,0.08909693826800452,0.012063944717572467,-0.38029504904207084,-0.29124179504563175,0.38029504904207084,0.0
