feature,actuator_1,actuator_2,actuator_3,actuator_4
command_roll,0.0034161706016723296,0.026348775509233178,0.03318916979617341,0.0015866059102826583
command_pitch,0.003972490918309557,0.031814068927040175,0.037096442565106386,-0.00038659665988780706
command_yaw,-0.003400342092984161,-0.029834140275559872,-0.028441580288317225,0.005270155902701984
command_throttle,-5.0394927469316895e-05,-0.0003397089193820875,-0.0006235542633278912,-0.0001776090922150384
roll,-13.755584796051789,-133.53842461332164,-100.15332076252187,45.62565374852412
pitch,-0.016768995656472507,-0.08673108539166499,-0.1468802798949214,-0.046257150649429424
yaw,294.50484814066806,2845.4161111191393,2130.7729389890083,-952.5842696583845
roll_rate,0.05925275411648804,-0.04381735588532901,-0.03319384994764907,0.12017556026258505
pitch_rate,0.0033276341351627698,0.02531720597281857,0.01669665586475933,0.008053093707331177
yaw_rate,0.878767336680274,0.927541681424979,0.8643783492650364,-0.16524536152817115
position_x,-6.379762859685574e-07,-1.1766915226121779e-06,-1.102531745231782e-06,1.0283794409192268e-06
position_y,-1.5124785963713336e-07,-2.7896346331715324e-07,-2.613820769137255e-07,2.43802462183408e-07
position_z,1.8075636085427787e-06,1.3059896631590228e-05,1.8845527548729995e-05,2.6518853795658667e-06
velocity_x,-3.0178933388713145e-07,-5.566293274147546e-07,-5.215395677276322e-07,4.864647610484369e-07
velocity_y,-2.2270918251598146e-07,-4.107694597493655e-07,-3.848785001239897e-07,3.589943521358481e-07
velocity_z,-9.239140630699751e-07,-7.509496588780471e-06,-8.813434905669329e-06,2.049121097252251e-08
altitude,1.8379928531596249e-06,1.3116020782513847e-05,1.8898114413556108e-05,2.6028353792189915e-06
vertical_speed,-9.590970486919926e-07,-7.5743906384182555e-06,-8.874237448934569e-06,7.720452116636835e-08
heading,294.5048483684379,2845.416113285751,2130.7729406749263,-952.5842703350584
mode_guided_nogps,-4.802293357013027,-46.585945040013854,-34.95574067459546,15.904318470442934
mode_stabilize,4.80229367118261,46.58594806353843,34.95574295946499,-15.904319466870898
clip__command_roll,-0.0017082699616370474,-0.013174494557426917,-0.01659477571604108,-0.0007930849348530983
sq__command_roll,1.859970083038998e-05,3.430467911602603e-05,3.2143045536371935e-05,-2.9981354989504504e-05
clip__command_pitch,-0.001985940486031193,-0.015906471990149055,-0.01854769422292942,0.00019280672740295234
sq__command_pitch,2.5329279317437958e-05,4.6716614887240284e-05,4.377292011587851e-05,-4.082897714327973e-05
clip__command_yaw,0.0016998638299074746,0.01491650350581503,0.014220259128562458,-0.0026345827675344617
sq__command_yaw,-5.118359872167306e-06,-9.440857444059835e-06,-8.845813519478501e-06,8.250465006713377e-06
clip__command_throttle,4.802293663947293,46.58594798736706,34.95574291504514,-15.904319431616312
sq__command_throttle,8.424015577062988e-06,1.5536873277535373e-05,1.4557866305455257e-05,-1.3578840053592216e-05
sq__roll,51.11452636331853,495.1017230778909,371.5823019830036,-168.9581025532337
sq__pitch,0.37314107700405263,3.618891422577642,4.087030249816481,-0.38528438664988507
sq__yaw,-0.8184081980011935,-7.90740868724187,-5.92133049405689,2.6471611090071567
sq__roll_rate,0.04496194343312683,-0.027458144758135225,-0.023898648043964216,0.09964514552532573
sq__pitch_rate,0.041388638854048324,0.12379382618546445,0.12235315399887124,-0.01813253686072132
sq__yaw_rate,-0.2546105570340962,-0.2759324008191534,-0.253564129087928,0.04780711811665969
backend_ardupilot__command_roll,-0.0017083250498450041,-0.013175063706604932,-0.016595127504187412,-0.0007928368602773401
backend_ardupilot__command_pitch,-0.0019859404882702084,-0.015906472020033514,-0.018547694263261517,0.00019280673899411396
backend_ardupilot__command_yaw,0.0016998638496837192,0.01491650352733576,0.01422025931662754,-0.002634582735292498
backend_ardupilot__command_throttle,5.967608810385202e-05,0.00035682692910217245,0.0006395935622509176,0.00016264853884173525
