feature,window_mean_roll,window_mean_pitch,window_mean_yaw,window_mean_roll_rate,window_mean_pitch_rate,window_mean_yaw_rate,window_peak_roll,window_peak_pitch,window_peak_yaw,window_peak_roll_rate,window_peak_pitch_rate,window_peak_yaw_rate
command_roll,5.591567844634348e-06,-2.098539001377498e-06,4.9040952053955725e-06,0.00018221034480693095,0.00010417017541423639,-3.027242120075998e-05,5.591567844634348e-06,-2.098539001377498e-06,4.9040952053955725e-06,-0.0001822102194368753,-0.000104172728299168,-3.027242120075998e-05
command_pitch,1.4675369954470049e-06,-1.9613340885655467e-06,5.108968635516331e-06,8.759802834488228e-05,2.0459856241368527e-05,-1.127185314136239e-05,1.4675369954470049e-06,-1.9613340885655467e-06,5.108968635516331e-06,-8.759695722484562e-05,-2.0454852478810237e-05,-1.127185314136239e-05
command_yaw,9.744328379282408e-06,-6.005494556453628e-06,1.5039101359284873e-05,0.0003786944254649084,0.00016919686641127975,-6.211018392496911e-05,9.744328379282408e-06,-6.005494556453628e-06,1.5039101359284873e-05,-0.000378693925927532,-0.00016919980378305157,-6.211018392496911e-05
command_throttle,1.4849784823334796e-05,-1.681796080605366e-05,1.321308835149534e-05,0.000277433130991589,8.215227072194521e-05,0.00014910168584439707,1.4849784823334796e-05,-1.681796080605366e-05,1.321308835149534e-05,-0.0002774099149524547,-8.21809895544446e-05,0.00014910168584439707
roll,0.43836787132304644,0.0009982357336700885,-0.0015874688762284738,-0.004927510345017308,-0.04224191986368871,-0.005813422126682772,0.43836787132304644,0.0009982357336700885,-0.0015874688762284738,0.007939214982857686,0.039567871850446815,-0.005813422126682772
pitch,9.396863510776795,0.3204590316021182,-158.77295271334086,0.2799561605378648,0.16704458982369128,-0.07188036088793652,9.396863510776795,0.3204590316021182,-158.77295271334086,0.23867490559483875,0.13903986759037754,-0.07188036088793652
yaw,-0.004423529541764532,0.00022865058888064087,0.23751718306309716,-0.01511043795692024,-0.0014584699202028768,-0.002396455002300356,-0.004423529541764532,0.00022865058888064087,0.23751718306309716,0.014877130886425971,0.0013207773044951407,-0.002396455002300356
roll_rate,1.533693641892869,0.00012991716766165914,-0.0005575587534474144,0.32914821255188487,0.04898327001763518,-0.017670751150120012,1.533693641892869,0.00012991716766165914,-0.0005575587534474144,-0.2001974721779726,0.054565780703520875,-0.017670751150120012
pitch_rate,-2.9812898725652657,0.0001315526896053647,-7.302961985547841e-05,0.11086008487073411,0.6666576193820413,-0.018004403662676697,-2.9812898725652657,0.0001315526896053647,-7.302961985547841e-05,0.11608702005180029,-0.29639126058281784,-0.018004403662676697
yaw_rate,-7.923315444396732,0.00014988734577700715,-0.0003751696872635896,-0.21720842036091997,-0.11461224230918178,0.3123379526802472,-7.923315444396732,0.00014988734577700715,-0.0003751696872635896,-0.21727913076107624,-0.14286474701350388,0.3123379526802472
position_x,7.522183889531977e-15,-1.903262289228789e-14,4.448000153452517e-14,7.10360017827673e-13,1.1421405673390605e-13,-9.460042224153305e-14,7.522183889531977e-15,-1.903262289228789e-14,4.448000153452517e-14,-7.103100939536614e-13,-1.1391738386722035e-13,-9.460042224153305e-14
position_y,-1.7805996488179636e-15,4.513061079011151e-15,-1.0547879015154583e-14,-1.6838272674085778e-13,-2.7009273031391497e-14,2.2413447792669362e-14,-1.7805996488179636e-15,4.513061079011151e-15,-1.0547879015154583e-14,1.6837089107155482e-13,2.6938939479426156e-14,2.2413447792669362e-14
position_z,11.759897681983338,0.08939352544685057,-198.71774933471266,0.324553718935513,0.19154506126650162,-0.09720130190962488,11.759897681983338,0.08939352544685057,-198.71774933471266,0.32455057138281684,0.1915417753720151,-0.09720130190962488
velocity_x,3.235018604890359e-06,1.7166106003707952e-06,-4.61752174568236e-06,4.592016527514522e-05,8.290659775347853e-05,-1.5032950327116292e-05,3.235018604890359e-06,1.7166106003707952e-06,-4.61752174568236e-06,-4.592016527514522e-05,-8.290659775347853e-05,-1.5032950327116292e-05
velocity_y,5.746968395146265e-05,-3.874109889918244e-07,1.0468531054722369e-06,3.2522224094727934e-05,1.54141434021053e-05,-5.4575620815627865e-06,5.746968395146265e-05,-3.874109889918244e-07,1.0468531054722369e-06,-3.1524413913517724e-05,-1.6090319973828646e-05,-5.4575620815627865e-06
