feature,roll__h1,pitch__h1,yaw__h1,roll_rate__h1,pitch_rate__h1,yaw_rate__h1,roll__h2,pitch__h2,yaw__h2,roll_rate__h2,pitch_rate__h2,yaw_rate__h2
command_roll,0.00035177551471171804,1.022323764669316e-06,0.0010837165554672154,-0.0003251269554617603,-3.40694582342558e-05,-0.007831331460146324,0.00035177551471171804,1.022323764669316e-06,0.0010837165554672154,-0.0003251269554617603,-3.40694582342558e-05,-0.007831331460146324
command_pitch,-0.00019740711523957255,-6.347760770866889e-07,-0.0006701636947661691,0.00031843665134191986,1.881401339465765e-06,0.00377158663706251,-0.00019740711523957255,-6.347760770866889e-07,-0.0006701636947661691,0.00031843665134191986,1.881401339465765e-06,0.00377158663706251
command_yaw,-0.00013537438269184334,-1.7249702477053517e-07,-0.0015438347575664254,-0.00020730668759957925,4.387924080050044e-05,0.003956238864824619,-0.00013537438269184334,-1.7249702477053517e-07,-0.0015438347575664254,-0.00020730668759957925,4.387924080050044e-05,0.003956238864824619
command_throttle,-1.3904277782635975e-05,8.966660661451527e-07,-0.03768573911060438,7.372754678795594e-05,4.575822031867425e-05,0.008937777882968293,-1.3904277782635975e-05,8.966660661451527e-07,-0.03768573911060438,7.372754678795594e-05,4.575822031867425e-05,0.008937777882968293
roll,0.22862295380959374,9.772248553186195e-06,0.14939257667016617,0.019422867538710926,-0.002294307462490887,0.06750539023694152,0.22862295380959374,9.772248553186195e-06,0.14939257667016617,0.019422867538710926,-0.002294307462490887,0.06750539023694152
pitch,0.0008319251778133274,0.24992192107395456,0.002071289726110752,0.010054373712436036,0.0002673928740782613,0.052484762276629966,0.0008319251778133274,0.24992192107395456,0.002071289726110752,0.010054373712436036,0.0002673928740782613,0.052484762276629966
yaw,6.773651941826464e-05,3.6254228638475074e-09,0.06671490418823456,-0.00028366851946380004,4.525921447153488e-05,0.0019183733721296467,6.773651941826464e-05,3.6254228638475074e-09,0.06671490418823456,-0.00028366851946380004,4.525921447153488e-05,0.0019183733721296467
roll_rate,0.00038212427405813677,2.6081311449840464e-06,-0.013112014265773556,0.23925486881370867,0.0005947588789813074,-0.016580132275106872,0.00038212427405813677,2.6081311449840464e-06,-0.013112014265773556,0.23925486881370867,0.0005947588789813074,-0.016580132275106872
pitch_rate,-0.0012246421607638263,7.796122030992629e-07,0.04114818170457468,0.010334663544312435,0.24843035961430082,0.008388366213768615,-0.0012246421607638263,7.796122030992629e-07,0.04114818170457468,0.010334663544312435,0.24843035961430082,0.008388366213768615
yaw_rate,0.00029921494284509964,2.874698735123733e-06,0.018792788612260095,-0.0035391295434496115,0.00010888333991992235,0.21981376563860022,0.00029921494284509964,2.874698735123733e-06,0.018792788612260095,-0.0035391295434496115,0.00010888333991992235,0.21981376563860022
position_x,-1.555639975626604e-13,-8.641400450160975e-16,3.738258742470102e-12,2.4323366096697624e-13,-1.5235536076126373e-14,2.6957024297559655e-12,-1.555639975626604e-13,-8.641400450160975e-16,3.738258742470102e-12,2.4323366096697624e-13,-1.5235536076126373e-14,2.6957024297559655e-12
position_y,3.7016987783706977e-14,2.0513356045344703e-16,-8.884942419405154e-13,-5.766143411216662e-14,3.6105178315950016e-15,-6.390330067853528e-13,3.7016987783706977e-14,2.0513356045344703e-16,-8.884942419405154e-13,-5.766143411216662e-14,3.6105178315950016e-15,-6.390330067853528e-13
position_z,4.113320379886713e-06,-4.768772935961187e-09,-8.411402794377834e-05,2.3945649439117466e-06,-2.046804018952566e-06,-3.9147710758425636e-06,4.113320379886713e-06,-4.768772935961187e-09,-8.411402794377834e-05,2.3945649439117466e-06,-2.046804018952566e-06,-3.9147710758425636e-06
velocity_x,0.00045480452835752137,1.4156193318364522e-06,-0.009668227199154306,-0.0005153896336038904,-1.8663866536870746e-05,-0.007310549410208965,0.00045480452835752137,1.4156193318364522e-06,-0.009668227199154306,-0.0005153896336038904,-1.8663866536870746e-05,-0.007310549410208965
velocity_y,0.0005773387619664391,1.4769266149676028e-06,0.004338938970793681,-0.0004003057884513771,-7.331986386116646e-05,-0.014268856919746888,0.0005773387619664391,1.4769266149676028e-06,0.004338938970793681,-0.0004003057884513771,-7.331986386116646e-05,-0.014268856919746888
velocity_z,-2.386445199120553e-06,-2.893213113271711e-09,-0.00016067102813393505,8.199410776038219e-06,2.4169241182704705e-06,0.00038057513026048607,-2.386445199120553e-06,-2.893213113271711e-09,-0.00016067102813393505,8.199410776038219e-06,2.4169241182704705e-06,0.00038057513026048607
altitude,-4.113320405251783e-06,4.768770587489791e-09,8.41140282799887e-05,-2.3945649347750597e-06,2.046804011485444e-06,3.914771050079365e-06,-4.113320405251783e-06,4.768770587489791e-09,8.41140282799887e-05,-2.3945649347750597e-06,2.046804011485444e-06,3.914771050079365e-06
vertical_speed,2.386445199299792e-06,2.8932122700563196e-09,0.00016067102898854725,-8.199410773453903e-06,-2.4169241170396426e-06,-0.0003805751301461778,2.386445199299792e-06,2.8932122700563196e-09,0.00016067102898854725,-8.199410773453903e-06,-2.4169241170396426e-06,-0.0003805751301461778
heading,6.773651940670724e-05,3.6254214873331795e-09,0.06671490418831846,-0.00028366851959051194,4.525921447483217e-05,0.0019183733726519556,6.773651940670724e-05,3.6254214873331795e-09,0.06671490418831846,-0.00028366851959051194,4.525921447483217e-05,0.0019183733726519556
mode_guided_nogps,0.0006964122152054359,-2.2620983922831542e-06,0.2689206907566952,-0.0014162707117544358,8.066097104611063e-05,0.01315441192666664,0.0006964122152054359,-2.2620983922831542e-06,0.2689206907566952,-0.0014162707117544358,8.066097104611063e-05,0.01315441192666664
mode_stabilize,-0.0006964122152054316,2.262098392283148e-06,-0.26892069075669517,0.001416270711754452,-8.066097104611409e-05,-0.013154411926666634,-0.0006964122152054316,2.262098392283148e-06,-0.26892069075669517,0.001416270711754452,-8.066097104611409e-05,-0.013154411926666634
integrator_yaw,-2.8091183238660045,0.016960616649508556,1236.4101917129594,6.358470883386717,-1.1037922278738599,-40.03847970360556,-2.8091183238660045,0.016960616649508556,1236.4101917129594,6.358470883386717,-1.1037922278738599,-40.03847970360556
control_output_roll,0.057007965503257624,-0.0007383361618113775,-4.489119908337388,-3.9817428755102293,0.2051822800511384,-4.2892045242449806,0.057007965503257624,-0.0007383361618113775,-4.489119908337388,-3.9817428755102293,0.2051822800511384,-4.2892045242449806
control_output_pitch,-0.5887046147238976,0.00015648373335076102,16.937552545419006,3.4169777576748914,-0.6293157959935406,2.7120573765119147,-0.5887046147238976,0.00015648373335076102,16.937552545419006,3.4169777576748914,-0.6293157959935406,2.7120573765119147
control_output_yaw,-0.9081550165099911,0.0008118725109665158,7.736160659779466,14.517606825932887,-1.5927985369032072,22.299702869726175,-0.9081550165099911,0.0008118725109665158,7.736160659779466,14.517606825932887,-1.5927985369032072,22.299702869726175
actuator_1,0.0011412538258385198,-2.844231973333035e-06,0.4635092550787333,0.0009981220173767421,-2.106949148339551e-05,0.02466255473551592,0.0011412538258385198,-2.844231973333035e-06,0.4635092550787333,0.0009981220173767421,-2.106949148339551e-05,0.02466255473551592
actuator_2,0.001383188811241814,-1.1610395533935177e-06,0.45359749457343584,-0.002731064515669908,0.00028579984693335325,0.02159412118396322,0.001383188811241814,-1.1610395533935177e-06,0.45359749457343584,-0.002731064515669908,0.00028579984693335325,0.02159412118396322
actuator_3,0.0015314007537022163,-1.7859689008867302e-06,0.45766669402295435,-0.0016092665941225778,0.00019220773353878883,0.020766968568337714,0.0015314007537022163,-1.7859689008867302e-06,0.45766669402295435,-0.0016092665941225778,0.00019220773353878883,0.020766968568337714
actuator_4,0.0014989636589149338,-3.881043429655782e-06,0.45763704654764,-0.0019301337148833735,0.00024854667923246984,0.0199091541393672,0.0014989636589149338,-3.881043429655782e-06,0.45763704654764,-0.0019301337148833735,0.00024854667923246984,0.0199091541393672
command_roll__lag_1,-0.00017220997307094065,-6.05730660911947e-07,-0.0002992396779970324,0.00021984584187227586,1.2172814510938427e-05,0.0037467424264834796,-0.00017220997307094065,-6.05730660911947e-07,-0.0002992396779970324,0.00021984584187227586,1.2172814510938427e-05,0.0037467424264834796
command_pitch__lag_1,0.00021064219559645985,7.510174666680741e-07,0.0008254781292696514,-0.00036246112227943865,-4.83997887959582e-06,-0.004341456510736969,0.00021064219559645985,7.510174666680741e-07,0.0008254781292696514,-0.00036246112227943865,-4.83997887959582e-06,-0.004341456510736969
command_yaw__lag_1,-0.00021040687043175156,-7.233523757725341e-07,-0.00033518844518688317,0.0004204961765673592,-3.815425202880318e-06,0.0038959503044866256,-0.00021040687043175156,-7.233523757725341e-07,-0.00033518844518688317,0.0004204961765673592,-3.815425202880318e-06,0.0038959503044866256
command_throttle__lag_1,-1.5328770331917e-05,8.593692805245312e-07,-0.03638808019152288,7.042475408785743e-05,4.468758859306026e-05,0.008679275281798803,-1.5328770331917e-05,8.593692805245312e-07,-0.03638808019152288,7.042475408785743e-05,4.468758859306026e-05,0.008679275281798803
roll__lag_1,0.2286229538080725,9.772248520204328e-06,0.1493925766365364,0.019422867557321862,-0.0022943074606925316,0.06750539025278476,0.2286229538080725,9.772248520204328e-06,0.1493925766365364,0.019422867557321862,-0.0022943074606925316,0.06750539025278476
pitch__lag_1,0.0008319251800952626,0.24992192107433817,0.0020712893663424777,0.010054373666859516,0.000267392877754963,0.052484762382770896,0.0008319251800952626,0.24992192107433817,0.0020712893663424777,0.010054373666859516,0.000267392877754963,0.052484762382770896
yaw__lag_1,6.773651942109574e-05,3.625421857147288e-09,0.0667149041884564,-0.00028366851965921594,4.525921445443951e-05,0.0019183733726090457,6.773651942109574e-05,3.625421857147288e-09,0.0667149041884564,-0.00028366851965921594,4.525921445443951e-05,0.0019183733726090457
roll_rate__lag_1,0.0003821242740029894,2.6081311748506695e-06,-0.013112014261115284,0.23925486881525065,0.0005947588785343009,-0.016580132272509727,0.0003821242740029894,2.6081311748506695e-06,-0.013112014261115284,0.23925486881525065,0.0005947588785343009,-0.016580132272509727
pitch_rate__lag_1,-0.00122464216071531,7.796122085756345e-07,0.04114818170833745,0.010334663544085698,0.2484303596157178,0.008388366202596314,-0.00122464216071531,7.796122085756345e-07,0.04114818170833745,0.010334663544085698,0.2484303596157178,0.008388366202596314
yaw_rate__lag_1,0.0002992149429270147,2.8746987370528165e-06,0.018792788610084155,-0.003539129542842711,0.00010888333982914268,0.219813765639556,0.0002992149429270147,2.8746987370528165e-06,0.018792788610084155,-0.003539129542842711,0.00010888333982914268,0.219813765639556
position_x__lag_1,6.346126318713888e-15,-1.0724473194078208e-17,3.968136902590776e-12,-6.229963510113582e-14,-3.3037873761663392e-15,-1.1613789786156423e-12,6.346126318713888e-15,-1.0724473194078208e-17,3.968136902590776e-12,-6.229963510113582e-14,-3.3037873761663392e-15,-1.1613789786156423e-12
position_y__lag_1,-1.3598887112329789e-15,2.8409593216867626e-18,-9.428154309538665e-13,1.4764173744156342e-14,7.802949429048364e-16,2.7507302077887243e-13,-1.3598887112329789e-15,2.8409593216867626e-18,-9.428154309538665e-13,1.4764173744156342e-14,7.802949429048364e-16,2.7507302077887243e-13
position_z__lag_1,2.7341429730665265e-06,1.136383433013487e-08,-4.7890928852621504e-05,1.078423112281306e-06,-1.215553272317065e-06,-1.3948187458265703e-05,2.7341429730665265e-06,1.136383433013487e-08,-4.7890928852621504e-05,1.078423112281306e-06,-1.215553272317065e-06,-1.3948187458265703e-05
velocity_x__lag_1,-0.0005539932466126177,-1.494359849080961e-06,0.005747983871336125,0.0005634929531857861,3.937589131161309e-05,0.010986672924427145,-0.0005539932466126177,-1.494359849080961e-06,0.005747983871336125,0.0005634929531857861,3.937589131161309e-05,0.010986672924427145
velocity_y__lag_1,-2.571377496064139e-05,2.0688916074495953e-08,0.00019512210323798936,-4.343605177313436e-05,7.634050317071317e-06,0.0007774990792250496,-2.571377496064139e-05,2.0688916074495953e-08,0.00019512210323798936,-4.343605177313436e-05,7.634050317071317e-06,0.0007774990792250496
velocity_z__lag_1,-5.042627728488858e-07,-8.719632797546116e-09,4.606682091364452e-05,-5.663021672378857e-07,-1.4980101066728242e-06,-0.00019604203105453693,-5.042627728488858e-07,-8.719632797546116e-09,4.606682091364452e-05,-5.663021672378857e-07,-1.4980101066728242e-06,-0.00019604203105453693
altitude__lag_1,-2.7341429542865643e-06,-1.1363834638980887e-08,4.789092919902746e-05,-1.0784229476505866e-06,1.2155532503087533e-06,1.3948187688342721e-05,-2.7341429542865643e-06,-1.1363834638980887e-08,4.789092919902746e-05,-1.0784229476505866e-06,1.2155532503087533e-06,1.3948187688342721e-05
vertical_speed__lag_1,5.042627051787996e-07,8.719626978924326e-09,-4.6066821527490664e-05,5.663022702472133e-07,1.498010088195352e-06,0.00019604203081789972,5.042627051787996e-07,8.719626978924326e-09,-4.6066821527490664e-05,5.663022702472133e-07,1.498010088195352e-06,0.00019604203081789972
heading__lag_1,6.773651942872478e-05,3.6254212801530896e-09,0.06671490418847748,-0.0002836685196673854,4.525921444322329e-05,0.0019183733727490687,6.773651942872478e-05,3.6254212801530896e-09,0.06671490418847748,-0.0002836685196673854,4.525921444322329e-05,0.0019183733727490687
command_roll__lag_2,-0.00013228338328007157,-3.625119296471952e-07,0.00046030807489927096,9.66539159906369e-05,1.0012013761256537e-05,0.002504354938276161,-0.00013228338328007157,-3.625119296471952e-07,0.00046030807489927096,9.66539159906369e-05,1.0012013761256537e-05,0.002504354938276161
command_pitch__lag_2,3.531679345594772e-05,9.78501178524802e-08,-0.00017141738791625827,-0.00010051867548626363,7.009601903935727e-06,-0.00029962366910529835,3.531679345594772e-05,9.78501178524802e-08,-0.00017141738791625827,-0.00010051867548626363,7.009601903935727e-06,-0.00029962366910529835
command_yaw__lag_2,0.00012665608522664025,3.23847277806813e-07,0.0002034974874975783,7.14218459207933e-05,-2.902168733375101e-05,-0.0031681269211363224,0.00012665608522664025,3.23847277806813e-07,0.0002034974874975783,7.14218459207933e-05,-2.902168733375101e-05,-0.0031681269211363224
command_throttle__lag_2,-1.8512485203366066e-05,8.587044894763231e-07,-0.036506043503055516,6.592518562360055e-05,4.558177304056531e-05,0.008773306704592133,-1.8512485203366066e-05,8.587044894763231e-07,-0.036506043503055516,6.592518562360055e-05,4.558177304056531e-05,0.008773306704592133
roll__lag_2,0.2286229538078361,9.772248516981829e-06,0.14939257664126948,0.019422867552149035,-0.002294307460277983,0.06750539024052707,0.2286229538078361,9.772248516981829e-06,0.14939257664126948,0.019422867552149035,-0.002294307460277983,0.06750539024052707
pitch__lag_2,0.0008319251867949943,0.2499219210746257,0.002071289611551917,0.01005437367921534,0.00026739287559360655,0.05248476244610116,0.0008319251867949943,0.2499219210746257,0.002071289611551917,0.01005437367921534,0.00026739287559360655,0.05248476244610116
yaw__lag_2,6.773651945949632e-05,3.6254203208180393e-09,0.06671490418910786,-0.0002836685195466902,4.5259214454259555e-05,0.001918373372998351,6.773651945949632e-05,3.6254203208180393e-09,0.06671490418910786,-0.0002836685195466902,4.5259214454259555e-05,0.001918373372998351
roll_rate__lag_2,0.0003821242739713002,2.6081311795420077e-06,-0.013112014261184319,0.23925486881485164,0.0005947588788609872,-0.016580132272505693,0.0003821242739713002,2.6081311795420077e-06,-0.013112014261184319,0.23925486881485164,0.0005947588788609872,-0.016580132272505693
pitch_rate__lag_2,-0.0012246421609674628,7.796122135869268e-07,0.04114818173144709,0.010334663546030801,0.24843035961588386,0.008388366200533806,-0.0012246421609674628,7.796122135869268e-07,0.04114818173144709,0.010334663546030801,0.24843035961588386,0.008388366200533806
yaw_rate__lag_2,0.00029921494292365757,2.8746987419001806e-06,0.01879278861356158,-0.0035391295425715166,0.00010888333990993999,0.21981376563788063,0.00029921494292365757,2.8746987419001806e-06,0.01879278861356158,-0.0035391295425715166,0.00010888333990993999,0.21981376563788063
position_x__lag_2,1.8811022388023384e-14,1.9725225649759526e-17,2.9235398982356886e-12,-5.630446876344703e-14,-3.1557179364670008e-15,-1.1571734464492115e-12,1.8811022388023384e-14,1.9725225649759526e-17,2.9235398982356886e-12,-5.630446876344703e-14,-3.1557179364670008e-15,-1.1571734464492115e-12
position_y__lag_2,-4.309552206663165e-15,-4.350117336838823e-18,-6.949951363899692e-13,1.3334272521552522e-14,7.440059566780882e-16,2.738203213290596e-13,-4.309552206663165e-15,-4.350117336838823e-18,-6.949951363899692e-13,1.3334272521552522e-14,7.440059566780882e-16,2.738203213290596e-13
position_z__lag_2,-3.183435985103555e-06,6.16296365448347e-11,5.985756350857238e-05,-7.4503326786546275e-06,1.4613563348696658e-06,8.019696495592106e-06,-3.183435985103555e-06,6.16296365448347e-11,5.985756350857238e-05,-7.4503326786546275e-06,1.4613563348696658e-06,8.019696495592106e-06
velocity_x__lag_2,-0.00039175928857603827,-1.4166218976418945e-06,0.007204264248686836,0.0003096531872463259,2.8224220236328557e-05,0.006769764348045364,-0.00039175928857603827,-1.4166218976418945e-06,0.007204264248686836,0.0003096531872463259,2.8224220236328557e-05,0.006769764348045364
velocity_y__lag_2,-0.00021518129814699418,-6.616757562781949e-07,-0.0013611276864669676,0.0001655454076477123,2.590208978492046e-05,0.005390401821193148,-0.00021518129814699418,-6.616757562781949e-07,-0.0013611276864669676,0.0001655454076477123,2.590208978492046e-05,0.005390401821193148
velocity_z__lag_2,-8.829117800736604e-06,-1.8403039788710757e-08,-0.00043585263061256236,3.992632160468473e-06,1.5286667320823004e-06,0.0002561539775183765,-8.829117800736604e-06,-1.8403039788710757e-08,-0.00043585263061256236,3.992632160468473e-06,1.5286667320823004e-06,0.0002561539775183765
altitude__lag_2,3.183435992336267e-06,-6.162925693887828e-11,-5.985756384977589e-05,7.450332684853312e-06,-1.4613563326317202e-06,-8.01969639504669e-06,3.183435992336267e-06,-6.162925693887828e-11,-5.985756384977589e-05,7.450332684853312e-06,-1.4613563326317202e-06,-8.01969639504669e-06
