feature,delta_state_roll,delta_state_pitch,delta_state_yaw,delta_state_roll_rate,delta_state_pitch_rate,delta_state_yaw_rate,delta_state_position_x,delta_state_position_y,delta_state_position_z,delta_state_velocity_x,delta_state_velocity_y,delta_state_velocity_z,delta_state_altitude,delta_state_vertical_speed,delta_state_heading
command_roll,0.0,0.0,0.0,0.0,0.0,0.0,4381.175684350726,-18480.250840731736,-0.0049171859942928635,0.031108079902572958,0.09660270287184938,0.0846153630830031,0.0049171859942928635,-0.0846153630830031,0.0
command_pitch,0.0,0.0,0.0,0.0,0.0,0.0,14543.095768017633,-61343.93832777963,-0.0036715228079040726,-0.13100367918981812,-0.02491785168357749,-0.023817231475678345,0.0036715228079040726,0.023817231475678345,0.0
command_yaw,0.0,0.0,0.0,0.0,0.0,0.0,-48015.09238027405,202531.7342741611,-0.005930101080995153,-0.04971519322703174,0.04553471904420138,-0.18759494517487535,0.005930101080995153,0.18759494517487535,0.0
command_throttle,0.0,0.0,0.0,0.0,0.0,0.0,5300.142430054799,-22356.45247475846,0.04457085978110386,0.0,-0.008367395951507296,0.016134282351791027,-0.04457085978110386,-0.016134282351791027,0.0
roll,0.0,0.0,0.0,0.0,0.0,0.0,67360.50827399653,-284132.7611341988,-0.05872422448220998,0.0,0.14304356160030268,0.02371401147796325,0.05872422448220998,-0.02371401147796325,0.0
pitch,0.0,0.0,0.0,0.0,0.0,0.0,-133463.10207801964,562958.750348261,-0.03611802203217056,0.01630633136346427,0.09732194590513629,0.21526199635013338,0.03611802203217056,-0.21526199635013338,0.0
yaw,0.0,0.0,0.0,0.0,0.0,0.0,76.47136800237692,-322.5521630594808,-0.0003970239228393819,0.0,-0.003773623470127707,0.00029055841188077526,0.0003970239228393819,-0.00029055841188077526,0.0
roll_rate,0.0,0.0,0.0,0.0,0.0,0.0,6235.111909255909,-26300.230235178446,0.003028907424076965,0.0,-0.004998196218405849,-0.005832941807580373,-0.003028907424076965,0.005832941807580373,0.0
pitch_rate,0.0,0.0,0.0,0.0,0.0,0.0,-5039.68248267342,21257.77249086962,0.0021637284250704877,-0.00499825295973613,0.026372999821307933,-0.02325317814509561,-0.0021637284250704877,0.02325317814509561,0.0
yaw_rate,0.0,0.0,0.0,0.0,0.0,0.0,911.6702277922982,-3845.480457442267,-0.0014491891217404793,0.0003272855176847144,-0.02628638801391224,0.01039725728730435,0.0014491891217404793,-0.01039725728730435,0.0
position_x,0.0,0.0,0.0,0.0,0.0,0.0,-0.06832687032446266,0.28820853107814637,-8.744434179467535e-10,2.253854204927731e-10,4.616119284722442e-10,6.1428707626222204e-09,8.744434179467535e-10,-6.1428707626222204e-09,0.0
position_y,0.0,0.0,0.0,0.0,0.0,0.0,2.1257473295758133e-10,-8.892221116490322e-10,1.5348516021821818e-17,-5.895629072054822e-16,0.0,0.0,-1.5348516021821818e-17,0.0,0.0
position_z,0.0,0.0,0.0,0.0,0.0,0.0,-117.79772085401076,496.8792509511661,0.010248841701919646,-0.0012289440059800594,0.0003421483438862701,-0.0070518444199963205,-0.010248841701919646,0.0070518444199963205,0.0
velocity_x,0.0,0.0,0.0,0.0,0.0,0.0,2523.6745780634374,-10644.83489671384,0.0017174743809761416,0.03929796717394325,-0.14929126965245781,0.01934009373460238,-0.0017174743809761416,-0.01934009373460238,0.0
velocity_y,0.0,0.0,0.0,0.0,0.0,0.0,4898.760386098407,-20663.339541253714,0.0002472950142081274,0.05934710492903387,-0.06480264670952546,0.037003475702588925,-0.0002472950142081274,-0.037003475702588925,0.0
velocity_z,0.0,0.0,0.0,0.0,0.0,0.0,4170.4646014312075,-17591.3715337518,0.06978110988553181,0.0017746668517868531,-0.006466698533471621,-0.009615455933850521,-0.06978110988553181,0.009615455933850521,0.0
altitude,0.0,0.0,0.0,0.0,0.0,0.0,924.7287251389533,-3900.5858924627228,0.010861383541020607,0.0020001160494314612,-0.0013029547760931939,0.0,-0.010861383541020607,0.0,0.0
vertical_speed,0.0,0.0,0.0,0.0,0.0,0.0,-3043.4366827281005,12837.479644963509,-0.03574374877458683,-0.006492282929701693,0.004288491552973615,0.00019830689120269403,0.03574374877458683,-0.00019830689120269403,0.0
heading,0.0,0.0,0.0,0.0,0.0,0.0,1125.2290335249324,-4746.325299240976,0.016452489010372592,0.0,0.005740415105450886,-0.0080735382601216,-0.016452489010372592,0.0080735382601216,0.0
mode_guided_nogps,0.0,0.0,0.0,0.0,0.0,0.0,-142.5559220835567,601.3312641662294,5.51937606017807e-06,0.0,0.0,0.0,-5.51937606017807e-06,0.0,0.0
mode_stabilize,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
