sample_index,backend,mode,run_id,target_norm,prediction_norm,residual_norm
955,ardupilot,STABILIZE,20260411_103002_ardupilot_manual_random_roll_r1,0.0,179745.58763031074,179745.58763031074
956,ardupilot,STABILIZE,20260411_103002_ardupilot_manual_random_roll_r1,0.0,179745.58763031074,179745.58763031074
957,ardupilot,STABILIZE,20260411_103002_ardupilot_manual_random_roll_r1,0.0,179745.58763031074,179745.58763031074
958,ardupilot,STABILIZE,20260411_103002_ardupilot_manual_random_roll_r1,0.0,179745.58763031074,179745.58763031074
959,ardupilot,STABILIZE,20260411_103002_ardupilot_manual_random_roll_r1,0.0,179745.58763031074,179745.58763031074
960,ardupilot,STABILIZE,20260411_103002_ardupilot_manual_random_roll_r1,0.0,179745.58763031074,179745.58763031074
961,ardupilot,STABILIZE,20260411_103002_ardupilot_manual_random_roll_r1,0.0,179745.58763031074,179745.58763031074
962,ardupilot,STABILIZE,20260411_103002_ardupilot_manual_random_roll_r1,0.0,179745.58763031074,179745.58763031074
963,ardupilot,STABILIZE,20260411_103002_ardupilot_manual_random_roll_r1,0.0,179745.58763031074,179745.58763031074
964,ardupilot,STABILIZE,20260411_103002_ardupilot_manual_random_roll_r1,0.014142135623730947,179745.58763031074,179745.58763031132
965,ardupilot,STABILIZE,20260411_103002_ardupilot_manual_random_roll_r1,0.014142135623730947,179745.58763031074,179745.58763031132
966,ardupilot,STABILIZE,20260411_103002_ardupilot_manual_random_roll_r1,0.0,179745.58763031074,179745.58763031074
967,ardupilot,STABILIZE,20260411_103002_ardupilot_manual_random_roll_r1,0.0,179745.58763031074,179745.58763031074
968,ardupilot,STABILIZE,20260411_103002_ardupilot_manual_random_roll_r1,0.0,179745.58763031074,179745.58763031074
969,ardupilot,STABILIZE,20260411_103002_ardupilot_manual_random_roll_r1,0.0,179745.58763031074,179745.58763031074
970,ardupilot,STABILIZE,20260411_103002_ardupilot_manual_random_roll_r1,0.0,179745.58763031074,179745.58763031074
971,ardupilot,STABILIZE,20260411_103002_ardupilot_manual_random_roll_r1,0.0,179745.58763031074,179745.58763031074
972,ardupilot,STABILIZE,20260411_103002_ardupilot_manual_random_roll_r1,0.0,179745.58763031074,179745.58763031074
973,ardupilot,STABILIZE,20260411_103002_ardupilot_manual_random_roll_r1,0.0,179745.58763031074,179745.58763031074
974,ardupilot,STABILIZE,20260411_103002_ardupilot_manual_random_roll_r1,0.0,365317.77133746166,365317.77133746166
975,ardupilot,STABILIZE,20260411_103002_ardupilot_manual_random_roll_r1,0.0,365317.77133746166,365317.77133746166
976,ardupilot,STABILIZE,20260411_103002_ardupilot_manual_random_roll_r1,0.01414213562373095,365317.77133746166,365317.77133746125
977,ardupilot,STABILIZE,20260411_103002_ardupilot_manual_random_roll_r1,0.01414213562373095,365317.77133746166,365317.77133746125
978,ardupilot,STABILIZE,20260411_103002_ardupilot_manual_random_roll_r1,0.0,365317.77133746166,365317.77133746166
979,ardupilot,STABILIZE,20260411_103002_ardupilot_manual_random_roll_r1,0.0,365317.77133746166,365317.77133746166
980,ardupilot,STABILIZE,20260411_103002_ardupilot_manual_random_roll_r1,0.0,360701.7905402346,360701.7905402346
981,ardupilot,STABILIZE,20260411_103002_ardupilot_manual_random_roll_r1,0.0,360701.7905402346,360701.7905402346
982,ardupilot,STABILIZE,20260411_103002_ardupilot_manual_random_roll_r1,0.0,360701.7905402346,360701.7905402346
983,ardupilot,STABILIZE,20260411_103002_ardupilot_manual_random_roll_r1,17065255.556678336,360701.7905402346,16704553.766138105
984,ardupilot,STABILIZE,20260411_103002_ardupilot_manual_random_roll_r1,17065255.556678336,360701.7905402346,16704553.766138105
985,ardupilot,STABILIZE,20260411_103002_ardupilot_manual_random_roll_r1,0.0,360701.7905402346,360701.7905402346
986,ardupilot,STABILIZE,20260411_103002_ardupilot_manual_random_roll_r1,0.01414213562373095,208725.77772904854,208725.77772904886
987,ardupilot,STABILIZE,20260411_103002_ardupilot_manual_random_roll_r1,0.01414213562373095,208725.77772904854,208725.77772904886
988,ardupilot,STABILIZE,20260411_103002_ardupilot_manual_random_roll_r1,0.0,208725.77772904854,208725.77772904854
989,ardupilot,STABILIZE,20260411_103002_ardupilot_manual_random_roll_r1,0.0,208725.77772904854,208725.77772904854
990,ardupilot,STABILIZE,20260411_103002_ardupilot_manual_random_roll_r1,0.0,208725.77772904854,208725.77772904854
991,ardupilot,STABILIZE,20260411_103002_ardupilot_manual_random_roll_r1,0.0,241356.85969458392,241356.85969458392
992,ardupilot,STABILIZE,20260411_103002_ardupilot_manual_random_roll_r1,0.0,241356.85969458392,241356.85969458392
993,ardupilot,STABILIZE,20260411_103002_ardupilot_manual_random_roll_r1,0.0,241356.85969458392,241356.85969458392
994,ardupilot,STABILIZE,20260411_103002_ardupilot_manual_random_roll_r1,0.0,241356.85969458392,241356.85969458392
995,ardupilot,STABILIZE,20260411_103002_ardupilot_manual_random_roll_r1,0.0,241356.85969458392,241356.85969458392
996,ardupilot,STABILIZE,20260411_103002_ardupilot_manual_random_roll_r1,0.0,241356.85969458392,241356.85969458392
997,ardupilot,STABILIZE,20260411_103002_ardupilot_manual_random_roll_r1,0.0,86198.19283132702,86198.19283132702
998,ardupilot,STABILIZE,20260411_103002_ardupilot_manual_random_roll_r1,0.0,86198.19283132702,86198.19283132702
999,ardupilot,STABILIZE,20260411_103002_ardupilot_manual_random_roll_r1,0.0,86198.19283132702,86198.19283132702
1000,ardupilot,STABILIZE,20260411_103002_ardupilot_manual_random_roll_r1,0.0,86198.19283132702,86198.19283132702
1001,ardupilot,STABILIZE,20260411_103002_ardupilot_manual_random_roll_r1,0.0,86198.19283132702,86198.19283132702
1002,ardupilot,STABILIZE,20260411_103002_ardupilot_manual_random_roll_r1,0.0,86198.19283132702,86198.19283132702
1003,ardupilot,STABILIZE,20260411_103002_ardupilot_manual_random_roll_r1,0.0,214750.68605603135,214750.68605603135
1004,ardupilot,STABILIZE,20260411_103002_ardupilot_manual_random_roll_r1,0.0,214750.68605603135,214750.68605603135
1005,ardupilot,STABILIZE,20260411_103002_ardupilot_manual_random_roll_r1,0.01414213562373095,214750.68605603135,214750.68605603158
1006,ardupilot,STABILIZE,20260411_103002_ardupilot_manual_random_roll_r1,0.01414213562373095,214750.68605603135,214750.68605603158
1007,ardupilot,STABILIZE,20260411_103002_ardupilot_manual_random_roll_r1,0.0,214750.68605603135,214750.68605603135
1008,ardupilot,STABILIZE,20260411_103002_ardupilot_manual_random_roll_r1,0.0,123590.44382922497,123590.44382922497
1009,ardupilot,STABILIZE,20260411_103002_ardupilot_manual_random_roll_r1,0.0,123590.44382922497,123590.44382922497
1010,ardupilot,STABILIZE,20260411_103002_ardupilot_manual_random_roll_r1,0.0,123590.44382922497,123590.44382922497
1011,ardupilot,STABILIZE,20260411_103002_ardupilot_manual_random_roll_r1,0.0,123590.44382922497,123590.44382922497
1012,ardupilot,STABILIZE,20260411_103002_ardupilot_manual_random_roll_r1,0.0,123590.44382922497,123590.44382922497
1013,ardupilot,STABILIZE,20260411_103002_ardupilot_manual_random_roll_r1,0.0,123590.44382922497,123590.44382922497
1014,ardupilot,STABILIZE,20260411_103002_ardupilot_manual_random_roll_r1,0.0,86109.60318403017,86109.60318403017
1015,ardupilot,STABILIZE,20260411_103002_ardupilot_manual_random_roll_r1,0.0,86109.60318403017,86109.60318403017
1016,ardupilot,STABILIZE,20260411_103002_ardupilot_manual_random_roll_r1,0.0,86109.60318403017,86109.60318403017
1017,ardupilot,STABILIZE,20260411_103002_ardupilot_manual_random_roll_r1,0.0,86109.60318403017,86109.60318403017
1018,ardupilot,STABILIZE,20260411_103002_ardupilot_manual_random_roll_r1,0.01414213562373095,86109.60318403017,86109.60318403294
1019,ardupilot,STABILIZE,20260411_103002_ardupilot_manual_random_roll_r1,0.01414213562373095,86109.60318403017,86109.60318403294
1020,ardupilot,STABILIZE,20260411_103002_ardupilot_manual_random_roll_r1,0.0,202366.83208110332,202366.83208110332
1021,ardupilot,STABILIZE,20260411_103002_ardupilot_manual_random_roll_r1,0.0,202366.83208110332,202366.83208110332
1022,ardupilot,STABILIZE,20260411_103002_ardupilot_manual_random_roll_r1,0.0,202366.83208110332,202366.83208110332
1023,ardupilot,STABILIZE,20260411_103002_ardupilot_manual_random_roll_r1,0.0,202366.83208110332,202366.83208110332
1024,ardupilot,STABILIZE,20260411_103002_ardupilot_manual_random_roll_r1,0.0,202366.83208110332,202366.83208110332
1025,ardupilot,STABILIZE,20260411_103002_ardupilot_manual_random_roll_r1,0.0,202366.83208110332,202366.83208110332
1026,ardupilot,STABILIZE,20260411_103002_ardupilot_manual_random_roll_r1,0.0,188766.72276241457,188766.72276241457
1027,ardupilot,STABILIZE,20260411_103002_ardupilot_manual_random_roll_r1,0.0,188766.72276241457,188766.72276241457
1028,ardupilot,STABILIZE,20260411_103002_ardupilot_manual_random_roll_r1,0.0,188766.72276241457,188766.72276241457
1029,ardupilot,STABILIZE,20260411_103002_ardupilot_manual_random_roll_r1,0.0,188766.72276241457,188766.72276241457
1030,ardupilot,STABILIZE,20260411_103002_ardupilot_manual_random_roll_r1,0.0,188766.72276241457,188766.72276241457
1031,ardupilot,STABILIZE,20260411_103002_ardupilot_manual_random_roll_r1,0.0,41470.97477148556,41470.97477148556
1032,ardupilot,STABILIZE,20260411_103002_ardupilot_manual_random_roll_r1,0.0,41470.97477148556,41470.97477148556
1033,ardupilot,STABILIZE,20260411_103002_ardupilot_manual_random_roll_r1,0.0,41470.97477148556,41470.97477148556
1034,ardupilot,STABILIZE,20260411_103002_ardupilot_manual_random_roll_r1,0.014142135623730947,41470.97477148556,41470.97477149286
1035,ardupilot,STABILIZE,20260411_103002_ardupilot_manual_random_roll_r1,0.014142135623730947,41470.97477148556,41470.97477149286
1036,ardupilot,STABILIZE,20260411_103002_ardupilot_manual_random_roll_r1,0.0,41470.97477148556,41470.97477148556
1037,ardupilot,STABILIZE,20260411_103002_ardupilot_manual_random_roll_r1,0.0,14307.934134399196,14307.934134399196
1038,ardupilot,STABILIZE,20260411_103002_ardupilot_manual_random_roll_r1,0.0,14307.934134399196,14307.934134399196
1039,ardupilot,STABILIZE,20260411_103002_ardupilot_manual_random_roll_r1,0.0,14307.934134399196,14307.934134399196
1040,ardupilot,STABILIZE,20260411_103002_ardupilot_manual_random_roll_r1,0.0,14307.934134399196,14307.934134399196
1041,ardupilot,STABILIZE,20260411_103002_ardupilot_manual_random_roll_r1,0.0,14307.934134399196,14307.934134399196
1042,ardupilot,STABILIZE,20260411_103002_ardupilot_manual_random_roll_r1,0.0,14307.934134399196,14307.934134399196
1043,ardupilot,STABILIZE,20260411_103002_ardupilot_manual_random_roll_r1,0.0,84210.53633429117,84210.53633429117
1044,ardupilot,STABILIZE,20260411_103002_ardupilot_manual_random_roll_r1,0.0,84210.53633429117,84210.53633429117
1045,ardupilot,STABILIZE,20260411_103002_ardupilot_manual_random_roll_r1,0.0,84210.53633429117,84210.53633429117
1046,ardupilot,STABILIZE,20260411_103002_ardupilot_manual_random_roll_r1,0.0,84210.53633429117,84210.53633429117
1047,ardupilot,STABILIZE,20260411_103002_ardupilot_manual_random_roll_r1,0.0,84210.53633429117,84210.53633429117
1048,ardupilot,STABILIZE,20260411_103002_ardupilot_manual_random_roll_r1,0.0,84210.53633429117,84210.53633429117
1049,ardupilot,STABILIZE,20260411_103002_ardupilot_manual_random_roll_r1,0.0,296625.2396876152,296625.2396876152
1050,ardupilot,STABILIZE,20260411_103002_ardupilot_manual_random_roll_r1,0.0,296625.2396876152,296625.2396876152
1051,ardupilot,STABILIZE,20260411_103002_ardupilot_manual_random_roll_r1,0.0,296625.2396876152,296625.2396876152
1052,ardupilot,STABILIZE,20260411_103002_ardupilot_manual_random_roll_r1,0.0,296625.2396876152,296625.2396876152
1053,ardupilot,STABILIZE,20260411_103002_ardupilot_manual_random_roll_r1,0.0,296625.2396876152,296625.2396876152
1054,ardupilot,STABILIZE,20260411_103002_ardupilot_manual_random_roll_r1,0.0,45772.96666257688,45772.96666257688
1055,ardupilot,STABILIZE,20260411_103002_ardupilot_manual_random_roll_r1,0.0,45772.96666257688,45772.96666257688
1056,ardupilot,STABILIZE,20260411_103002_ardupilot_manual_random_roll_r1,0.0,45772.96666257688,45772.96666257688
1057,ardupilot,STABILIZE,20260411_103002_ardupilot_manual_random_roll_r1,0.0,45772.96666257688,45772.96666257688
1058,ardupilot,STABILIZE,20260411_103002_ardupilot_manual_random_roll_r1,0.0,45772.96666257688,45772.96666257688
1059,ardupilot,STABILIZE,20260411_103002_ardupilot_manual_random_roll_r1,0.0,45772.96666257688,45772.96666257688
1060,ardupilot,STABILIZE,20260411_103002_ardupilot_manual_random_roll_r1,0.0,253888.36941430543,253888.36941430543
1061,ardupilot,STABILIZE,20260411_103002_ardupilot_manual_random_roll_r1,0.0,253888.36941430543,253888.36941430543
1062,ardupilot,STABILIZE,20260411_103002_ardupilot_manual_random_roll_r1,0.0,253888.36941430543,253888.36941430543
1063,ardupilot,STABILIZE,20260411_103002_ardupilot_manual_random_roll_r1,0.0,253888.36941430543,253888.36941430543
1064,ardupilot,STABILIZE,20260411_103002_ardupilot_manual_random_roll_r1,0.0,253888.36941430543,253888.36941430543
1065,ardupilot,STABILIZE,20260411_103002_ardupilot_manual_random_roll_r1,0.0,253888.36941430543,253888.36941430543
1066,ardupilot,STABILIZE,20260411_103002_ardupilot_manual_random_roll_r1,0.0,137574.05853405685,137574.05853405685
1067,ardupilot,STABILIZE,20260411_103002_ardupilot_manual_random_roll_r1,0.0,137574.05853405685,137574.05853405685
1068,ardupilot,STABILIZE,20260411_103002_ardupilot_manual_random_roll_r1,0.0,137574.05853405685,137574.05853405685
1069,ardupilot,STABILIZE,20260411_103002_ardupilot_manual_random_roll_r1,0.0,137574.05853405685,137574.05853405685
1070,ardupilot,STABILIZE,20260411_103002_ardupilot_manual_random_roll_r1,0.0,137574.05853405685,137574.05853405685
1071,ardupilot,STABILIZE,20260411_103002_ardupilot_manual_random_roll_r1,0.0,350876.55657439784,350876.55657439784
1072,ardupilot,STABILIZE,20260411_103002_ardupilot_manual_random_roll_r1,0.0,350876.55657439784,350876.55657439784
1073,ardupilot,STABILIZE,20260411_103002_ardupilot_manual_random_roll_r1,0.0,350876.55657439784,350876.55657439784
1074,ardupilot,STABILIZE,20260411_103002_ardupilot_manual_random_roll_r1,0.0,350876.55657439784,350876.55657439784
1075,ardupilot,STABILIZE,20260411_103002_ardupilot_manual_random_roll_r1,0.0,350876.55657439784,350876.55657439784
1076,ardupilot,STABILIZE,20260411_103002_ardupilot_manual_random_roll_r1,0.0,350876.55657439784,350876.55657439784
1077,ardupilot,STABILIZE,20260411_103002_ardupilot_manual_random_roll_r1,0.0,5370.495698662345,5370.495698662345
1078,ardupilot,STABILIZE,20260411_103002_ardupilot_manual_random_roll_r1,0.0,5370.495698662345,5370.495698662345
1079,ardupilot,STABILIZE,20260411_103002_ardupilot_manual_random_roll_r1,0.0,5370.495698662345,5370.495698662345
1080,ardupilot,STABILIZE,20260411_103002_ardupilot_manual_random_roll_r1,0.0,5370.495698662345,5370.495698662345
1081,ardupilot,STABILIZE,20260411_103002_ardupilot_manual_random_roll_r1,0.0,5370.495698662345,5370.495698662345
1082,ardupilot,STABILIZE,20260411_103002_ardupilot_manual_random_roll_r1,0.0,5370.495698662345,5370.495698662345
1083,ardupilot,STABILIZE,20260411_103002_ardupilot_manual_random_roll_r1,0.0,215533.16321643858,215533.16321643858
1084,ardupilot,STABILIZE,20260411_103002_ardupilot_manual_random_roll_r1,0.0,215533.16321643858,215533.16321643858
1085,ardupilot,STABILIZE,20260411_103002_ardupilot_manual_random_roll_r1,0.0,215533.16321643858,215533.16321643858
1086,ardupilot,STABILIZE,20260411_103002_ardupilot_manual_random_roll_r1,0.0,215533.16321643858,215533.16321643858
1087,ardupilot,STABILIZE,20260411_103002_ardupilot_manual_random_roll_r1,0.0,215533.16321643858,215533.16321643858
1088,ardupilot,STABILIZE,20260411_103002_ardupilot_manual_random_roll_r1,0.0,179745.58763031074,179745.58763031074
1089,ardupilot,STABILIZE,20260411_103002_ardupilot_manual_random_roll_r1,0.0,179745.58763031074,179745.58763031074
1090,ardupilot,STABILIZE,20260411_103002_ardupilot_manual_random_roll_r1,0.0,179745.58763031074,179745.58763031074
1091,ardupilot,STABILIZE,20260411_103002_ardupilot_manual_random_roll_r1,0.0,179745.58763031074,179745.58763031074
1092,ardupilot,STABILIZE,20260411_103002_ardupilot_manual_random_roll_r1,0.0,179745.58763031074,179745.58763031074
1093,ardupilot,STABILIZE,20260411_103002_ardupilot_manual_random_roll_r1,0.0,179745.58763031074,179745.58763031074
1094,ardupilot,STABILIZE,20260411_103002_ardupilot_manual_random_roll_r1,0.0,179745.58763031074,179745.58763031074
1095,ardupilot,STABILIZE,20260411_103002_ardupilot_manual_random_roll_r1,0.0,179745.58763031074,179745.58763031074
1096,ardupilot,STABILIZE,20260411_103002_ardupilot_manual_random_roll_r1,0.0,179745.58763031074,179745.58763031074
1097,ardupilot,STABILIZE,20260411_103002_ardupilot_manual_random_roll_r1,0.0,179745.58763031074,179745.58763031074
1098,ardupilot,STABILIZE,20260411_103002_ardupilot_manual_random_roll_r1,0.0,179745.58763031074,179745.58763031074
1099,ardupilot,STABILIZE,20260411_103002_ardupilot_manual_random_roll_r1,0.0,179745.58763031074,179745.58763031074
1100,ardupilot,STABILIZE,20260411_103002_ardupilot_manual_random_roll_r1,0.0,179745.58763031074,179745.58763031074
1101,ardupilot,STABILIZE,20260411_103002_ardupilot_manual_random_roll_r1,0.0,179745.58763031074,179745.58763031074
1102,ardupilot,STABILIZE,20260411_103002_ardupilot_manual_random_roll_r1,0.0,179745.58763031074,179745.58763031074
1103,ardupilot,STABILIZE,20260411_103002_ardupilot_manual_random_roll_r1,0.0,179745.58763031074,179745.58763031074
1104,ardupilot,STABILIZE,20260411_103002_ardupilot_manual_random_roll_r1,0.0,179745.58763031074,179745.58763031074
1105,ardupilot,STABILIZE,20260411_103002_ardupilot_manual_random_roll_r1,0.0,179745.58763031074,179745.58763031074
1106,ardupilot,STABILIZE,20260411_103002_ardupilot_manual_random_roll_r1,0.0,179745.58763031074,179745.58763031074
1107,ardupilot,STABILIZE,20260411_103002_ardupilot_manual_random_roll_r1,0.0,179745.58763031074,179745.58763031074
1108,ardupilot,STABILIZE,20260411_103002_ardupilot_manual_random_roll_r1,0.0,179745.58763031074,179745.58763031074
1109,ardupilot,STABILIZE,20260411_103002_ardupilot_manual_random_roll_r1,0.0,179745.58763031074,179745.58763031074
1110,ardupilot,STABILIZE,20260411_103002_ardupilot_manual_random_roll_r1,0.0,179745.58763031074,179745.58763031074
1111,ardupilot,STABILIZE,20260411_103002_ardupilot_manual_random_roll_r1,0.0,179745.58763031074,179745.58763031074
1112,ardupilot,STABILIZE,20260411_103002_ardupilot_manual_random_roll_r1,0.0,179745.58763031074,179745.58763031074
1113,ardupilot,STABILIZE,20260411_103002_ardupilot_manual_random_roll_r1,0.0,179745.58763031074,179745.58763031074
