feature,actuator_1,actuator_2,actuator_3,actuator_4
command_roll,-0.00019844645503989809,0.0002049114569774838,3.799553464927754e-05,5.7735843689012325e-05
command_pitch,-2.080199876859742e-05,8.450334926404137e-05,-0.0001250734699956711,-0.00010720752551797587
command_yaw,-0.0003128400568837621,0.0004684759359737807,-0.00023263862355435284,-0.00016506551177563093
command_throttle,0.002070695342956979,-0.004671960357501593,0.0045206215767852696,0.0037620526788453594
roll,-0.01725448962480932,0.0006113229618731502,-0.049957756148128876,-0.03274587252550733
pitch,-0.008484682473742665,-0.00853840523792354,-0.008041226883667178,-0.013582433696449894
yaw,-0.006828536062358741,-0.006620188709312691,-0.00045647898710346365,0.005494487479575345
roll_rate,0.0025327041158270257,-0.0011570298769162642,-0.0010855765397864664,-0.0017667155804265656
pitch_rate,-0.00020934589940698828,-0.0018209761167424427,0.0005060365715494509,0.004415621974827396
yaw_rate,-0.0017325518404186183,0.0003868997103348535,-0.0006279236625897007,8.977425399656384e-05
position_x,-2.0158137290478616e-13,3.6412874432737314e-13,-1.469292878909366e-13,-1.2937052667143403e-13
position_y,4.7724105243955e-14,-8.629549480767438e-14,3.490576234274202e-14,3.073632579330401e-14
position_z,-4.408384050986517e-07,6.123210373052449e-07,-1.2915656998767157e-07,-4.6413145524781794e-08
velocity_x,-8.074169621964744e-05,4.267796209126407e-05,9.781696130102966e-05,9.541588055347337e-05
velocity_y,-1.4560821427512418e-05,1.2045848623324487e-05,8.588150024550583e-06,9.034471525095608e-06
velocity_z,5.235613754901972e-06,-9.16412637682173e-06,6.485435678061401e-06,5.192943149427256e-06
altitude,4.4083840509923373e-07,-6.123210373056849e-07,1.2915656998769798e-07,4.6413145525480834e-08
vertical_speed,-5.235613754906241e-06,9.164126376826761e-06,-6.485435678062658e-06,-5.1929431494320575e-06
heading,-0.006828536062358231,-0.006620188709310175,-0.0004564789870993853,0.005494487479566481
