feature,delta_state_roll,delta_state_pitch,delta_state_yaw,delta_state_roll_rate,delta_state_pitch_rate,delta_state_yaw_rate,delta_state_position_x,delta_state_position_y,delta_state_position_z,delta_state_velocity_x,delta_state_velocity_y,delta_state_velocity_z,delta_state_altitude,delta_state_vertical_speed,delta_state_heading
command_roll,0.0,0.0,0.0,0.0,0.0,0.0,274425.89745806885,-1157552.0435207787,-0.0686432824381723,0.027144530370688456,-0.062480940508434585,0.14855313959279376,0.0686432824381723,-0.14855313959279376,0.0
command_pitch,0.0,0.0,0.0,0.0,0.0,0.0,-3173306.4305499224,13385275.89715746,0.132672536299958,-0.033237490832687185,0.11608405962929871,-0.2771964984774096,-0.132672536299958,0.2771964984774096,0.0
command_yaw,0.0,0.0,0.0,0.0,0.0,0.0,8489851.507155681,-35810913.37404823,-0.15481605962538547,-0.013582221653069071,-0.07339838185175876,0.44889405993831033,0.15481605962538547,-0.44889405993831033,0.0
command_throttle,0.0,0.0,0.0,0.0,0.0,0.0,3986563.1875968794,-16815661.364965316,0.23728121674963457,0.7926040695062109,-0.30980166055053493,-1.0010880348843922,-0.23728121674963457,1.0010880348843922,0.0
roll,0.0,0.0,0.0,0.0,0.0,0.0,111616.91922537613,-470807.61277256586,0.20100014910347885,-0.2468301056483562,-0.39699530455672905,0.24227133893726735,-0.20100014910347885,-0.24227133893726735,0.0
pitch,0.0,0.0,0.0,0.0,0.0,0.0,-540727.3521054107,2280828.469263596,0.07671869417863927,-0.4479606582185803,-0.1096549491329786,0.33845554744685963,-0.07671869417863927,-0.33845554744685963,0.0
yaw,0.0,0.0,0.0,0.0,0.0,0.0,-774.6876777556154,3267.6771561550304,-0.001643306957711334,0.0011353981086217073,0.003823646081920462,-0.002216740374288951,0.001643306957711334,0.002216740374288951,0.0
roll_rate,0.0,0.0,0.0,0.0,0.0,0.0,3664.2164976052404,-15455.943287203721,0.0018743580802557621,-0.002389267605993566,-0.003462009886626502,0.0038584325707360875,-0.0018743580802557621,-0.0038584325707360875,0.0
pitch_rate,0.0,0.0,0.0,0.0,0.0,0.0,16858.02078065053,-71108.49111338596,0.004397454945697769,0.01680711645015653,0.0007739127956247187,-0.015288973560759495,-0.004397454945697769,0.015288973560759495,0.0
yaw_rate,0.0,0.0,0.0,0.0,0.0,0.0,-898.723352492214,3790.9079075201516,-0.0025873778861126295,0.0014919009371659993,0.0002460765672239244,0.0035109639361671713,0.0025873778861126295,-0.0035109639361671713,0.0
position_x,0.0,0.0,0.0,0.0,0.0,0.0,-105057.33728518196,443137.94809487194,0.042583341429054795,-0.15421639899141798,-0.0317538120235796,0.022907204901472016,-0.042583341429054795,-0.022907204901472016,0.0
position_y,0.0,0.0,0.0,0.0,0.0,0.0,-24906.38506387807,105056.57821542834,0.01009542102931155,-0.036560763267359075,-0.007528016544400176,0.005430712458681968,-0.01009542102931155,-0.005430712458681968,0.0
