feature,delta_state_roll,delta_state_pitch,delta_state_yaw,delta_state_roll_rate,delta_state_pitch_rate,delta_state_yaw_rate,delta_state_position_x,delta_state_position_y,delta_state_position_z,delta_state_velocity_x,delta_state_velocity_y,delta_state_velocity_z,delta_state_altitude,delta_state_vertical_speed,delta_state_heading
command_roll,0.0,0.0,0.0,0.0,0.0,0.0,-8124545.877339765,34270022.005783305,-0.12779289611462952,0.07469152387598414,-0.030538865722607677,0.025136057391970664,0.12779289611462952,-0.025136057391970664,0.0
command_pitch,0.0,0.0,0.0,0.0,0.0,0.0,14270424.65857621,-60193858.54873119,0.3395250516965346,-0.28916416461298944,0.23932984107153987,0.2200215953670797,-0.3395250516965346,-0.2200215953670797,0.0
command_yaw,0.0,0.0,0.0,0.0,0.0,0.0,-15779134.520581538,66557723.872647345,-0.4195590851728974,0.4351908338884759,-0.3083748871356987,-0.3961670242962357,0.4195590851728974,0.3961670242962357,0.0
command_throttle,0.0,0.0,0.0,0.0,0.0,0.0,-9397138.158800837,39637919.91650325,-0.3552332476482857,0.5930030627491453,-0.3173275263223324,-1.3917131861357417,0.3552332476482857,1.3917131861357417,0.0
roll,0.0,0.0,0.0,0.0,0.0,0.0,43080187.63398157,-182094035.71070904,-0.2288661909866681,-0.304840104940147,0.7998708642806626,0.4150866607634934,0.2288661909866681,-0.4150866607634934,0.0
pitch,0.0,0.0,0.0,0.0,0.0,0.0,-43814596.06077812,184930194.533093,-0.15268011538071927,-0.2201703088623514,0.3741255198926075,0.36296308904842284,0.15268011538071927,-0.36296308904842284,0.0
yaw,0.0,0.0,0.0,0.0,0.0,0.0,348371.7659868169,-1469461.1815300644,-0.03771952808956564,-0.008566432790920633,0.006992041741671002,-3.185187226783446e-05,0.03771952808956564,3.185187226783446e-05,0.0
roll_rate,0.0,0.0,0.0,0.0,0.0,0.0,1436478.2394689159,-6059187.114088427,-0.012473767230536233,-0.017629828725069144,0.019559875759430696,0.013155800564108672,0.012473767230536233,-0.013155800564108672,0.0
pitch_rate,0.0,0.0,0.0,0.0,0.0,0.0,250794.88648791076,-1057874.0377253655,-0.006469826328318346,-0.010277862848158001,-0.004364528682419154,-0.0012984749665740825,0.006469826328318346,0.0012984749665740825,0.0
yaw_rate,0.0,0.0,0.0,0.0,0.0,0.0,-1964056.544046266,8284557.141565446,0.012847464646798337,0.011418616692727906,-0.0029052557302383757,-0.0029404377233693425,-0.012847464646798337,0.0029404377233693425,0.0
position_x,0.0,0.0,0.0,0.0,0.0,0.0,-14808.333241543032,62461.20364506099,0.012324316821714733,-0.03747625719568627,0.039497519742096136,0.029018540512049697,-0.012324316821714733,-0.029018540512049697,0.0
position_y,0.0,0.0,0.0,0.0,0.0,0.0,-3510.650911259923,14807.843521374152,0.002921780256954857,-0.008884661839979038,0.009363851584604645,0.006879553900124938,-0.002921780256954857,-0.006879553900124938,0.0
position_z,0.0,0.0,0.0,0.0,0.0,0.0,-67840525.99775347,287123276.6796743,-0.049201276878664484,0.003115904828533476,-0.0034256437646567506,0.1284360802996168,0.049201276878664484,-0.1284360802996168,0.0
velocity_x,0.0,0.0,0.0,0.0,0.0,0.0,-1656731.339762525,6988233.135978691,-0.014904851056378593,0.08342629650587821,-0.059779184163007947,-0.382883631301912,0.014904851056378593,0.382883631301912,0.0
velocity_y,0.0,0.0,0.0,0.0,0.0,0.0,328491.25582651666,-1385604.2675874936,-0.14713111870974466,-0.02755062582597512,0.25557423393483547,0.01443805819061111,0.14713111870974466,-0.01443805819061111,0.0
velocity_z,0.0,0.0,0.0,0.0,0.0,0.0,-1836697.508603029,7747345.8132858155,0.011723885409321058,0.004860289377059812,-0.0060911300534598044,0.2576504964811873,-0.011723885409321058,-0.2576504964811873,0.0
altitude,0.0,0.0,0.0,0.0,0.0,0.0,46592697.17179217,-196593171.8474026,0.04950650805470427,-0.0035715641725062967,0.004049678176978235,-0.09026711336544666,-0.04950650805470427,0.09026711336544666,0.0
vertical_speed,0.0,0.0,0.0,0.0,0.0,0.0,1836451.3425900848,-7746307.448072047,-0.012005711062436173,-0.00433556202523307,0.0059210636017348545,-0.258264075150265,0.012005711062436173,0.258264075150265,0.0
