feature,actuator_1,actuator_2,actuator_3,actuator_4
command_roll,-0.00019844645503989814,0.0002049114569774838,3.799553464927751e-05,5.773584368901239e-05
command_pitch,-2.0801998768597442e-05,8.450334926404138e-05,-0.0001250734699956711,-0.00010720752551797583
command_yaw,-0.0003128400568837621,0.00046847593597378057,-0.00023263862355435276,-0.00016506551177563087
command_throttle,0.0020706953429569797,-0.004671960357501592,0.004520621576785269,0.0037620526788453585
roll,-0.01725448962480932,0.0006113229618731483,-0.049957756148128876,-0.03274587252550733
pitch,-0.008484682473742663,-0.008538405237923537,-0.008041226883667178,-0.013582433696449896
yaw,-0.006828536062359138,-0.0066201887093129755,-0.00045647898710241203,0.005494487479575394
roll_rate,0.0025327041158270253,-0.0011570298769162644,-0.0010855765397864662,-0.0017667155804265656
pitch_rate,-0.00020934589940698817,-0.0018209761167424425,0.0005060365715494506,0.004415621974827396
yaw_rate,-0.0017325518404186185,0.0003868997103348534,-0.0006279236625897006,8.977425399656384e-05
position_x,-2.0158137290478621e-13,3.641287443273731e-13,-1.4692928789093632e-13,-1.2937052667143403e-13
position_y,4.772410524395502e-14,-8.629549480767438e-14,3.490576234274202e-14,3.073632579330401e-14
position_z,-4.4083840509865176e-07,6.123210373052449e-07,-1.291565699876715e-07,-4.6413145524781794e-08
velocity_x,-8.074169621964744e-05,4.267796209126407e-05,9.781696130102966e-05,9.541588055347337e-05
velocity_y,-1.4560821427512418e-05,1.2045848623324487e-05,8.588150024550583e-06,9.034471525095608e-06
velocity_z,5.235613754901973e-06,-9.16412637682173e-06,6.4854356780613995e-06,5.192943149427256e-06
altitude,4.408384050992338e-07,-6.123210373056849e-07,1.291565699876979e-07,4.6413145525480834e-08
vertical_speed,-5.235613754906241e-06,9.16412637682676e-06,-6.485435678062657e-06,-5.1929431494320575e-06
heading,-0.006828536062357834,-0.006620188709309889,-0.00045647898710043835,0.005494487479566433
mode_guided_nogps,0.0,0.0,0.0,0.0
mode_stabilize,0.0,0.0,0.0,0.0
