sample_index,backend,mode,run_id,target_norm,prediction_norm,residual_norm
950,ardupilot,STABILIZE,20260413_084949_ardupilot_manual_random_roll_r1,0.0,180942.25942061588,180942.25942061588
951,ardupilot,STABILIZE,20260413_084949_ardupilot_manual_random_roll_r1,0.0,180942.25942061588,180942.25942061588
952,ardupilot,STABILIZE,20260413_084949_ardupilot_manual_random_roll_r1,0.0,180942.25942061588,180942.25942061588
953,ardupilot,STABILIZE,20260413_084949_ardupilot_manual_random_roll_r1,0.0,180942.25942061588,180942.25942061588
954,ardupilot,STABILIZE,20260413_084949_ardupilot_manual_random_roll_r1,0.0,180942.25942061588,180942.25942061588
955,ardupilot,STABILIZE,20260413_084949_ardupilot_manual_random_roll_r1,0.0,180942.25942061588,180942.25942061588
956,ardupilot,STABILIZE,20260413_084949_ardupilot_manual_random_roll_r1,0.0,180942.25942061588,180942.25942061588
957,ardupilot,STABILIZE,20260413_084949_ardupilot_manual_random_roll_r1,0.0,180942.25942061588,180942.25942061588
958,ardupilot,STABILIZE,20260413_084949_ardupilot_manual_random_roll_r1,0.0,180942.25942061588,180942.25942061588
959,ardupilot,STABILIZE,20260413_084949_ardupilot_manual_random_roll_r1,0.014142135623730947,180942.25942061588,180942.25942061646
960,ardupilot,STABILIZE,20260413_084949_ardupilot_manual_random_roll_r1,0.014142135623730947,180942.25942061588,180942.25942061646
961,ardupilot,STABILIZE,20260413_084949_ardupilot_manual_random_roll_r1,0.0,180942.25942061588,180942.25942061588
962,ardupilot,STABILIZE,20260413_084949_ardupilot_manual_random_roll_r1,0.0,180942.25942061588,180942.25942061588
963,ardupilot,STABILIZE,20260413_084949_ardupilot_manual_random_roll_r1,0.0,180942.25942061588,180942.25942061588
964,ardupilot,STABILIZE,20260413_084949_ardupilot_manual_random_roll_r1,0.0,180942.25942061588,180942.25942061588
965,ardupilot,STABILIZE,20260413_084949_ardupilot_manual_random_roll_r1,0.0,180942.25942061588,180942.25942061588
966,ardupilot,STABILIZE,20260413_084949_ardupilot_manual_random_roll_r1,0.0,180942.25942061588,180942.25942061588
967,ardupilot,STABILIZE,20260413_084949_ardupilot_manual_random_roll_r1,0.0,180942.25942061588,180942.25942061588
968,ardupilot,STABILIZE,20260413_084949_ardupilot_manual_random_roll_r1,0.0,180942.25942061588,180942.25942061588
969,ardupilot,STABILIZE,20260413_084949_ardupilot_manual_random_roll_r1,0.0,362130.8442445606,362130.8442445606
970,ardupilot,STABILIZE,20260413_084949_ardupilot_manual_random_roll_r1,0.0,362130.8442445606,362130.8442445606
971,ardupilot,STABILIZE,20260413_084949_ardupilot_manual_random_roll_r1,0.01414213562373095,362130.8442445606,362130.8442445602
972,ardupilot,STABILIZE,20260413_084949_ardupilot_manual_random_roll_r1,0.01414213562373095,362130.8442445606,362130.8442445602
973,ardupilot,STABILIZE,20260413_084949_ardupilot_manual_random_roll_r1,0.0,362130.8442445606,362130.8442445606
974,ardupilot,STABILIZE,20260413_084949_ardupilot_manual_random_roll_r1,0.0,362130.8442445606,362130.8442445606
975,ardupilot,STABILIZE,20260413_084949_ardupilot_manual_random_roll_r1,0.0,357623.90246311383,357623.90246311383
976,ardupilot,STABILIZE,20260413_084949_ardupilot_manual_random_roll_r1,0.0,357623.90246311383,357623.90246311383
977,ardupilot,STABILIZE,20260413_084949_ardupilot_manual_random_roll_r1,17065255.556678336,357623.90246311383,16707631.654215224
978,ardupilot,STABILIZE,20260413_084949_ardupilot_manual_random_roll_r1,17065255.556678336,357623.90246311383,16707631.654215224
979,ardupilot,STABILIZE,20260413_084949_ardupilot_manual_random_roll_r1,0.0,357623.90246311383,357623.90246311383
980,ardupilot,STABILIZE,20260413_084949_ardupilot_manual_random_roll_r1,0.0,357623.90246311383,357623.90246311383
981,ardupilot,STABILIZE,20260413_084949_ardupilot_manual_random_roll_r1,0.01414213562373095,209237.87747620518,209237.8774762055
982,ardupilot,STABILIZE,20260413_084949_ardupilot_manual_random_roll_r1,0.01414213562373095,209237.87747620518,209237.8774762055
983,ardupilot,STABILIZE,20260413_084949_ardupilot_manual_random_roll_r1,0.0,209237.87747620518,209237.87747620518
984,ardupilot,STABILIZE,20260413_084949_ardupilot_manual_random_roll_r1,0.0,209237.87747620518,209237.87747620518
985,ardupilot,STABILIZE,20260413_084949_ardupilot_manual_random_roll_r1,0.0,209237.87747620518,209237.87747620518
986,ardupilot,STABILIZE,20260413_084949_ardupilot_manual_random_roll_r1,0.0,241098.1457798845,241098.1457798845
987,ardupilot,STABILIZE,20260413_084949_ardupilot_manual_random_roll_r1,0.0,241098.1457798845,241098.1457798845
988,ardupilot,STABILIZE,20260413_084949_ardupilot_manual_random_roll_r1,0.0,241098.1457798845,241098.1457798845
989,ardupilot,STABILIZE,20260413_084949_ardupilot_manual_random_roll_r1,0.0,241098.1457798845,241098.1457798845
990,ardupilot,STABILIZE,20260413_084949_ardupilot_manual_random_roll_r1,0.0,241098.1457798845,241098.1457798845
991,ardupilot,STABILIZE,20260413_084949_ardupilot_manual_random_roll_r1,0.0,241098.1457798845,241098.1457798845
992,ardupilot,STABILIZE,20260413_084949_ardupilot_manual_random_roll_r1,0.0,89604.64761375777,89604.64761375777
993,ardupilot,STABILIZE,20260413_084949_ardupilot_manual_random_roll_r1,0.0,89604.64761375777,89604.64761375777
994,ardupilot,STABILIZE,20260413_084949_ardupilot_manual_random_roll_r1,0.0,89604.64761375777,89604.64761375777
995,ardupilot,STABILIZE,20260413_084949_ardupilot_manual_random_roll_r1,0.0,89604.64761375777,89604.64761375777
996,ardupilot,STABILIZE,20260413_084949_ardupilot_manual_random_roll_r1,0.0,89604.64761375777,89604.64761375777
997,ardupilot,STABILIZE,20260413_084949_ardupilot_manual_random_roll_r1,0.0,89604.64761375777,89604.64761375777
998,ardupilot,STABILIZE,20260413_084949_ardupilot_manual_random_roll_r1,0.0,215120.46500442395,215120.46500442395
999,ardupilot,STABILIZE,20260413_084949_ardupilot_manual_random_roll_r1,0.0,215120.46500442395,215120.46500442395
1000,ardupilot,STABILIZE,20260413_084949_ardupilot_manual_random_roll_r1,0.01414213562373095,215120.46500442395,215120.46500442422
