feature,delta_state_roll,delta_state_pitch,delta_state_yaw,delta_state_roll_rate,delta_state_pitch_rate,delta_state_yaw_rate,delta_state_position_x,delta_state_position_y,delta_state_position_z,delta_state_velocity_x,delta_state_velocity_y,delta_state_velocity_z,delta_state_altitude,delta_state_vertical_speed,delta_state_heading
command_roll,0.0,0.0,0.0,0.0,0.0,0.0,-212409.11002325636,895959.6818433147,-0.0036100452444753663,-0.0023575148207565515,0.031694437462921124,-0.01596520797748726,0.0036100452444753663,0.01596520797748726,0.0
command_pitch,0.0,0.0,0.0,0.0,0.0,0.0,-53393.583374573594,225218.7961043006,-0.0030862128118016806,-0.03065983570129605,-0.003260400510142597,-0.026153245898636424,0.0030862128118016806,0.026153245898636424,0.0
command_yaw,0.0,0.0,0.0,0.0,0.0,0.0,-226358.9612081084,954801.2951259896,-0.01074771011647902,-0.0002734737758370287,-0.0008408513161130208,0.07497155573461053,0.01074771011647902,-0.07497155573461053,0.0
command_throttle,0.0,0.0,0.0,0.0,0.0,0.0,-15313.481058064179,64593.570683028025,-0.007922428268030976,0.0007293747360437664,0.0007818684346427211,0.05232032886738866,0.007922428268030976,-0.05232032886738866,0.0
roll,0.0,0.0,0.0,0.0,0.0,0.0,99539077.70317796,-419871884.0611711,-0.07507911301624254,0.1389395880529148,-0.0423906962054405,-0.20077630518949913,0.07507911301624254,0.20077630518949913,0.0
pitch,0.0,0.0,0.0,0.0,0.0,0.0,228949794.58615583,-965645372.8322952,-0.028232052086402754,0.010375315648274479,-0.012289974161726705,0.20316379094471523,0.028232052086402754,-0.20316379094471523,0.0
yaw,0.0,0.0,0.0,0.0,0.0,0.0,-431.1679071646977,1819.0235580511217,-0.0028809649205898515,0.004593626017951798,-0.0008105069323670907,-0.014086096530939375,0.0028809649205898515,0.014086096530939375,0.0
roll_rate,0.0,0.0,0.0,0.0,0.0,0.0,-16615.87087796159,70087.17939326425,-0.001221806278423993,0.0013551094479864981,0.0007763376993247446,-0.006319650796921941,0.001221806278423993,0.006319650796921941,0.0
pitch_rate,0.0,0.0,0.0,0.0,0.0,0.0,-41045.48688222834,173133.35311241366,-0.0016835459778409983,0.004000525943124503,-0.0012401121801820345,-0.017679000868914274,0.0016835459778409983,0.017679000868914274,0.0
yaw_rate,0.0,0.0,0.0,0.0,0.0,0.0,8970.282458070378,-37837.29313434485,-0.0002799826446070264,0.0017355172075727955,0.00016679507936138266,0.0020129786840013385,0.0002799826446070264,-0.0020129786840013385,0.0
position_x,0.0,0.0,0.0,0.0,0.0,0.0,-9187.04909848983,38749.79646418215,0.01706397162583612,-0.027289696247191138,0.0038090230262941664,0.006949866713768622,-0.01706397162583612,-0.006949866713768622,0.0
position_y,0.0,0.0,0.0,0.0,0.0,0.0,-2177.994001802045,9186.499748232862,0.004045431222672707,-0.006469688970464895,0.0009030218280468914,0.0016476356259055055,-0.004045431222672707,-0.0016476356259055055,0.0
position_z,0.0,0.0,0.0,0.0,0.0,0.0,271205481.1594458,-1143898428.610348,-0.036867397744416865,0.0058628436922074974,-0.0038102950270665114,0.47926279243008246,0.036867397744416865,-0.47926279243008246,0.0
velocity_x,0.0,0.0,0.0,0.0,0.0,0.0,258378.28094875152,-1089861.8957173082,-0.03568244459844813,0.4608478771691733,0.012054060194060301,-0.003273462604439131,0.03568244459844813,0.003273462604439131,0.0
velocity_y,0.0,0.0,0.0,0.0,0.0,0.0,529766.8278721425,-2234601.2103421865,0.001978905347085864,0.017161528220489237,0.391959472472978,0.2131177825577211,-0.001978905347085864,-0.2131177825577211,0.0
velocity_z,0.0,0.0,0.0,0.0,0.0,0.0,-1297910.1154380564,5474694.906616337,0.02102545703079914,0.0037640239747285193,-0.00035680260182141825,0.3081854372081988,-0.02102545703079914,-0.3081854372081988,0.0
altitude,0.0,0.0,0.0,0.0,0.0,0.0,-271250889.0109559,1144156787.7432518,0.03688897791950955,-0.005902676503456533,0.003819422792912621,-0.4802449022092623,-0.03688897791950955,0.4802449022092623,0.0
vertical_speed,0.0,0.0,0.0,0.0,0.0,0.0,1297939.195095312,-5474817.566861575,-0.021021315479184906,-0.0037640112895986283,0.0003661164886943243,-0.3081847244219914,0.021021315479184906,0.3081847244219914,0.0
