feature,future_state_roll,future_state_pitch,future_state_yaw,future_state_roll_rate,future_state_pitch_rate,future_state_yaw_rate
command_roll,5.438231354155809e-28,1.3078254136960405e-27,1.9907338407717383e-06,-2.0509901965037093e-06,-1.8957193657752077e-06,1.9543704449279193e-06
command_pitch,-2.7591274457212634e-27,-3.0046455985856493e-27,-4.536254658582137e-06,4.68716529665126e-06,4.336164908947384e-06,-4.4564397353659615e-06
command_yaw,1.859040012408688e-27,3.126445693984691e-27,4.046358093602055e-06,-4.20742769555813e-06,-3.898291675300534e-06,3.98344577852379e-06
command_throttle,9.548087210277152e-27,-4.877098584400262e-27,2.129797958176387e-06,-1.8968924938284653e-06,-1.7107971377845159e-06,1.9595409043278888e-06
roll,0.06249928588462779,0.022782738679217263,-172.16155953770743,30.01033551576444,81.09011877360365,111.07948683270467
pitch,0.17145397966312703,0.06249928588493894,-472.33798432010735,82.39341627661646,222.50989022428064,304.6466778233653
yaw,-1.0567992489965008e-22,-3.8692310543685114e-23,0.060333413883790696,0.011311178358511271,0.030480925523473784,0.0416506467501023
roll_rate,9.533716595639513e-23,3.4752385193852725e-23,0.057660311485133564,0.10790133051810633,0.1453161535069824,0.016541859440489193
pitch_rate,7.428959469663049e-23,2.7225950602003275e-23,0.046353796287253994,0.04335975809394038,0.06490603828951717,0.023693064159010187
yaw_rate,1.7307725621535222e-22,6.344205869151856e-23,0.10523092630808473,0.008193193388333008,0.039359764281733295,0.07540931319088559
position_x,3.514768200767008e-33,1.8133766017619085e-33,-4.926251326499257e-15,5.125892716207105e-15,4.7507334027813444e-15,-4.849723015559101e-15
position_y,8.380452277851498e-34,4.295558635513844e-34,1.1678878832966171e-15,-1.2152180576668756e-15,-1.126277810476056e-15,1.1497454979910267e-15
position_z,0.1997745030900299,0.07282282864293074,-550.3580978175448,96.0030430731058,259.2637560224842,354.9677808598308
velocity_z,-6.2499018741306394e-27,-1.5910924011365085e-27,-1.874981860302711e-07,1.9444958878135903e-07,1.8009814654137621e-07,-1.843449502010867e-07
altitude,-0.19977450309002995,-0.0728228286429308,550.3580978175446,-96.00304307310576,-259.263756022484,-354.9677808598308
vertical_speed,6.249901874129754e-27,1.5910924011362197e-27,1.874981860302408e-07,-1.9444958878132485e-07,-1.8009814654134514e-07,1.8434495020105609e-07
heading,-1.0567992490105643e-22,-3.869231054493666e-23,0.06033341388419808,0.011311178358670015,0.030480925523097772,0.04165064674998624
command_roll__lag_1,4.537105812151825e-27,-1.3282914586894594e-27,-1.6728688573686657e-06,1.7225913589370332e-06,1.5919328007979592e-06,-1.6420941188576121e-06
command_pitch__lag_1,-1.0488337843177627e-26,3.412638565869287e-27,4.194429070218667e-06,-4.330045495631206e-06,-4.005156225897803e-06,4.1190125060294125e-06
command_yaw__lag_1,2.0737369307974032e-26,-4.8063023725193785e-27,-4.858018434469076e-06,5.036848786834748e-06,4.663117102481955e-06,-4.778571191141713e-06
command_throttle__lag_1,-1.1562090727779462e-25,8.178909449398587e-27,-3.2320641497811086e-06,3.2162250205639778e-06,2.9599207885496505e-06,-3.117474255055395e-06
roll__lag_1,0.06249928588494462,0.022782738679365762,-172.16155954494133,30.0103355160172,81.0901187742962,111.07948683366507
pitch__lag_1,0.17145397966404335,0.06249928588536473,-472.33798434016626,82.39341627732516,222.50989022621013,304.6466778260267
yaw__lag_1,-1.0567992490151691e-22,-3.869231054510475e-23,0.060333413884164536,0.011311178358662244,0.030480925523079024,0.04165064674996341
roll_rate__lag_1,9.533716595594519e-23,3.475238519368791e-23,0.05766031148563095,0.10790133051821146,0.14531615350538868,0.016541859440872143
pitch_rate__lag_1,7.42895946972064e-23,2.7225950602213166e-23,0.046353796287277496,0.04335975809363554,0.06490603829011449,0.023693064158682983
yaw_rate__lag_1,1.7307725621494597e-22,6.344205869136483e-23,0.10523092630654177,0.008193193389077456,0.03935976428185589,0.0754093131913839
position_x__lag_1,-1.0326402282754659e-33,-2.356747130442193e-33,1.0467007303256269e-15,-1.0828080215293657e-15,-1.0025952384361588e-15,1.027772570769531e-15
position_y__lag_1,-2.4884378635252184e-34,-5.5657007400716605e-34,-2.481456312100711e-16,2.5670576751756335e-16,2.376892616331777e-16,-2.436589157171142e-16
position_z__lag_1,0.199774503091453,0.07282282864335102,-550.3580978178272,96.00304307283147,259.2637560217441,354.967780858819
velocity_z__lag_1,1.223262446170105e-26,4.5290972387214034e-27,-6.865436197819114e-09,4.695826914873916e-09,4.002102833768422e-09,-5.687583498772638e-09
altitude__lag_1,-0.19977450309145298,-0.07282282864335099,550.3580978178271,-96.00304307283145,-259.2637560217441,-354.96778085881897
vertical_speed__lag_1,-1.2232624461670556e-26,-4.529097238713148e-27,6.865435962603994e-09,-4.695826933741998e-09,-4.002102727549511e-09,5.687583661386209e-09
heading__lag_1,-1.0567992490334796e-22,-3.869231054553387e-23,0.06033341388252469,0.011311178359182838,0.030480925521998773,0.04165064675040578
command_roll__lag_2,-8.933106186883531e-27,-5.360023414731155e-28,-1.3946007915768612e-06,1.4434966206012314e-06,1.335186873978376e-06,-1.3720543803471976e-06
command_pitch__lag_2,2.5789801953224594e-26,7.785694611562112e-28,2.901201454989361e-06,-3.0061629856102275e-06,-2.7824273182779166e-06,2.8536009416877573e-06
command_yaw__lag_2,-4.75577017069766e-26,2.0366973988149766e-28,-2.4860261841561494e-06,2.596546415921609e-06,2.407529487315893e-06,-2.4522694684221214e-06
command_throttle__lag_2,1.8989693191446983e-25,-6.656838196453144e-27,-4.948501298157151e-06,4.951554235257112e-06,4.557536037533733e-06,-4.790477216931416e-06
roll__lag_2,0.062499285885544174,0.02278273867931278,-172.16155953953216,30.01033551621199,81.09011877491072,111.07948683461703
pitch__lag_2,0.17145397966568293,0.06249928588521901,-472.3379843253258,82.39341627785878,222.5098902278932,304.646677828633
yaw__lag_2,-1.0567992490300771e-22,-3.869231054521975e-23,0.06033341388247071,0.011311178359234866,0.03048092552235128,0.0416506467505168
roll_rate__lag_2,9.533716595622258e-23,3.475238519379208e-23,0.057660311485142446,0.10790133051910661,0.1453161535031616,0.016541859441103562
pitch_rate__lag_2,7.428959469726303e-23,2.722595060223224e-23,0.046353796287329635,0.04335975809366869,0.06490603829001086,0.023693064158168832
yaw_rate__lag_2,1.7307725621467588e-22,6.344205869126731e-23,0.10523092630740014,0.008193193388805997,0.03935976428346271,0.07540931319136063
position_x__lag_2,-1.3121183647984321e-33,1.545214252737261e-33,8.407026388923411e-16,-8.665031371014235e-16,-8.018808416308931e-16,8.240609123466859e-16
position_y__lag_2,-2.9961152589108975e-34,3.6703765395863707e-34,-1.9930832150331464e-16,2.0542562052856224e-16,1.9010399911210399e-16,-1.9536363160838567e-16
position_z__lag_2,0.199774503092004,0.07282282864255007,-550.3580978175177,96.0030430737551,259.26375602446495,354.96778086282677
velocity_z__lag_2,-1.283902222941978e-26,-6.078494304461475e-27,4.1970391074598086e-08,-4.49666794865586e-08,-4.183778009579443e-08,4.192130088227386e-08
altitude__lag_2,-0.19977450309174538,-0.07282282864250622,550.3580978242485,-96.00304307375514,-259.263756024465,-354.9677808628269
vertical_speed__lag_2,1.2839022229420687e-26,6.078494304461183e-27,-4.1970391030406855e-08,4.4966679506533586e-08,4.1837780110373346e-08,-4.192130090366095e-08
heading__lag_2,-1.0567992490369043e-22,-3.86923105448006e-23,0.06033341388264127,0.011311178359143338,0.030480925522247057,0.04165064675043066
command_roll__lag_3,4.367434687796949e-27,7.424805995196556e-28,1.3845132960665617e-06,-1.4289636208026564e-06,-1.3207726598471796e-06,1.360930909397761e-06
command_pitch__lag_3,-1.49954611676719e-26,-2.0266891949762577e-27,-3.973679364259734e-06,4.114060659354302e-06,3.8073525922854274e-06,-3.907047754367763e-06
command_yaw__lag_3,2.5074778227032286e-26,1.3556474573746207e-27,3.0878790050503177e-06,-3.204814204868283e-06,-2.9679341830374596e-06,3.0381146424739566e-06
command_throttle__lag_3,-7.452413002600241e-26,7.067526681684212e-27,1.23214568936176e-05,-1.2455463896230927e-05,-1.1481790308111873e-05,1.1985516211783468e-05
roll__lag_3,0.06249928588527405,0.02278273867914359,-172.16155954472086,30.010335516211995,81.09011877491076,111.07948683461703
pitch__lag_3,0.1714539796643429,0.06249928588478369,-472.33798434281437,82.39341627785879,222.50989022789338,304.64667782863296
yaw__lag_3,-1.0567992490384726e-22,-3.869231054466017e-23,0.060333413883135845,0.011311178358903594,0.03048092552185888,0.04165064675006225
roll_rate__lag_3,9.533716595622261e-23,3.47523851937921e-23,0.0576603114830118,0.10790133052074508,0.1453161535029016,0.01654185944102638
pitch_rate__lag_3,7.428959469726301e-23,2.722595060223224e-23,0.04635379628846101,0.04335975809354343,0.06490603829110436,0.023693064158277204
yaw_rate__lag_3,1.7307725621467584e-22,6.344205869126733e-23,0.10523092630763321,0.008193193388353023,0.03935976428264343,0.07540931319154859
position_x__lag_3,-9.086599361200211e-34,-4.678472183735409e-34,-6.910147619662146e-16,6.714283949818556e-16,6.169936113988542e-16,-6.570944482455021e-16
position_y__lag_3,-2.267284419443124e-34,-1.127028398155995e-34,1.6382140670090028e-16,-1.591786023203184e-16,-1.4627346077332318e-16,1.557801454208225e-16
position_z__lag_3,0.1997745030910424,0.07282282864253814,-550.3580978280113,96.0030430737551,259.263756024465,354.9677808628269
velocity_z__lag_3,7.244988186869997e-27,3.371802527989782e-27,6.483501515315476e-07,-6.689860356648344e-07,-6.189022542929254e-07,6.363022221108584e-07
altitude__lag_3,-0.199774503091358,-0.07282282864288694,550.3580978276684,-96.00304307375508,-259.26375602446507,-354.9677808628269
vertical_speed__lag_3,-7.24498818687e-27,-3.371802527989783e-27,-6.483501515315478e-07,6.68986035664835e-07,6.189022542929257e-07,-6.363022221108586e-07
heading__lag_3,-1.0567992490051904e-22,-3.869231054448929e-23,0.06033341388310032,0.011311178359297076,0.030480925521700918,0.04165064674966697
