feature,future_state_roll,future_state_pitch,future_state_yaw,future_state_roll_rate,future_state_pitch_rate,future_state_yaw_rate
command_roll,0.0,0.0,0.0,0.0,0.0,0.0
command_pitch,0.0,0.0,0.0,0.0,-0.0001695945350391553,-0.00026970136633977537
command_yaw,0.0,0.0,0.0,0.0,0.0,0.0
command_throttle,0.0,0.0,0.0,-0.06897958299231893,0.04357698155726609,0.20173865171407362
roll,0.9880482129835638,0.0,0.0,3.200387048467118,-1.4514247020818845,-1.5914401144689911
pitch,0.0,0.9950307254432803,0.0,0.3129145957924542,4.2543210149119055,0.46631764170279677
yaw,0.0,0.0,0.9876773343389771,1.2359274672610971,0.6658436644790715,-0.3371328242654908
roll_rate,0.0,0.0,0.0,0.8563670625650951,0.0028811760169642642,-0.06796561354040931
pitch_rate,0.0,0.0,0.0,-0.024171955385182815,0.765308798655555,-0.06735168338194117
yaw_rate,0.0,0.0,0.0,0.0010148672483331774,-0.03452948593452475,0.8247392321921827
position_x,0.0,0.0,0.0,0.0,0.0,0.0
position_y,0.0,0.0,0.0,0.0,0.0,0.0
position_z,0.0,0.0,0.0,0.0,0.0,0.0
velocity_x,0.0,0.0,0.0,0.0,0.0,0.0
velocity_y,0.0,0.0,0.0,0.0,0.0,0.0
velocity_z,0.0,0.0,0.0,0.0,0.0,0.0
altitude,0.0,0.0,0.0,0.0,0.0,0.0
vertical_speed,0.0,0.0,0.0,0.0,0.0,0.0
heading,0.0,0.0,0.00039231553800302333,-1.1468649473234394,-0.3659912761888321,0.28472237762393526
integrator_yaw,0.0,0.0,0.0,0.0,0.0,0.0
control_output_roll,0.0,0.0,0.0,0.0,0.0,0.0
control_output_pitch,0.0,0.0,0.0,0.0,0.0,0.0
control_output_yaw,0.0,0.0,0.0,0.11011269687989085,0.0,-0.12860144603980858
actuator_1,0.0,0.0,0.0,0.0,-0.006000325997423547,0.0
actuator_2,0.0,0.0,0.0,0.02460161242603187,0.0,0.0
actuator_3,0.0,0.0,0.0,-0.00913581091128794,0.0,0.0
actuator_4,0.0,0.0,0.0,0.0,0.0,0.0
command_roll__lag_1,0.0,0.0,0.0,0.0,0.0,0.0
command_pitch__lag_1,0.0,0.0,0.0,8.214089214592861e-06,0.0,0.0
command_yaw__lag_1,0.0,0.0,0.0,0.0,0.0,-0.0019808770695655515
command_throttle__lag_1,0.0,0.0,0.0,0.09105260759608592,-0.043301253552528896,-0.24228186576569236
roll__lag_1,0.00809570774802255,0.0,0.0,-2.474891203293186,2.2718207672214987,1.5121483280462598
pitch__lag_1,0.0,0.002640906720067199,0.0,-0.21308668394175534,-2.683071043850042,-0.32232887029591656
